GEOID,Name,Short Name,Population,Housing Units,Land Area,Water Area
101,"Abilene-Sweetwater, TX","Abilene, TX",191313,81658,3655.51,16.142
220,"Detroit-Warren-Ann Arbor, MI","Detroit, MI",5405201,2355717,6534.267,514.373
364,"Mayagüez-Aguadilla, PR","Mayagüez, PR",465570,237443,607.125,481.57
184,"Cleveland-Akron-Canton, OH","Cleveland, OH",3758181,1735287,7664.211,3406.57
440,"Portland-Vancouver-Salem, OR-WA","Portland, OR",3273561,1337127,12715.032,197.844
104,"Albany-Schenectady, NY","Albany, NY",1193096,571260,6043.451,203.705
172,"Charlotte-Concord, NC-SC","Charlotte, NC",3241598,1372110,8536.289,164.502
290,"Huntsville-Decatur-Albertville, AL-TN","Huntsville, AL",855166,370569,4548.623,160.092
105,"Albuquerque-Santa Fe-Los Alamos, NM","Albuquerque, NM",1161410,518880,23811.537,70.887
194,"Columbus-Auburn-Opelika, GA-AL","Columbus, GA",561734,251790,4718.816,94.372
204,"Corpus Christi-Kingsville-Alice, TX","Corpus Christi, TX",523214,230759,4474.473,829.257
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ","Allentown, PA",1031294,437717,2061.386,31.244
394,"Mount Pleasant-Alma, MI","Mount Pleasant, MI",106472,44640,1141.081,8.229
107,"Altoona-Huntingdon, PA","Altoona, PA",166763,76765,1399.659,15.887
108,"Amarillo-Borger, TX","Amarillo, TX",289873,124121,6038.406,40.324
218,"Des Moines-West Des Moines-Ames, IA","Des Moines, IA",892309,380323,5880.654,55.19
521,"Springfield-Amherst Town-Northampton, MA","Springfield, MA",689486,297526,1843.449,60.479
450,"Raleigh-Durham-Cary, NC","Raleigh, NC",2248500,940299,4979.868,108.614
372,"Midland-Odessa-Andrews, TX","Midland, TX",355283,145434,4213.884,6.727
258,"Fort Wayne-Huntington-Auburn, IN","Fort Wayne, IN",645658,276312,3164.879,34.75
118,"Appleton-Oshkosh-Neenah, WI","Appleton, WI",414169,177452,1390.504,229.751
412,"North Port-Bradenton, FL","North Port, FL",1068619,589856,2616.581,909.344
490,"San Juan-Bayamón, PR","San Juan, PR",2405288,1135854,2046.019,789.895
556,"Wichita-Arkansas City-Winfield, KS","Wichita, KS",681455,291678,5273.879,39.873
120,"Asheville-Waynesville-Brevard, NC","Asheville, NC",502615,252040,2410.97,10.374
360,"Mansfield-Ashland-Bucyrus, OH","Mansfield, OH",219391,96940,1319.999,9.609
312,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO",2528098,1087929,11200.205,167.064
198,"Columbus-Marion-Zanesville, OH","Columbus, OH",2603280,1110443,8971.138,90.003
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL","Chattanooga, TN",977932,423351,5503.693,134.692
206,"Dallas-Fort Worth, TX-OK","Dallas, TX",8198324,3196559,16302.638,674.446
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta, GA",6985109,2778033,13330.311,255.439
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA",7367160,3123183,7336.149,1168.285
532,"Syracuse-Auburn, NY","Syracuse, NY",734865,333254,3076.439,566.167
462,"Rochester-Austin-Winona, MN","Rochester, MN",315785,135977,3814.61,44.646
533,"Tallahassee-Bainbridge, FL-GA","Tallahassee, FL",415127,186655,2986.539,456.458
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, DC",9987521,4033477,13200.547,2014.163
357,"Madison-Janesville-Beloit, WI","Madison, WI",908476,405505,4858.592,102.842
148,"Boston-Worcester-Providence, MA-RI-NH","Boston, MA",8312297,3556280,9189.253,2760.141
162,"Burlington-South Burlington-Barre, VT","Burlington, VT",285513,131884,1936.64,261.853
538,"Tulsa-Bartlesville-Muskogee, OK","Tulsa, OK",1136909,492065,7496.44,228.108
464,"Rochester-Batavia-Seneca Falls, NY","Rochester, NY",1154001,518783,3744.44,2011.239
132,"Baton Rouge-Hammond, LA","Baton Rouge, LA",1003708,433966,5161.872,254.85
310,"Kalamazoo-Battle Creek-Portage, MI","Kalamazoo, MI",456324,200925,1768.857,50.798
474,"Saginaw-Midland-Bay City, MI","Saginaw, MI",377076,171626,1761.074,213.676
288,"Houston-Pasadena, TX","Houston, TX",7361123,2856576,12405.746,1796.132
339,"Lincoln-Beatrice, NE","Lincoln, NE",361361,153630,2260.458,21.771
376,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI",2046099,905854,3775.072,2405.417
144,"Bloomington-Bedford, IN","Bloomington, IN",206539,94380,1228.963,22.119
266,"Grand Rapids-Wyoming, MI","Grand Rapids, MI",1485913,607239,5126.526,3119.22
142,"Birmingham-Cullman-Talladega, AL","Birmingham, AL",1359064,602884,7402.244,149.22
292,"Idaho Falls-Rexburg-Blackfoot, ID","Idaho Falls, ID",272737,96956,9623.087,111.163
145,"Bloomington-Pontiac, IL","Bloomington, IL",207055,90731,2226.876,5.32
146,"Bloomsburg-Berwick-Sunbury, PA","Bloomsburg, PA",257134,113396,1716.007,33.268
406,"New Orleans-Metairie-Slidell, LA-MS","New Orleans, LA",1366222,618980,4684.79,4680.122
147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City, ID",857463,332377,25136.274,137.922
216,"Denver-Aurora-Greeley, CO","Denver, CO",3619510,1506565,13055.972,103.527
150,"Bowling Green-Glasgow-Franklin, KY","Bowling Green, KY",255022,111106,2625.557,41.005
313,"Keene-Brattleboro, NH-VT","Keene, NH",122467,65684,1492.668,34.944
500,"Seattle-Tacoma, WA","Seattle, WA",4936090,2059725,12288.882,1281.454
408,"New York-Newark, NY-NJ-CT-PA","New York, NY",22197956,8910301,11281.338,2866.884
482,"Salt Lake City-Provo-Orem, UT-ID","Salt Lake City, UT",2711394,932299,24762.236,1803.599
298,"Jackson-Vicksburg-Brookhaven, MS","Jackson, MS",698536,306618,7188.984,122.324
152,"Brookings-Crescent City, OR-CA","Brookings, OR",50866,24158,2634.585,584.336
154,"Brownsville-Harlingen-Raymondville, TX","Brownsville, TX",442162,162392,1482.332,582.121
160,"Buffalo-Cheektowaga-Olean, NY","Buffalo, NY",1240462,579066,2873.294,815.614
