GEOID,GNIS ID,Name,Short Name,State,CBSA,Metropolitan Division,Central,Time Zone,Time Zone 2,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
04027,23901,Yuma County,Yuma,AZ,49740,,T,America/Phoenix,,H1,204374,92808,5513.82,5.113,32.7696188,-113.9056188
04001,25441,Apache County,Apache,AZ,,,F,America/Denver,,H1,66054,29032,11198.313,20.903,35.3955288,-109.4888496
04003,25442,Cochise County,Cochise,AZ,43420,,T,America/Phoenix,,H1,125504,59056,6209.863,6.814,31.8796371,-109.7512631
04005,25443,Coconino County,Coconino,AZ,22380,,T,America/Phoenix,,H1,144705,69233,18616.354,45.034,35.8387249,-111.770521
04009,25444,Graham County,Graham,AZ,40940,,T,America/Phoenix,,H1,38453,13755,4621.877,18.331,32.9326627,-109.8874516
04015,25445,Mohave County,Mohave,AZ,29420,,T,America/Phoenix,,H1,214229,118073,13332.117,128.726,35.7040683,-113.7579031
04019,25446,Pima County,Pima,AZ,46060,,T,America/Phoenix,,H1,1042393,471058,9188.683,1.974,32.0973987,-111.789864
04021,25447,Pinal County,Pinal,AZ,38060,,T,America/Phoenix,,H1,433338,175474,5366.671,8.011,32.904366,-111.3447397
04013,37026,Maricopa County,Maricopa,AZ,38060,,T,America/Phoenix,,H1,4430871,1821463,9202.016,23.986,33.3490394,-112.4915114
04007,40471,Gila County,Gila,AZ,37740,,T,America/Phoenix,,H1,53419,32519,4757.578,37.246,33.7997024,-110.8116369
04023,40472,Santa Cruz County,Santa Cruz,AZ,35700,,T,America/Phoenix,,H1,47838,18811,1236.26,1.185,31.5259613,-110.8465169
04011,42807,Greenlee County,Greenlee,AZ,,,F,America/Phoenix,,H1,9483,4409,1842.838,4.613,33.2154017,-109.2403554
04017,42808,Navajo County,Navajo,AZ,43320,,T,America/Phoenix,,H1,107110,56556,9949.492,9.313,35.3995503,-110.3214193
04025,42809,Yavapai County,Yavapai,AZ,39150,,T,America/Phoenix,,H1,237830,121829,8122.932,4.385,34.5998444,-112.5537357
04012,43540,La Paz County,La Paz,AZ,,,F,America/Phoenix,,H1,16681,13692,4496.579,14.098,33.7293868,-113.9815775
05001,63755,Arkansas County,Arkansas,AR,,,F,America/Chicago,,H1,17024,8717,992.14,46.602,34.2891871,-91.374222
05003,63756,Ashley County,Ashley,AR,,,F,America/Chicago,,H1,19018,9432,925.492,14.925,33.1912047,-91.7684539
05011,63757,Bradley County,Bradley,AR,,,F,America/Chicago,,H1,10461,5112,649.167,3.67,33.4664257,-92.1623595
05013,63758,Calhoun County,Calhoun,AR,15780,,F,America/Chicago,,H1,4773,2476,628.601,3.818,33.5580688,-92.5030229
05021,63759,Clay County,Clay,AR,,,F,America/Chicago,,H1,14537,7514,639.224,2.123,36.368346,-90.4173718
05025,63760,Cleveland County,Cleveland,AR,38220,,F,America/Chicago,,H1,7548,3604,597.91,0.989,33.898373,-92.1851418
05027,63761,Columbia County,Columbia,AR,31620,,T,America/Chicago,,H1,22707,11051,766.065,0.767,33.2142936,-93.2273387
05019,66845,Clark County,Clark,AR,11660,,T,America/Chicago,,H1,21469,10039,865.971,16.975,34.050926,-93.1763506
05029,66846,Conway County,Conway,AR,,,F,America/Chicago,,H1,20782,9659,551.917,14.578,35.262377,-92.7014641
05031,66847,Craighead County,Craighead,AR,27860,,T,America/Chicago,,H1,111038,47084,707.162,5.529,35.8308078,-90.6328538
05037,66848,Cross County,Cross,AR,,,F,America/Chicago,,H1,16827,7618,616.318,5.942,35.2957359,-90.7711518
05039,66849,Dallas County,Dallas,AR,,,F,America/Chicago,,H1,6472,3511,667.323,0.668,33.9698896,-92.6543986
05041,66850,Desha County,Desha,AR,,,F,America/Chicago,,H1,11285,5828,741.227,71.499,33.8309808,-91.2549721
05043,66851,Drew County,Drew,AR,,,F,America/Chicago,,H1,17309,8289,828.667,7.255,33.5894215,-91.7199569
