GEOID,GNIS ID,Name,County GEOID,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
0100190171,161593,Autaugaville Division,01001,Z5,3985,1728,184.615,5.366,32.4560218,-86.7322067
0100190315,165647,Billingsley Division,01001,Z5,2902,1410,149.37,0.608,32.6089354,-86.7563119
0100192106,165648,Marbury Division,01001,Z5,6815,2770,113.034,0.199,32.6429572,-86.5237702
0100192628,165649,Prattville Division,01001,Z5,45059,18549,147.436,3.741,32.4794472,-86.5068128
0100390207,161594,Bay Minette Division,01003,Z5,26464,10624,516.725,10.624,30.7891942,-87.6981651
0100390846,165650,Daphne Division,01003,Z5,56980,22085,114.81,54.98,30.6681314,-87.9091085
0100390963,165651,Elberta Division,01003,Z5,12369,6903,122.041,18.285,30.4102392,-87.5253896
0100391053,165652,Fairhope Division,01003,Z5,32505,15640,65.768,75.65,30.4645517,-87.9114905
0100391152,161595,Foley Division,01003,Z5,67074,54174,174.285,261.455,30.2969467,-87.7888774
0100392754,161596,Robertsdale Division,01003,Z5,28878,11375,170.738,1.64,30.566334,-87.6403482
0100393024,161597,Stockton Division,01003,Z5,3628,1989,375.109,14.499,31.1127694,-87.7862163
0100393042,165653,Summerdale Division,01003,Z5,5522,2323,50.388,0.278,30.4907504,-87.680929
0100590189,165654,Bakerhill Division,01005,Z5,2821,1957,128.848,3.854,31.7736328,-85.2855747
0100590630,165655,Clayton Division,01005,Z5,3634,1199,199.617,0.38,31.9204029,-85.453759
0100590648,165656,Clio Division,01005,Z5,4009,1543,132.556,0.154,31.6731224,-85.5681143
0100591017,161598,Eufaula Division,01005,Z5,12934,6090,287.771,14.927,31.995114,-85.2431998
0100591989,165657,Louisville Division,01005,Z5,1479,884,136.216,0.193,31.8001677,-85.5725552
0100790531,161599,Centreville-Brent Division,01007,Z5,12246,5044,388.054,1.674,32.9331656,-87.1461983
0100792601,165658,Piper-Coleanor Division,01007,Z5,1069,544,74.919,0.779,33.0671551,-86.9953602
0100793438,165659,West Blocton Division,01007,Z5,8936,3458,159.496,1.243,33.1248166,-87.1403254
0100990333,165660,Blountsville Division,01009,Z5,7494,3197,96.224,0.577,34.0327756,-86.6356784
0100990414,165661,Brooksville Division,01009,Z5,4177,1890,94.651,0.485,34.165243,-86.4881144
0100990612,165662,Clarence Division,01009,Z5,5582,2495,73.32,0.191,34.0758336,-86.3910085
0100990639,165663,Cleveland Division,01009,Z5,4097,1604,44.994,0.212,33.9988916,-86.5440621
0100991557,165664,Hayden Division,01009,Z5,13876,5267,102.601,0.603,33.8949809,-86.8112195
0100991953,165665,Locust Fork Division,01009,Z5,8291,3657,78.652,0.382,33.8480979,-86.6435392
0100992439,165666,Oneonta Division,01009,Z5,15560,6567,154.449,3.287,33.9105829,-86.4647174
0101191098,165667,Fitzpatrick Division,01011,Z5,574,384,134.459,0.784,32.1615282,-85.9192712
0101191701,165668,Inverness Division,01011,Z5,1477,833,169.147,0.557,31.9936017,-85.7512191
0101192133,165669,Midway Division,01011,Z5,1707,731,165.331,0.19,32.1096678,-85.5220483
0101193249,165670,Union Springs Division,01011,Z5,6570,2593,153.877,0.797,32.1546308,-85.7059072
0101390540,165671,Chapman Division,01013,Z5,1589,882,136.009,0.068,31.7186621,-86.7474627
0101391170,165672,Forest Home Division,01013,Z5,1141,691,170.457,0.105,31.8761917,-86.7944197
0101391314,165673,Georgiana-McKenzie Division,01013,Z5,4152,2274,197.941,0.142,31.5914941,-86.7085343
0101391422,165674,Greenville Division,01013,Z5,12099,5988,272.432,0.727,31.8083503,-86.5551076
0101590066,165679,Alexandria-Webster Chapel Division,01015,Z5,11567,4672,100.936,0.693,33.8470716,-85.8932033
0101590099,161600,Anniston Division,01015,Z5,66155,31462,204.726,1.264,33.6733194,-85.8701645
0101590585,165675,Choccolocco Division,01015,Z5,7172,2970,92.402,0.911,33.7368502,-85.6777487
0101591746,165676,Jacksonville Division,01015,Z5,19261,8421,71.108,0.214,33.8565577,-85.7669255
0101592430,165677,Ohatchee Division,01015,Z5,4629,2073,68.607,2.907,33.7668853,-86.0355301
0101592556,165678,Piedmont Division,01015,Z5,7378,3569,68.112,0.394,33.9166876,-85.6388567
0101791107,165680,Five Points Division,01017,Z5,2687,1478,119.012,3.618,33.0377219,-85.3234455
0101791818,165681,La Fayette Division,01017,Z5,4769,2363,181.06,0.789,32.8970024,-85.4440691
0101791827,165682,Lanett Division,01017,Z5,10739,4381,64.99,0.933,32.8860534,-85.2536224
