Code,Name,Population,Housing Units,Land Area,Water Area
662,"Abilene-Sweetwater, TX",318143,145522,16653.966,116.479
532,"Albany et al, NY",1409593,696250,10009.1,327.262
525,"Albany, GA",404046,175606,6032.377,90.7
790,"Albuquerque-Santa Fe, NM",1892062,851213,110673.016,270.653
644,"Alexandria, LA",241639,107052,4122.688,109.565
583,"Alpena, MI",39051,26045,1246.552,2239.022
634,"Amarillo, TX",547331,237323,43885.985,173.8
743,"Anchorage, AK",458063,200271,42431.576,9501.244
524,"Atlanta, GA",7158862,2881818,17463.767,328.888
520,"Augusta, GA",567592,246643,7068.475,171.739
635,"Austin, TX",2387799,1002710,10423.881,142.712
800,"Bakersfield, CA",905644,299810,8134.673,30.244
512,"Baltimore, MD",3030686,1272027,3812.772,926.271
537,"Bangor, ME",345433,203391,16162.137,2321.651
716,"Baton Rouge, LA",938870,407001,6337.433,774.428
692,"Beaumont-Port Arthur, TX",463857,201771,4897.819,336.964
821,"Bend, OR",194964,92718,3017.611,36.574
756,"Billings, MT",262565,121469,45527.927,332.806
746,"Biloxi-Gulfport, MS",392991,171151,2220.641,739.18
502,"Binghamton, NY",339209,168590,3560.457,43.908
630,"Birmingham et al, AL",1948824,876843,15177.018,303.923
559,"Bluefield et al, WV",315331,154213,5090.761,30.044
757,"Boise, ID",862572,342754,32691.286,238.015
506,"Boston et al, MA-NH",6790068,2904245,9244.311,2791.215
736,"Bowling Green, KY",231540,100796,2460.328,35.754
514,"Buffalo, NY",1611214,761946,8500.989,1697.752
523,"Burlington et al, VT-NY",858313,443381,14464.699,708.07
754,"Butte-Bozeman, MT",198024,94179,17173.9,88.043
767,"Casper-Riverton, WY",131257,60609,18767.237,123.265
637,"Cedar Rapids et al, IA",914231,403386,12839.467,88.782
648,"Champaign et al, IL",941906,433134,11837.038,72.159
564,"Charleston et al, WV",1099822,518114,13517.923,132.715
519,"Charleston, SC",922723,424658,5394.489,873.731
517,"Charlotte, NC",3304310,1413653,9774.292,170.544
584,"Charlottesville, VA",255219,108992,1834.935,14.255
575,"Chattanooga, TN",954880,411339,5194.823,107.712
759,"Cheyenne et al, WY-NE",149857,66957,7717.807,14.821
602,"Chicago, IL",9769242,3999499,9333.072,1934.17
868,"Chico-Redding, CA",538011,241238,19355.811,482.179
515,"Cincinnati, OH",2038553,881472,6982.841,106.873
598,"Clarksburg-Weston, WV",268508,126933,5335.132,22.132
510,"Cleveland et al, OH",3888348,1768817,8342.008,3076.935
752,"Colorado Sprgs et al, CO",302582,137367,19465.187,89.598
604,"Columbia et al, MO",483572,218411,8140.206,105.923
546,"Columbia, SC",1302772,584519,8773.595,290.722
673,"Columbus et al, MS",487029,227988,9583.41,111.076
522,"Columbus, GA",606292,268640,6509.504,111.52
535,"Columbus, OH",2586040,1096069,9974.873,90.391
600,"Corpus Christi, TX",588086,255802,11553.103,1405.675
623,"Dallas-Ft. Worth, TX",8230061,3206207,25581.862,802.587
682,"Davenport et al, IA-IL",798174,368143,10393.273,209.59
542,"Dayton, OH",1669530,733844,5325.673,47.5
751,"Denver, CO",5373797,2305332,126402.001,672.518
679,"Des Moines-Ames, IA",1196608,521618,19532.377,111.63
505,"Detroit, MI",4950157,2142791,6110.319,1117.636
606,"Dothan, AL",269091,124218,3749.286,22.748
676,"Duluth-Superior, MN-WI",424849,243186,23388.213,6321.826
765,"El Paso et al, TX-NM",1084173,405439,13204.129,9.884
565,"Elmira et al, NY",237618,117603,3260.076,34.148
516,"Erie, PA",395189,184134,2695.538,798.857
801,"Eugene, OR",650498,285883,11861.019,478.921
802,"Eureka, CA",164669,73230,4574.227,707.71
649,"Evansville, IN",737144,328085,8316.213,188.554
745,"Fairbanks, AK",111618,51875,190382.387,2710.533
724,"Fargo-Valley City, ND",654312,318721,40742.033,1433.671
513,"Flint-Saginaw et al, MI",1131231,536581,7688.493,3338.441
866,"Fresno-Visalia, CA",2078715,678624,17697.016,139.308
571,"Ft. Myers-Naples, FL",1395534,780937,6058.459,1824.374
670,"Ft. Smith et al, AR",888814,372416,8884.778,194.295
509,"Ft. Wayne, IN",740334,318387,4786.906,47.048
592,"Gainesville, FL",353023,159341,3048.632,909.766
798,"Glendive, MT",10230,5041,4108.529,17.365
773,"Grand Junction et al, CO",154685,66608,3328.721,12.352
563,"Grand Rapids et al, MI",2091480,879965,8831.424,4439.991
755,"Great Falls, MT",164136,75613,35383.266,274.203
658,"Green Bay-Appleton, WI",1164527,549126,10957.098,4584.734
518,"Greensboro et al, NC",1867870,836290,7739.729,104.941
545,"Greenville et al, NC",793401,386391,8255.005,2572.529
567,"Greenville et al, SC-NC",2382004,1119141,13491.446,289.256
647,"Greenwood-Greenville, MS",155462,69054,4348.883,152.111
636,"Harlingen et al, TX",1372222,473608,4276.466,596.661
566,"Harrisburg et al, PA",2155972,898940,6383.021,118.098
569,"Harrisonburg, VA",265856,112757,2565.144,10.137
533,"Hartford & New Haven, CT",2648884,1149790,0.0,0.0
710,"Hattiesburg-Laurel, MS",313321,136171,5460.721,32.741
766,"Helena, MT",76981,36411,4650.74,84.936
744,"Honolulu, HI",1453450,556850,6410.532,4506.499
618,"Houston, TX",7414168,2869519,17240.809,2449.525
691,"Huntsville et al, AL",1077551,476171,7521.563,303.584
758,"Idaho Falls et al, ID",445412,177471,36537.606,489.907
527,"Indianapolis, IN",2993532,1292328,11890.719,83.243
718,"Jackson, MS",901719,398409,14092.453,228.637
639,"Jackson, TN",248821,113948,3140.809,29.696
561,"Jacksonville, FL",1993006,862338,8777.945,947.007
574,"Johnstown-Altoona, PA",669822,318264,7584.775,51.427
734,"Jonesboro, AR",222178,98545,3767.808,20.489
603,"Joplin-Pittsburg, MO-KS",407947,182090,8917.039,104.388
747,"Juneau, AK",57357,26545,20397.68,6232.827
616,"Kansas City, MO-KS",2765718,1195463,18917.998,255.299
557,"Knoxville, TN",1403860,649843,9222.386,253.187
702,"La Crosse-Eau Claire, WI",574033,254537,10291.577,259.363
582,"Lafayette, IN",203078,84459,1270.006,6.152
642,"Lafayette, LA",627695,277083,5646.318,947.049
643,"Lake Charles, LA",277798,121135,4268.281,694.678
551,"Lansing, MI",679965,295456,2998.691,46.523
749,"Laredo, TX",280908,90161,4359.89,73.717
839,"Las Vegas, NV",2285843,937800,36706.961,189.729
541,"Lexington, KY",1312938,583467,12256.191,181.116
558,"Lima, OH",183139,78277,1286.477,6.578
722,"Lincoln et al, NE",750486,332370,39294.552,200.313
693,"Little Rock et al, AR",1458593,678886,26048.969,621.481
803,"Los Angeles, CA",18660310,6588946,47217.451,1455.545
