GEOID,Name,CBSA,Population,Housing Units,Land Area,Water Area
12054,"Atlanta-Sandy Springs-Roswell, GA",12060,4765615,1900738,6971.379,116.81
31924,"Marietta, GA",12060,1343866,525120,1814.187,31.528
14454,"Boston, MA",14460,2037103,856756,1112.857,545.011
15764,"Cambridge-Newton-Framingham, MA",14460,2429212,985491,1310.379,365.056
40484,"Rockingham County-Strafford County, NH",14460,446134,191257,1062.861,114.973
16984,"Chicago-Naperville-Schaumburg, IL",16980,7216457,3018875,3130.16,731.689
20994,"Elgin, IL",16980,750735,275331,1470.939,10.106
29404,"Lake County, IL",16980,713159,269416,443.605,924.725
29414,"Lake County-Porter County-Jasper County, IN",16980,717911,306465,1878.438,234.843
19124,"Dallas-Plano-Irving, TX",19100,5155585,2000117,5277.191,259.411
23104,"Fort Worth-Arlington-Grapevine, TX",19100,2517794,963164,3398.413,72.257
19804,"Detroit-Dearborn-Livonia, MI",19820,1781641,792169,611.835,60.556
47664,"Warren-Troy-Farmington Hills, MI",19820,2593963,1113090,3280.495,282.409
11244,"Anaheim-Santa Ana-Irvine, CA",31080,3175227,1130658,792.861,156.856
31084,"Los Angeles-Long Beach-Glendale, CA",31080,9936690,3599561,4060.246,689.194
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",33100,1940907,859621,1202.909,105.519
33124,"Miami-Miami Beach-Kendall, FL",33100,2688237,1075278,1899.925,489.397
48424,"West Palm Beach-Boca Raton-Delray Beach, FL",33100,1494805,708303,1964.292,418.909
29484,"Lakewood-New Brunswick, NJ",35620,2486880,1009391,1707.608,496.455
35004,"Nassau County-Suffolk County, NY",35620,2913646,1055959,1195.464,1631.169
35084,"Newark, NJ",35620,2208176,855998,1636.197,52.99
35614,"New York-Jersey City-White Plains, NY-NJ",35620,12240897,5020261,1600.327,325.164
15804,"Camden, NJ",37980,1287055,514377,1342.655,41.724
33874,"Montgomery County-Bucks County-Chester County, PA",37980,2038036,810963,1837.886,30.38
37964,"Philadelphia, PA",37980,2168520,959669,318.167,15.134
48864,"Wilmington, DE-MD-NJ",37980,739283,305442,1104.498,179.918
36084,"Oakland-Fremont-Berkeley, CA",41860,2826471,1046913,1454.355,170.763
41884,"San Francisco-San Mateo-Redwood City, CA",41860,1605286,692409,495.306,477.556
42034,"San Rafael, CA",41860,260485,111681,520.141,308.036
21794,"Everett, WA",42660,828337,323438,2086.515,109.238
42644,"Seattle-Bellevue-Kent, WA",42660,2254371,972821,2115.736,191.716
45104,"Tacoma-Lakewood, WA",42660,918993,360816,1667.979,137.482
41304,"St. Petersburg-Clearwater-Largo, FL",45300,959918,516276,273.782,593.046
45294,"Tampa, FL",45300,2234392,955052,2242.072,815.749
11694,"Arlington-Alexandria-Reston, VA-WV",47900,3113461,1178728,3879.105,73.129
23224,"Frederick-Gaithersburg-Bethesda, MD",47900,1330739,507860,1153.764,20.571
47764,"Washington, DC-MD",47900,1794811,771910,1001.588,208.529
