Place GEOID,County GEOID
0100100,01017
0100124,01067
0100460,01073
0100484,01133
0100676,01065
0100820,01117
0100988,01095
0101132,01123
0101180,01015
0101228,01107
0101396,01009
0101660,01055
0101660,01009
0101708,01039
0101756,01077
0101852,01015
0102116,01095
0102116,01043
0102260,01083
0102320,01115
0102320,01073
0102428,01045
0102500,01133
0102836,01069
0102860,01027
0102908,01115
0102956,01083
0103004,01053
0103028,01055
0103076,01081
0103220,01001
0103364,01069
0103508,01097
0103556,01039
0103676,01043
0103724,01005
0103820,01055
0103940,01109
0104660,01003
0104684,01097
0104852,01093
0104900,01099
0104948,01075
0105140,01059
0105164,01057
0105188,01119
0105212,01097
0105692,01085
0105812,01043
0105932,01057
0105980,01073
0106460,01001
0107000,01073
0107000,01117
0107120,01061
0107456,01009
0107588,01051
0107672,01005
0107912,01095
0107912,01055
0108104,01063
0108248,01121
0108272,01003
0108680,01131
0109016,01041
0109064,01117
0109136,01007
0109208,01053
0109328,01071
0109400,01073
0109424,01093
0109457,01055
0109500,01117
0109736,01073
0109808,01125
0109880,01019
0110240,01109
0110456,01097
0111032,01023
0111416,01117
0111416,01021
0111488,01129
0111488,01097
0111512,01131
0111680,01123
0112016,01127
0112040,01073
0112070,01055
0112112,01025
0112160,01039
0112304,01107
0112496,01035
0112544,01131
0112760,01019
0113264,01073
0113648,01019
0113672,01007
0114008,01129
0114104,01117
0114152,01033
0114392,01097
0114464,01121
0114728,01015
0114968,01097
0115064,01097
0115136,01021
0115256,01073
0115304,01045
0115376,01005
0115472,01009
0115640,01005
0116000,01125
0116080,01055
0116240,01061
0116264,01025
0116312,01125
0116600,01049
0116600,01019
0116684,01043
0116744,01069
0116768,01117
0116936,01073
0117176,01051
0117368,01127
0117704,01125
0117824,01069
0117968,01009
0117968,01073
0118040,01079
0118088,01069
0118304,01097
0118856,01049
0118952,01119
0118976,01043
0119024,01023
0119024,01129
0119216,01017
0119336,01123
0119360,01045
0119648,01003
0119744,01097
0119816,01123
0119912,01091
0120008,01051
0120104,01103
0120104,01083
0120152,01129
0120272,01027
0120296,01091
0120392,01075
0120955,01043
0121136,01127
0121184,01069
0121184,01067
0121184,01045
0121280,01133
0121328,01095
0121448,01041
0121890,01117
0121952,01071
0122088,01117
0122216,01053
0122504,01043
0122816,01051
0123032,01073
0123176,01029
0123224,01055
0123296,01031
0123320,01003
0123344,01127
0123488,01083
0123656,01051
0123872,01119
0123880,01051
0124184,01031
0124184,01045
0124256,01119
0124280,01037
0124472,01107
