GEOID,GNIS ID,Name,Short Name,State,County GEOID,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
0100100,2582661,Abanda Census Designated Place,Abanda,AL,01017,U1,231,67,2.998,0.013,33.0926232,-85.525341
0100124,2403054,City of Abbeville,Abbeville,AL,01067,C1,2231,1301,15.543,0.042,31.5664074,-85.2527809
0100460,2403063,City of Adamsville,Adamsville,AL,01073,C1,4381,1826,26.215,0.209,33.638428,-87.013251
0100484,2405123,Town of Addison,Addison,AL,01133,C1,697,397,3.766,0.032,34.201653,-87.176568
0100676,2405125,Town of Akron,Akron,AL,01065,C1,385,175,0.686,0.005,32.8785411,-87.7428561
0100820,2403069,City of Alabaster,Alabaster,AL,01117,C1,33133,12195,26.204,0.316,33.1967658,-86.847219
0100988,2403074,City of Albertville,Albertville,AL,01095,C1,22268,8071,26.939,0.1,34.263318,-86.2108527
0101132,2403077,City of Alexander City,Alexander City,AL,01123,C1,14765,7007,43.701,0.29,32.9228442,-85.935761
0101180,2402638,Alexandria Census Designated Place,Alexandria,AL,01015,U1,4092,1473,11.135,0.011,33.767477,-85.8792068
0101228,2403080,City of Aliceville,Aliceville,AL,01107,C1,2244,996,4.57,0.0,33.1237068,-88.1593427
0101396,2405136,Town of Allgood,Allgood,AL,01009,C1,867,232,1.039,0.001,33.9063725,-86.517833
0101660,2405146,Town of Altoona,Altoona,AL,01055,C1,1444,577,4.48,0.01,34.0308027,-86.3179481
0101708,2403097,City of Andalusia,Andalusia,AL,01039,C1,8764,4054,19.814,0.157,31.310123,-86.4780896
0101756,2405149,Town of Anderson,Anderson,AL,01077,C1,255,128,1.292,0.001,34.9147506,-87.2715946
0101852,2403101,City of Anniston,Anniston,AL,01015,C1,21455,11516,45.825,0.07,33.671238,-85.8135195
0102116,2403104,City of Arab,Arab,AL,01095,C1,8462,3603,13.32,0.133,34.3308589,-86.4991115
0102260,2405163,Town of Ardmore,Ardmore,AL,01083,C1,1276,619,2.042,0.008,34.9847167,-86.8373518
0102320,2405164,Town of Argo,Argo,AL,01115,C1,4411,1750,10.638,0.057,33.6902695,-86.5048084
0102428,2405166,Town of Ariton,Ariton,AL,01045,C1,660,290,5.09,0.0,31.5977722,-85.7130614
