Urban Area GEOID,County GEOID,Land Area,Water Area
00037,22045,0.455,0.0
00037,22113,10.674,0.131
00064,45001,4.948,0.002
00145,46013,13.895,0.071
00172,53027,10.972,0.696
00253,20041,3.64,0.001
00280,48441,61.973,0.392
00388,39065,2.095,0.0
00415,40123,14.25,0.012
00442,13015,5.351,0.0
00469,13075,6.111,0.066
00496,19049,2.743,0.006
00550,72001,4.863,0.0
00577,26091,13.375,0.149
00631,72003,28.591,0.056
00631,72005,34.73,0.056
00631,72011,13.053,0.001
00631,72071,32.073,0.016
00631,72099,30.3,0.014
00631,72117,14.273,0.0
00631,72131,34.301,0.0
00658,37091,3.326,0.0
00660,72009,13.268,0.025
00660,72043,0.038,0.0
00766,39103,13.18,0.052
00766,39133,55.921,1.492
00766,39151,0.597,0.071
00766,39153,223.384,4.115
00766,39169,7.556,0.089
00820,35035,13.731,0.002
00847,08003,7.685,0.015
00901,13095,55.408,0.728
00901,13177,11.099,0.008
00955,41003,5.307,0.032
00955,41043,17.741,0.042
00970,36001,113.281,1.871
00970,36083,58.388,2.255
00970,36091,46.219,0.555
00970,36093,53.414,0.754
00982,37167,16.661,0.018
01009,27047,10.797,0.539
01036,01055,1.633,0.0
01036,01095,33.211,0.237
01090,26025,4.556,0.053
01090,26075,0.136,0.0
01117,36073,2.945,0.0
01171,35001,211.719,2.686
01171,35043,51.353,0.003
01252,01123,9.79,0.014
01273,18095,3.804,0.005
01279,22079,64.711,0.715
01306,27041,22.572,7.309
01387,19109,3.352,0.006
01414,48249,10.031,0.0
01441,26005,6.879,0.879
01450,26139,10.545,0.061
01495,34041,11.034,0.138
01495,42011,0.642,0.0
01495,42017,0.157,0.0
01495,42077,134.585,1.518
01495,42095,115.127,1.935
01522,31013,4.905,0.012
01549,39029,0.554,0.0
01549,39099,4.101,0.022
01549,39151,12.599,0.067
01630,26057,9.035,0.213
01684,26007,12.709,0.769
01701,06073,9.846,0.001
01711,48043,4.287,0.0
01738,51031,4.093,0.046
01738,51143,1.849,0.017
01765,17083,0.061,0.0
01765,17119,59.597,0.951
01792,42013,37.012,0.062
01846,40065,15.657,0.203
01873,40151,3.646,0.0
01900,48251,3.044,0.015
01927,48375,50.492,0.22
01927,48381,33.501,0.467
02008,13261,10.979,0.06
02062,19015,0.38,0.0
02062,19169,21.977,0.081
02103,25011,0.061,0.0
02103,25013,0.142,0.0
02103,25015,54.45,0.668
02143,28095,5.606,0.011
02170,36057,10.055,0.325
02197,30023,2.61,0.0
02224,53057,9.858,0.351
02251,40015,2.105,0.0
02278,19105,2.647,0.003
02305,02020,91.689,1.072
02332,02020,17.683,0.184
02359,01039,6.863,0.04
02386,18035,1.938,0.002
02386,18095,50.232,0.15
02420,45007,82.903,2.753
02420,45077,13.038,0.074
02467,48003,9.515,0.012
02500,48039,10.948,0.019
02548,18151,12.428,2.279
02575,17181,4.429,0.022
02602,26161,113.012,3.123
02602,26163,30.443,2.029
02629,01015,73.254,0.395
02629,01121,5.642,0.033
02656,55067,4.848,0.046
02683,06013,73.347,0.787
02764,55015,10.643,0.111
02764,55087,68.47,1.379
02764,55139,28.662,2.626
02791,01043,0.386,0.001
02791,01095,8.31,0.107
02818,48007,4.378,0.071
02818,48355,6.64,0.002
02818,48409,13.626,0.148
02912,12027,10.004,0.006
02930,06023,7.928,0.046
03007,40019,15.019,0.139
03034,72013,20.924,0.019
03034,72017,1.394,0.008
03034,72027,17.04,0.008
03034,72065,22.602,0.058
03034,72115,13.533,0.002
03088,04021,4.339,0.077
03115,05019,6.2,0.0
03142,20035,6.832,0.0
03158,47047,0.825,0.034
03158,47157,6.85,0.0
03196,06079,17.075,0.061
03223,35015,6.849,0.007
03250,06029,2.345,0.0
03262,12019,23.003,0.27
03277,13287,4.247,0.042
03331,37151,27.421,0.122
03358,37021,169.861,1.363
03358,37089,78.724,0.541
03385,39005,9.852,0.036
03395,42037,0.058,0.0
03395,42107,1.361,0.0
03412,55003,4.223,0.001
03466,39007,21.69,0.18
03493,39129,3.807,0.0
03520,08097,5.212,0.0
03547,41007,9.669,0.13
03601,20005,5.385,0.044
03655,01083,20.092,0.115
03682,39009,9.453,0.144
03709,47107,15.473,0.0
03736,48213,9.32,0.025
03763,13059,65.527,0.722
03763,13157,0.452,0.002
03763,13195,3.456,0.018
03763,13219,22.413,0.195
03790,25011,4.718,0.204
03790,25027,5.893,0.257
03817,13013,8.094,0.035
03817,13015,11.236,0.648
03817,13057,131.723,2.553
03817,13063,126.58,2.239
03817,13067,339.68,4.767
03817,13077,63.538,0.807
03817,13089,256.569,3.182
03817,13097,83.227,0.257
03817,13113,87.378,2.334
03817,13117,78.697,2.46
03817,13121,433.299,5.942
03817,13135,404.699,5.895
03817,13139,2.477,0.0
03817,13151,156.276,2.479
03817,13217,61.264,0.565
03817,13223,118.398,0.936
03817,13247,64.234,1.113
03817,13255,1.427,0.023
03817,13297,21.722,0.143
03844,48067,6.809,0.038
03871,19029,4.492,0.044
03904,34001,104.271,3.071
03904,34009,58.604,1.035
03925,01053,5.104,0.02
03957,47157,0.075,0.0
03957,47167,9.85,0.028
04021,48121,2.74,0.004
04033,01081,61.156,0.569
04060,18033,9.883,0.0
04114,36011,13.139,0.082
04130,06061,17.239,0.009
04146,26011,3.963,0.065
04168,20015,3.716,0.268
04195,23011,21.918,0.723
04222,13073,73.311,0.338
04222,13245,109.895,0.7
04222,45003,86.624,1.169
04222,45037,3.462,0.017
04276,29109,5.278,0.016
04357,27099,10.047,0.098
04384,48209,38.771,0.576
04384,48453,389.507,2.906
04384,48491,191.342,1.413
04438,06037,1.189,0.0
