Urban Area GEOID,County Subdivision GEOID,Land Area,Water Area
00037,2204595677,0.455,0.0
00037,2211394528,0.225,0.0
00037,2211394705,1.111,0.0
00037,2211394903,2.766,0.045
00037,2211395068,2.051,0.0
00037,2211395218,1.734,0.0
00037,2211395344,0.985,0.0
00037,2211395449,0.387,0.0
00037,2211395593,1.415,0.087
00064,4500190013,4.948,0.002
00145,4601300100,13.225,0.057
00145,4601300140,0.665,0.014
00145,4601303940,0.005,0.0
00172,5302790016,10.972,0.696
00253,2004100125,3.253,0.001
00253,2004127625,0.387,0.0
00280,4844190010,61.973,0.392
00388,3906543162,2.095,0.0
00415,4012390013,14.2,0.012
00415,4012392977,0.05,0.0
00442,1301590024,5.351,0.0
00469,1307590030,6.111,0.066
00496,1904990003,0.008,0.0
00496,1904990018,2.562,0.006
00496,1904990759,0.088,0.0
00496,1904994326,0.085,0.0
00550,7200100401,0.714,0.0
00550,7200113645,1.0,0.0
00550,7200139273,0.081,0.0
00550,7200163998,0.28,0.0
00550,7200174963,1.889,0.0
00550,7200181714,0.014,0.0
00550,7200185584,0.1,0.0
00550,7200185627,0.655,0.0
00550,7200188250,0.129,0.0
00577,2609100440,7.262,0.149
00577,2609100460,3.016,0.0
00577,2609150540,3.097,0.0
00631,7200300659,0.108,0.0
00631,7200304185,1.834,0.0
00631,7200304400,2.364,0.0
00631,7200314591,1.124,0.013
00631,7200317085,3.069,0.0
00631,7200321772,1.782,0.0
00631,7200327233,0.786,0.031
00631,7200330931,0.246,0.0
00631,7200331318,1.105,0.002
00631,7200331963,2.196,0.008
00631,7200337596,1.357,0.0
00631,7200340907,2.356,0.0
00631,7200349421,0.934,0.0
00631,7200349550,1.04,0.0
00631,7200351098,1.711,0.0
00631,7200356215,2.716,0.0
00631,7200361719,2.802,0.0
00631,7200370921,1.06,0.002
00631,7200500530,1.484,0.001
00631,7200500788,0.367,0.0
00631,7200503626,2.739,0.014
00631,7200508313,2.477,0.0
00631,7200510592,3.469,0.002
00631,7200510635,3.746,0.0
00631,7200511237,3.813,0.008
00631,7200516225,1.229,0.001
00631,7200516268,2.526,0.001
00631,7200520955,2.414,0.0
00631,7200532694,2.226,0.018
00631,7200549292,1.947,0.001
00631,7200549335,1.865,0.0
00631,7200554108,1.554,0.002
00631,7200557935,1.317,0.0
00631,7200585842,1.557,0.008
00631,7201102637,0.085,0.0
00631,7201102766,0.256,0.0
00631,7201110248,1.421,0.0
00631,7201113989,1.052,0.0
00631,7201114462,1.881,0.0
00631,7201123148,0.927,0.0
00631,7201127276,0.612,0.0
00631,7201133253,1.201,0.0
00631,7201135661,0.001,0.0
00631,7201151141,1.605,0.0
00631,7201161934,2.028,0.0
00631,7201162665,0.709,0.0
00631,7201167567,1.275,0.0
00631,7207103669,1.716,0.001
00631,7207103712,2.08,0.0
00631,7207104805,1.149,0.0
00631,7207107324,2.69,0.002
00631,7207121084,4.381,0.001
00631,7207129899,0.889,0.0
00631,7207129985,1.467,0.001
00631,7207132092,1.722,0.001
00631,7207132737,3.221,0.002
00631,7207136521,1.459,0.0
00631,7207138757,3.545,0.004
00631,7207145809,2.609,0.0
00631,7207154925,2.377,0.001
00631,7207162407,2.768,0.003
00631,7209900229,1.888,0.001
00631,7209913602,2.218,0.0
00631,7209916698,0.889,0.0
00631,7209917257,2.366,0.0
00631,7209921858,0.895,0.0
00631,7209922331,2.238,0.0
00631,7209951184,2.185,0.001
00631,7209956387,3.087,0.0
00631,7209962622,2.921,0.0
00631,7209964643,3.787,0.011
00631,7209971953,4.244,0.0
00631,7209987648,3.582,0.0
00631,7211704443,1.007,0.0
00631,7211705948,0.868,0.0
00631,7211711065,2.333,0.0
00631,7211721815,1.492,0.0
00631,7211726846,1.094,0.0
00631,7211737639,1.159,0.0
00631,7211764686,2.562,0.0
00631,7211766449,1.928,0.0
00631,7211769631,0.116,0.0
00631,7211771093,1.714,0.0
00631,7213101390,2.377,0.0
00631,7213102422,0.967,0.0
00631,7213104486,0.775,0.0
00631,7213110893,3.38,0.0
00631,7213118203,0.128,0.0
00631,7213122804,2.102,0.0
00631,7213131791,2.158,0.0
00631,7213133640,2.959,0.0
00631,7213135274,4.554,0.0
00631,7213161246,0.085,0.0
00631,7213161805,1.759,0.0
00631,7213164213,3.252,0.0
00631,7213171910,2.737,0.0
00631,7213175049,4.141,0.0
00631,7213177543,0.115,0.0
00631,7213180424,2.811,0.0
00658,3709190016,3.326,0.0
00660,7200901261,0.803,0.001
00660,7200904271,2.691,0.019
00660,7200913344,0.936,0.0
00660,7200922890,0.339,0.0
00660,7200945895,3.539,0.004
00660,7200960042,2.791,0.001
00660,7200971867,2.168,0.0
00660,7204360085,0.038,0.0
00766,3910331374,1.056,0.044
00766,3910371801,0.03,0.0
00766,3910380304,10.196,0.008
00766,3910380318,1.898,0.0
00766,3913308840,14.393,0.105
00766,3913313610,0.236,0.015
00766,3913328392,4.564,0.397
00766,3913339872,9.133,0.091
00766,3913351058,0.546,0.018
00766,3913365592,5.522,0.047
00766,3913365606,7.463,0.143
00766,3913368392,8.805,0.594
00766,3913375014,0.042,0.0
00766,3913375189,4.516,0.064
00766,3913375196,0.234,0.017
00766,3913376106,0.466,0.001
00766,3915138094,0.597,0.071
00766,3915301000,61.163,0.341
00766,3915303828,7.697,0.157
00766,3915304248,7.404,0.11
00766,3915318658,14.436,0.073
00766,3915319036,7.984,0.982
00766,3915319778,16.208,0.104
00766,3915326166,4.565,0.01
00766,3915331860,26.288,0.384
00766,3915341454,1.45,0.208
00766,3915351058,1.598,0.001
00766,3915353312,2.769,0.092
00766,3915354562,10.301,0.657
00766,3915357260,15.0,0.245
00766,3915372494,1.422,0.181
00766,3915374130,14.619,0.322
00766,3915374944,17.086,0.228
00766,3915376106,13.393,0.02
00766,3916914240,4.923,0.012
00766,3916950666,0.059,0.0
00766,3916957260,0.008,0.0
00766,3916967356,2.566,0.077
00820,3503590030,13.731,0.002
00847,0800390076,7.685,0.015
00901,1309590996,19.814,0.251
00901,1309593312,35.594,0.477
00901,1317791716,11.099,0.008
00955,4100392142,5.307,0.032
00955,4104390068,17.741,0.042
00970,3600101000,21.332,0.532
00970,3600106354,16.68,0.066
00970,3600116749,3.773,0.415
00970,3600117343,49.317,0.494
