GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00037,"Abbeville, LA Urban Area","Abbeville, LA",22113,17742,8938,11.129,0.131,29.96865,-92.095225
00064,"Abbeville, SC Urban Area","Abbeville, SC",45001,5084,2358,4.948,0.002,34.176729,-82.382945
00145,"Aberdeen, SD Urban Area","Aberdeen, SD",46013,27849,13245,13.895,0.071,45.463204,-98.468811
00172,"Aberdeen, WA Urban Area","Aberdeen, WA",53027,27286,11611,10.972,0.696,46.974594,-123.831816
00253,"Abilene, KS Urban Area","Abilene, KS",20041,6665,3351,3.64,0.001,38.92106,-97.220754
00280,"Abilene, TX Urban Area","Abilene, TX",48441,119007,51852,61.973,0.392,32.42579,-99.74988
00388,"Ada, OH Urban Area","Ada, OH",39065,4553,1767,2.095,0.0,40.767953,-83.825064
00415,"Ada, OK Urban Area","Ada, OK",40123,17311,8469,14.25,0.012,34.775053,-96.673796
00442,"Adairsville, GA Urban Area","Adairsville, GA",13015,5444,1748,5.351,0.0,34.368886,-84.93652
00469,"Adel, GA Urban Area","Adel, GA",13075,6977,3118,6.111,0.066,31.145787,-83.427248
00496,"Adel, IA Urban Area","Adel, IA",19049,5459,2150,2.743,0.006,41.61053,-94.023973
00550,"Adjuntas, PR Urban Area","Adjuntas, PR",72001,8078,3536,4.863,0.0,18.16311,-66.720634
00577,"Adrian, MI Urban Area","Adrian, MI",26091,29187,12218,13.375,0.149,41.899205,-84.04018
00631,"Aguadilla--Isabela--San Sebastián, PR Urban Area","Aguadilla, PR",72005,232443,112538,187.321,0.143,18.391426,-67.091325
00658,"Ahoskie, NC Urban Area","Ahoskie, NC",37091,4754,2438,3.326,0.0,36.286472,-76.983542
00660,"Aibonito, PR Urban Area","Aibonito, PR",72009,19535,8709,13.305,0.025,18.13458,-66.275739
00766,"Akron, OH Urban Area","Akron, OH",39153,539350,252905,300.637,5.82,41.073342,-81.495355
00820,"Alamogordo, NM Urban Area","Alamogordo, NM",35035,30707,15449,13.731,0.002,32.892453,-105.952133
00847,"Alamosa, CO Urban Area","Alamosa, CO",08003,10428,4505,7.685,0.015,37.464471,-105.875242
00901,"Albany, GA Urban Area","Albany, GA",13095,84302,39536,66.507,0.736,31.586505,-84.172328
00955,"Albany, OR Urban Area","Albany, OR",41043,62192,24492,23.049,0.074,44.635118,-123.093403
00970,"Albany--Schenectady, NY Urban Area","Albany, NY",36001,594848,274163,271.303,5.434,42.742965,-73.799324
00982,"Albemarle, NC Urban Area","Albemarle, NC",37167,16779,8354,16.661,0.018,35.379959,-80.188772
01009,"Albert Lea, MN Urban Area","Albert Lea, MN",27047,18046,8518,10.797,0.539,43.653783,-93.365114
01036,"Albertville, AL Urban Area","Albertville, AL",01095,38371,15380,34.843,0.237,34.269468,-86.217373
01090,"Albion, MI Urban Area","Albion, MI",26025,8031,3128,4.691,0.053,42.249581,-84.755351
01117,"Albion, NY Urban Area","Albion, NY",36073,6978,2990,2.945,0.0,43.24579,-78.193578
01171,"Albuquerque, NM Urban Area","Albuquerque, NM",35001,770082,337882,263.072,2.689,35.131816,-106.623826
01252,"Alexander City, AL Urban Area","Alexander City, AL",01123,8472,4324,9.79,0.014,32.943492,-85.962142
01273,"Alexandria, IN Urban Area","Alexandria, IN",18095,6064,3136,3.804,0.005,40.257609,-85.679057
01279,"Alexandria, LA Urban Area","Alexandria, LA",22079,76791,35731,64.711,0.715,31.3237,-92.447707
01306,"Alexandria, MN Urban Area","Alexandria, MN",27041,19301,10233,22.572,7.309,45.891937,-95.378886
01387,"Algona, IA Urban Area","Algona, IA",19109,5406,2702,3.352,0.006,43.073988,-94.228673
01414,"Alice, TX Urban Area","Alice, TX",48249,19464,7517,10.031,0.0,27.750622,-98.07342
01441,"Allegan, MI Urban Area","Allegan, MI",26005,6804,2707,6.879,0.879,42.536282,-85.850898
01450,"Allendale, MI Urban Area","Allendale, MI",26139,23377,7448,10.545,0.061,42.964159,-85.929201
01495,"Allentown--Bethlehem, PA--NJ Urban Area","Allentown, PA",42077,625350,252956,261.546,3.592,40.639158,-75.414498
01522,"Alliance, NE Urban Area","Alliance, NE",31013,7879,3888,4.905,0.012,42.09978,-102.873281
01549,"Alliance, OH Urban Area","Alliance, OH",39151,31274,14323,17.254,0.089,40.913518,-81.097902
01630,"Alma--St. Louis, MI Urban Area","Alma, MI",26057,17033,5460,9.035,0.213,43.390674,-84.641499
01684,"Alpena, MI Urban Area","Alpena, MI",26007,15359,8035,12.709,0.769,45.04959,-83.453573
01701,"Alpine, CA Urban Area","Alpine, CA",06073,14654,5250,9.846,0.001,32.825726,-116.781139
01711,"Alpine, TX Urban Area","Alpine, TX",48043,6286,3792,4.287,0.0,30.360219,-103.667414
01738,"Altavista, VA Urban Area","Altavista, VA",51031,4644,2169,5.941,0.063,37.113134,-79.291707
01765,"Alton, IL Urban Area","Alton, IL",17119,79622,37952,59.658,0.951,38.898528,-90.121266
