ZCTA5,County Subdivision GEOID,Land Area,Water Area
00601,7200100401,0.749,0.0
00601,7200113645,3.664,0.013
00601,7200130458,6.283,0.087
00601,7200132049,2.693,0.131
00601,7200132608,1.294,0.0
00601,7200132780,6.985,0.0
00601,7200139273,2.989,0.015
00601,7200145422,3.692,0.0
00601,7200160773,3.484,0.007
00601,7200163955,4.037,0.0
00601,7200163998,0.543,0.0
00601,7200174963,7.158,0.055
00601,7200181714,5.491,0.0
00601,7200185584,3.094,0.0
00601,7200185627,4.585,0.0
00601,7200187949,4.759,0.0
00601,7200188250,2.122,0.0
00601,7214120095,0.798,0.0
00602,7200300659,0.108,0.0
00602,7200304185,1.834,0.0
00602,7200304400,2.364,0.0
00602,7200314591,1.124,0.323
00602,7200317085,2.951,0.0
00602,7200321772,1.666,0.0
00602,7200327233,0.857,0.367
00602,7200330931,2.037,0.02
00602,7200331318,1.105,0.483
00602,7200331963,2.196,0.223
00602,7200337596,1.357,0.0
00602,7200340907,2.356,0.0
00602,7200349421,0.934,0.0
00602,7200349550,1.442,0.006
00602,7200351098,1.412,0.0
00602,7200356215,2.716,0.0
00602,7200361719,2.802,0.0
00602,7200370921,1.06,0.286
00602,7201161934,0.006,0.0
00603,7200500530,1.355,0.17
00603,7200500788,0.376,0.37
00603,7200503626,2.46,0.013
00603,7200508313,3.325,1.237
00603,7200510592,3.463,0.002
00603,7200510635,3.746,0.0
00603,7200511237,3.813,0.008
00603,7200516225,0.886,0.0
00603,7200516268,2.526,0.001
00603,7200520955,2.414,0.0
00603,7200532694,2.226,0.018
00603,7200549292,1.947,0.257
00603,7200549335,2.043,0.304
00603,7200554108,0.045,0.0
00603,7200557935,1.964,0.013
00603,7200585842,1.676,0.029
00603,7209900229,0.049,0.0
00603,7209964643,0.031,0.0
00606,7209308872,5.141,0.0
00606,7209336091,8.111,0.004
00606,7209336134,3.857,0.0
00606,7209336156,5.841,0.0
00606,7209351313,0.11,0.0
00606,7209351399,9.044,0.0
00606,7209354753,4.37,0.0
00606,7212178747,0.108,0.0
00606,7212181327,2.579,0.0
00606,7215329512,2.747,0.0
00606,7215372684,2.426,0.0
00610,7200317085,0.032,0.0
00610,7201102637,0.085,0.0
00610,7201102723,1.595,0.124
00610,7201102766,1.521,0.042
00610,7201110248,1.257,0.806
00610,7201113989,1.403,0.0
00610,7201114462,2.498,0.018
00610,7201114978,0.862,0.001
00610,7201115021,1.635,0.0
00610,7201117128,2.267,0.0
00610,7201118031,1.065,0.028
00610,7201120439,3.297,0.036
00610,7201123148,1.319,0.0
00610,7201127276,0.78,0.014
00610,7201133253,1.476,0.0
00610,7201135661,2.971,0.0
00610,7201151141,1.755,0.0
00610,7201153463,2.922,0.06
00610,7201157591,1.919,0.008
00610,7201161934,2.536,0.0
00610,7201162665,0.709,0.502
00610,7201167567,1.609,0.0
00610,7201170147,0.43,0.025
00610,7208303110,0.132,0.0
00610,7209956387,1.04,0.0
00611,7214102981,6.664,0.001
00611,7214178231,3.981,0.0
00612,7201303411,1.413,1.207
00612,7201303540,0.123,0.0
00612,7201311323,3.226,0.087
00612,7201314505,2.587,0.112
00612,7201323750,0.455,0.0
00612,7201323836,6.713,0.006
00612,7201327061,9.997,0.013
00612,7201327835,4.906,0.019
00612,7201333511,4.815,0.598
00612,7201333554,4.813,0.0
00612,7201334199,8.556,0.031
00612,7201336865,7.279,2.354
00612,7201370190,8.443,0.395
00612,7201378704,3.853,0.018
00612,7201381757,8.174,0.118
00612,7201758580,0.068,0.931
00612,7206501347,0.062,0.0
00612,7206511624,0.489,0.001
00612,7206520525,0.169,0.0
00616,7201303540,2.411,0.0
00616,7201304056,0.841,0.0
00616,7201314505,1.182,0.023
00616,7201323750,2.015,0.018
00616,7201353549,4.436,0.0
00617,7201705389,0.039,0.0
00617,7201729039,9.533,0.001
00617,7201730415,4.469,0.022
00617,7201758580,4.249,0.63
00617,7205428996,0.064,0.0
00622,7202308012,10.435,3.376
00622,7202346067,19.507,3.971
00622,7202360601,1.226,0.214
00623,7202304787,5.804,0.019
00623,7202308012,2.07,0.002
00623,7202309818,0.104,0.0
00623,7202331017,6.876,2.058
00623,7202346153,6.627,0.003
00623,7202353377,7.7,1.964
00623,7202354409,3.801,0.0
00623,7202360601,6.216,1.434
00624,7211105862,3.556,0.0
00624,7211121127,1.153,0.001
00624,7211122460,0.945,0.001
00624,7211126631,4.897,1.474
00624,7211137510,4.033,0.006
00624,7211148174,2.173,0.0
00624,7211161117,0.251,0.0
00624,7211167137,3.875,0.001
00624,7211172770,8.486,0.001
00624,7211179607,4.007,0.001
00624,7211181499,2.401,0.002
00624,7211181585,4.051,4.449
00624,7211181628,4.789,0.005
00624,7211312312,2.342,0.001
00627,7202700100,6.766,0.0
00627,7202711968,0.772,0.18
00627,7202712011,3.147,0.0
