ZCTA5,Place GEOID,Land Area,Water Area
00601,7200358,1940807,0
00602,7200616,955291,0
00602,7247873,4242238,0
00603,7200745,6489711,1518791
00603,7209689,1173932,0
00603,7268599,733180,0
00606,7251270,421474,0
00610,7202680,2158299,402
00610,7227263,1793801,29699
00610,7242068,2754830,1300733
00610,7243702,641415,0
00612,7203024,595925,0
00612,7203368,40170090,6320696
00616,7204658,5289957,419
00617,7205346,2511711,0
00617,7209603,618072,0
00617,7230372,1707689,0
00617,7235962,1675756,0
00617,7282125,429637,0
00622,7207969,2668363,0
00622,7224954,1487882,3038
00622,7263697,1439163,2758
00623,7207668,327735,0
00623,7207969,4404,0
00623,7209861,6102672,0
00623,7254366,3700033,0
00623,7265589,3095773,1664311
00624,7261074,2496899,2329
00624,7267200,1488689,2558
00624,7279564,5694628,3594
00624,7281413,2897905,0
00624,7281456,988498,723
00627,7201863,2591864,0
00627,7211925,2579707,467257
00627,7223341,901729,0
00627,7241810,312430,0
00627,7261590,1765505,0
00627,7266660,428205,0
00627,7288293,1291691,791696
00637,7245379,615590,0
00637,7246282,1885865,0
00637,7273544,5566713,399
00638,7217773,3009846,36963
00638,7229682,7153861,0
00638,7234242,4992939,73486
00638,7237336,5414519,0
00641,7215623,777847,0
00641,7284509,4723608,100465
00646,7224008,8186081,1449741
00646,7271437,3909200,19327
00646,7275694,4873110,0
00646,7285197,115657,0
00647,7229727,784018,20387
00647,7231189,4360932,13545
00650,7228824,3912344,7250
00650,7257862,300200,0
00653,7226287,2771323,1608
00653,7231189,2166934,1500
00653,7250754,907267,0
00656,7232307,1832519,478
00656,7236177,2633283,1937
00656,7248604,1901475,0
00659,7214634,1464628,0
00659,7220482,1342248,0
00659,7233296,2800372,1133002
00659,7268513,4020313,14165
00659,7268556,1079365,386
00660,7235059,11378071,190
00662,7236478,6781080,502850
00662,7254882,828928,756
00664,7238370,1252291,0
00667,7240950,3869944,555
00667,7241767,737014,0
00667,7248862,806352,0
00667,7258150,873928,0
00669,7242498,5244360,1129
00670,7243788,922401,0
00674,7221385,728999,0
00674,7241294,2548426,0
00674,7250152,5386020,649
00674,7282187,2372325,226396
00676,7200186,649182,0
00676,7228367,828309,0
00676,7236779,357456,29
00676,7244507,368234,0
00676,7246800,787801,0
00676,7246960,246047,0
00676,7253807,348025,0
00676,7287638,393405,0
00677,7269588,1096226,0
00677,7280596,897181,0
00678,7210048,2188436,5371
00678,7268040,4935099,1750
00678,7275780,3511614,713
00680,7252431,24809882,45888
00682,7235059,70396,0
00682,7252431,29534698,5575344
00683,7273372,984614,0
00683,7276167,7413895,4307
00685,7233597,2055969,0
00685,7239470,459708,0
00685,7277500,5298117,0
00687,7205217,1390425,0
00687,7229555,927951,0
00687,7255097,1454040,825
00688,7239875,2943713,0
00688,7273716,6743839,0
00690,7275608,1252042,1016
00692,7208700,2553921,0
00692,7216139,491907,274
00692,7273200,13895,0
00692,7285197,4784688,0
00693,7216139,2101937,0
00693,7221385,7420,0
00693,7253678,4786254,4956
00693,7253979,1802018,37887
00693,7273200,917337,0
00693,7285326,15787231,74616
00698,7259053,1294910,1997
00698,7288035,7498899,7096
00703,7200874,2541965,1742
00703,7271996,353985,0
00703,7277826,802453,5544
00704,7216526,1340787,301215
00704,7220310,2411719,0
00705,7201218,3958898,3635
00705,7260257,1322994,0
00707,7226502,2201757,0
00707,7252345,1517426,613
00707,7259139,1176331,0
00714,7203927,3605321,574589
00714,7209087,738869,0
00714,7258365,1800470,3555
00714,7288121,3076256,0
00715,7211151,710492,0
00715,7213925,1486356,5242
00716,7263820,21230134,14357806
00717,7263820,6145510,160726
00718,7223062,1467922,1689
00718,7224395,571984,271
00718,7255828,1625214,0
00718,7260945,258971,0
00718,7270448,1989735,0
00719,7256129,1717341,0
00720,7257290,1460486,0
00723,7241466,1283121,0
00723,7258365,1584927,9509
00723,7260472,2950709,4783
00725,7204620,223558,0
00725,7210334,17767356,237576
00725,7241274,377989,0
00725,7259450,125556,0
00725,7282875,813163,0
00727,7210334,10456266,1565
00727,7233184,1454011,6260
00727,7242842,906887,3500
00727,7247336,593750,0
00727,7247422,643904,0
00728,7263820,27453617,8972830
00729,7207496,940237,0
00729,7211345,3806179,472
00729,7211710,1080200,0
00729,7212828,7299913,44698
00729,7213065,1756529,0
00729,7246626,764991,0
00729,7258613,2849748,0
00729,7267675,4899635,0
00729,7276339,1942060,0
00729,7277672,1715071,26066
00729,7284917,196665,0
00729,7286788,104563,0
00729,7286796,388245,0
00729,7287282,843016,0
00730,7263820,14063907,145157
00731,7220998,453575,0
00731,7225835,828208,0
