ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00601,72001,7200174963,7200358,00550,16834,7173,64.421,0.308,18.180555,-66.749961
00602,72003,7200317085,7247873,00631,37642,17387,30.327,1.71,18.361945,-67.175597
00603,72005,7200511237,7200745,00631,49075,25125,34.356,2.414,18.457399,-67.124867
00606,72093,7209351399,7251270,,5590,2722,44.334,0.005,18.158327,-66.932928
00610,72011,7201120439,7242068,00631,25542,12328,37.124,1.656,18.295304,-67.12518
00611,72141,7214102981,,,1315,683,10.645,0.001,18.276316,-66.807165
00612,72013,7201327061,7203368,03034,63312,30259,76.14,5.891,18.416727,-66.70009
00616,72013,7201353549,7204658,05040,9625,4421,10.884,0.055,18.420412,-66.671979
00617,72017,7201729039,7205346,05040,22573,9990,18.355,0.654,18.446889,-66.561154
00622,72023,7202346067,7207969,78985,7577,8015,31.168,7.561,17.988103,-67.160357
00623,72023,7202353377,7209861,78985,39406,20465,39.198,5.48,18.084371,-67.158765
00624,72111,7211172770,7279564,97561,21648,9162,46.96,5.94,18.051808,-66.721711
00627,72027,7202766707,7201863,03034,32733,14035,46.369,1.354,18.412507,-66.863811
00631,72001,7200132608,,,1431,651,3.126,0.274,18.184294,-66.830795
00636,72125,7212572469,,55738,1057,262,0.367,0.0,18.1636,-67.080097
00637,72121,7212178747,7273544,78985,22882,11094,35.17,0.01,18.080103,-66.947975
00638,72039,7203934285,7229682,16804,17605,7735,71.401,0.185,18.280188,-66.513111
00641,72141,7214110291,7284509,89812,24299,11453,84.113,1.334,18.268074,-66.701785
00646,72051,7205134758,7224008,79093,35926,15915,21.052,1.257,18.432897,-66.286499
00647,72055,7205554022,7231189,35852,4702,3389,15.811,3.075,17.963613,-66.947127
00650,72054,7205428996,7228824,05040,13767,5985,31.719,0.213,18.349209,-66.578112
00652,72013,7201330329,,05040,3924,1754,6.442,0.022,18.44844,-66.59411
00653,72055,7205514032,7226287,97561,8980,5793,22.086,2.037,17.988642,-66.90169
00656,72059,7205907840,7236177,97561,18121,8405,42.145,4.048,18.040426,-66.789672
00659,72065,7206507066,7268513,03034,37066,16564,41.057,1.176,18.407226,-66.808999
00660,72067,7206707453,7235059,55738,15483,7483,11.318,0.0,18.134695,-67.116199
00662,72071,7207145809,7236478,00631,40480,19296,41.271,2.054,18.468301,-67.015749
00664,72073,7207349937,7238370,42778,14967,6323,46.91,0.001,18.21033,-66.591616
00667,72079,7207921041,7240950,78985,23370,12137,60.199,10.907,18.003422,-67.03581
00669,72081,7208111022,7242498,47865,27529,12182,64.113,0.034,18.276925,-66.869587
00670,72083,7208303110,7243788,55738,8746,4047,46.508,0.145,18.233585,-66.987585
00674,72091,7209170319,7250152,79093,39385,18686,43.453,2.657,18.424145,-66.487895
00676,72099,7209917257,7228367,00631,36683,16057,48.853,0.022,18.381597,-67.080884
00677,72117,7211764686,7269588,00631,15304,9371,14.569,1.388,18.332568,-67.227022
00678,72115,7211575823,7268040,03034,25039,11485,29.141,1.823,18.430503,-66.930479
00680,72097,7209736650,7252431,55738,43173,24984,64.305,7.653,18.183493,-67.133054
00682,72097,7209774361,7252431,55738,30414,16123,16.31,3.112,18.224864,-67.153891
00683,72125,7212510807,7276167,78985,29547,14975,49.289,0.011,18.1078,-67.037263
00685,72131,7213110893,7277500,00631,40346,18704,78.691,0.438,18.336887,-66.972929
00687,72101,7210129598,7255097,79093,28659,12042,38.871,0.054,18.318017,-66.420392
00688,72013,7201373759,7273716,05040,11478,5217,32.504,0.027,18.382311,-66.626416
00690,72005,7200554108,7275608,00631,5781,2477,2.262,0.003,18.493543,-67.096915
00692,72143,7214373157,7285197,79093,33302,15307,26.529,0.771,18.410652,-66.336202
00693,72145,7214566019,7285326,79093,55570,25641,44.409,2.061,18.425961,-66.398098
00694,72145,7214565503,,79093,98,92,0.799,0.756,18.483127,-66.39236
00698,72153,7215305432,7288035,97561,33506,17283,62.665,0.629,18.072916,-66.85119
00703,72007,7200780811,7200874,79093,24475,11023,31.022,0.011,18.248401,-66.130662
00704,72123,7212301175,7220310,19970,6831,3386,8.996,0.78,17.973168,-66.229011
00705,72009,7200945895,7201218,00660,24401,9985,30.406,0.026,18.12896,-66.266691
00707,72095,7209526545,7226502,79093,10487,4950,20.925,1.474,18.014055,-65.920751
00714,72015,7201588164,7203927,35866,15797,8153,15.003,1.085,17.995867,-66.055529
00715,72113,7211385068,7213925,70642,2040,1066,12.708,4.246,17.990485,-66.566143
00716,72113,7211362751,7263820,70642,27166,13853,8.668,5.545,17.985014,-66.606721
00717,72113,7211312355,7263820,70642,15029,9061,2.373,0.062,18.002639,-66.611087
00718,72103,7210370491,7270448,28981,23289,11171,47.211,1.784,18.23201,-65.756036
00719,72105,7210503153,7256129,79093,29523,10820,28.209,0.416,18.28992,-66.25344
00720,72107,7210706507,7257290,79093,20816,8472,56.139,0.111,18.216608,-66.423682
00723,72109,7210955699,7260472,35866,15978,8231,46.008,6.737,18.019337,-66.001862
00725,72025,7202577371,7210334,79093,77244,36433,41.363,0.753,18.220689,-66.03958
00727,72025,7202512226,7210334,79093,53258,23083,22.563,0.012,18.211921,-66.073355
00728,72113,7211312312,7263820,70642,38590,15661,15.397,8.347,17.991071,-66.662968
00729,72029,7202912850,7212828,79093,47826,19877,35.753,0.188,18.334918,-65.887078
00730,72113,7211348432,7263820,70642,32267,16688,6.637,0.057,18.030882,-66.611928
00731,72113,7211382058,7282055,70642,10473,5337,48.953,1.105,18.109947,-66.635622
00735,72037,7203769846,7201003,28981,11164,7280,27.376,2.995,18.252179,-65.665631
