GEOID,Name,CSA,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
10100,"Aberdeen, SD",,40602,18672,7352814243,111579584,45.519435,-98.7007
10140,"Aberdeen, WA",,72797,35166,4926225833,834957671,47.113732,-123.826735
10180,"Abilene, TX",,165252,69721,7105575299,36849277,32.452022,-99.718743
10220,"Ada, OK",,37492,16595,1865918266,12405563,34.721445,-96.69197
10300,"Adrian, MI",220,99892,43452,1941337767,30701176,41.896022,-84.074356
10380,"Aguadilla-Isabela, PR",,339441,153047,1222481389,358955818,18.356965,-67.007895
10420,"Akron, OH",184,703200,312581,2331323747,62134061,41.146639,-81.35011
10460,"Alamogordo, NM",,63797,30992,17128132348,37018891,32.615599,-105.751308
10500,"Albany, GA",,153857,64408,4119669781,47164777,31.589303,-84.174913
10540,"Albany-Lebanon, OR",440,116672,48821,5931407318,48773626,44.488898,-122.537208
10580,"Albany-Schenectady-Troy, NY",104,870716,393297,7281892392,172655035,42.78792,-73.942348
10620,"Albemarle, NC",172,60585,27110,1023267267,25262146,35.310449,-80.254374
10660,"Albert Lea, MN",,31255,14231,1831346129,39715485,43.674202,-93.350289
10700,"Albertville, AL",,93019,40342,1465522757,148503356,34.309564,-86.321668
10740,"Albuquerque, NM",106,887077,374404,24041559464,37970033,35.123496,-106.458392
10760,"Alexander City, AL",388,53155,28589,3541671132,168755442,32.863308,-85.799618
10780,"Alexandria, LA",,153922,64570,5078935287,169184339,31.325348,-92.546803
10820,"Alexandria, MN",,36009,19905,1650598293,214205330,45.936829,-95.462156
10860,"Alice, TX",204,52620,21670,6885345647,14217788,27.733516,-98.090814
10900,"Allentown-Bethlehem-Easton, PA-NJ",,821173,342200,3763809464,58700377,40.789339,-75.398158
10940,"Alma, MI",394,42476,16339,1472313856,8150717,43.292326,-84.60469
10980,"Alpena, MI",,29598,16053,1481110566,2908717141,44.894954,-83.426574
11020,"Altoona, PA",107,127089,56276,1361815301,3285521,40.497922,-78.310636
11060,"Altus, OK",,26446,12077,2078856062,4114418,34.594006,-99.412235
11100,"Amarillo, TX",108,251933,103387,13337858589,88089187,35.247897,-101.908638
11140,"Americus, GA",,37829,16117,1682463448,28164330,32.098355,-84.224304
11180,"Ames, IA",218,115848,48545,2963949711,7516970,42.037538,-93.466093
11220,"Amsterdam, NY",104,50219,23063,1043875858,18939233,42.900891,-74.435357
11260,"Anchorage, AK",,380821,154361,68149269161,2346598386,62.212784,-149.678222
11380,"Andrews, TX",,14786,5814,3886829704,957046,32.312258,-102.640206
11420,"Angola, IN",258,34185,19377,800149001,35034127,41.643467,-85.002405
11460,"Ann Arbor, MI",220,344791,147573,1828442046,42615161,42.252217,-83.843423
11500,"Anniston-Oxford, AL",,118572,53289,1569189995,16624267,33.771706,-85.822513
11540,"Appleton, WI",118,225666,92844,2475405126,222495895,44.290603,-88.372326
11580,"Arcadia, FL",412,34862,14590,1649975818,6274597,27.190581,-81.806253
11620,"Ardmore, OK",,56980,25687,3460665702,77668387,34.251848,-97.287927
11640,"Arecibo, PR",490,199471,85803,613218057,231817102,18.439224,-66.759981
11660,"Arkadelphia, AR",,22995,10385,2243121932,43395997,34.053316,-93.176208
11700,"Asheville, NC",120,424858,213637,5265449402,21840719,35.595669,-82.681615
11740,"Ashland, OH",360,53139,22141,1095434931,9969455,40.843273,-82.270127
11780,"Ashtabula, OH",184,101497,46099,1817993244,1724857052,41.906637,-80.745592
11820,"Astoria, OR",,37039,21546,2147227903,661312521,46.024509,-123.705034
11860,"Atchison, KS",312,16924,6990,1116729659,6857598,39.532544,-95.313397
11900,"Athens, OH",,64757,26385,1304313482,12542538,39.332604,-82.045844
11940,"Athens, TN",174,52266,23341,1114018337,5331264,35.424472,-84.619949
11980,"Athens, TX",206,78532,39595,2262997188,193170040,32.211633,-95.853418
12020,"Athens-Clarke County, GA",122,192541,81719,2654252197,26471841,33.943984,-83.213897
12060,"Atlanta-Sandy Springs-Alpharetta, GA",122,5286728,2172967,22496352279,387884302,33.693728,-84.399911
12100,"Atlantic City-Hammonton, NJ",428,274549,126647,1439267859,300755451,39.469355,-74.633759
12120,"Atmore, AL",426,38319,16486,2447746932,20873208,31.122287,-87.16841
12140,"Auburn, IN",258,42223,17558,939710824,2657410,41.401189,-85.000185
12180,"Auburn, NY",532,80026,36489,1791189978,445707605,43.008546,-76.574587
12220,"Auburn-Opelika, AL",194,140247,62391,1573510728,21530362,32.604064,-85.353048
12260,"Augusta-Richmond County, GA-SC",,564873,241735,9014878033,262871230,33.460371,-81.982833
12300,"Augusta-Waterville, ME",,122151,60972,2246876912,216653706,44.417012,-69.765764
12380,"Austin, MN",462,39163,17027,1842332613,617163,43.666249,-92.759514
12420,"Austin-Round Rock-Georgetown, TX",,1716289,706505,10929465393,155886991,30.239513,-97.69127
12460,"Bainbridge, GA",,27842,12125,1546584607,67412720,30.880597,-84.583895
12540,"Bakersfield, CA",,839631,284367,21061565098,79577235,35.346629,-118.729506
12580,"Baltimore-Columbia-Towson, MD",548,2710489,1132251,6737801281,1304173592,39.304361,-76.549501
12620,"Bangor, ME",,153923,73860,8799125852,413670635,45.409284,-68.666616
12660,"Baraboo, WI",357,61976,29708,2152025932,45881330,43.428001,-89.943318
12680,"Bardstown, KY",350,43437,18075,1081351761,17000268,37.80312,-85.465931
12700,"Barnstable Town, MA",148,215888,160281,1019738402,2361587952,41.799014,-70.21188
12740,"Barre, VT",162,59534,29941,1779926134,21213229,44.274988,-72.609514
12780,"Bartlesville, OK",538,50976,23451,1076020808,22829387,36.70438,-95.906155
12860,"Batavia, NY",464,60079,25589,1276697637,6142600,43.00091,-78.192778
12900,"Batesville, AR",,53911,26009,3544118308,24766535,35.737499,-91.559942
12940,"Baton Rouge, LA",,825905,340080,11306786272,552924656,30.57089,-91.134533
12980,"Battle Creek, MI",310,136146,61042,1829135298,31390284,42.24299,-85.012385
13020,"Bay City, MI",474,107771,48220,1145557748,487991946,43.699711,-83.978701
13060,"Bay City, TX",288,36702,18801,2849700666,1326679773,28.77476,-96.001532
13100,"Beatrice, NE",339,22311,10446,2205352156,21928736,40.255234,-96.683453
13140,"Beaumont-Port Arthur, TX",,388745,162334,5440350393,749025469,30.347833,-94.120371
13180,"Beaver Dam, WI",376,88759,37005,2267857853,81401698,43.422659,-88.704396
13220,"Beckley, WV",,124898,57549,3281257005,27957038,37.905325,-81.164436
13260,"Bedford, IN",144,46134,21074,1163339936,7150614,38.839815,-86.48782
13300,"Beeville, TX",,31861,10649,2279809490,246410,28.416077,-97.742586
13340,"Bellefontaine, OH",198,45858,23181,1187326601,21608810,40.387553,-83.766343
13380,"Bellingham, WA",,201140,90665,5456733620,1027224451,48.842653,-121.836432
13420,"Bemidji, MN",,44442,20527,6487764440,1426606363,47.879508,-95.00505
13460,"Bend, OR",140,157733,80139,7817065156,94747043,43.915118,-121.225575
13500,"Bennettsville, SC",,28933,12072,1242350170,14504245,34.60167,-79.679435
13540,"Bennington, VT",,37125,20922,1748190656,6931622,43.035325,-73.11146
13620,"Berlin, NH",,33055,21321,4648212655,90777672,44.698624,-71.42165
13660,"Big Rapids, MI",266,42798,21131,1437626850,41759550,43.635295,-85.332751
13700,"Big Spring, TX",,35012,13124,2333038341,8841951,32.091772,-101.467644
13720,"Big Stone Gap, VA",,45410,19885,1063628769,5373681,37.025296,-82.509943
