GEOID,GNIS ID,Name,Short Name,State,CBSA,Central,DMA,Time Zone,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
04027,23901,Yuma County,Yuma,AZ,49740,T,771,America/Phoenix,H1,195751,87850,14281174361,13253868,32.7694043,-113.9055638
04001,25441,Apache County,Apache,AZ,,F,753,America/Denver,H1,71518,32514,29001443825,54175788,35.3956031,-109.4888541
04003,25442,Cochise County,Cochise,AZ,43420,T,789,America/Phoenix,H1,131346,59041,15969063883,137025224,31.8795613,-109.7513001
04005,25443,Coconino County,Coconino,AZ,22380,T,753,America/Phoenix,H1,134421,63321,48222689085,109964090,35.8387309,-111.7705132
04009,25444,Graham County,Graham,AZ,40940,T,753,America/Phoenix,H1,37220,12980,11972471194,47833765,32.9327158,-109.8874379
04015,25445,Mohave County,Mohave,AZ,29420,T,753,America/Phoenix,H1,200186,110911,34475546921,387371395,35.7040582,-113.7579112
04019,25446,Pima County,Pima,AZ,46060,T,789,America/Phoenix,H1,980263,440909,23794311939,5337525,32.0973867,-111.7899302
04021,25447,Pinal County,Pinal,AZ,38060,T,753,America/Phoenix,H1,375770,159222,13896869603,22331525,32.9043583,-111.3447269
04013,37026,Maricopa County,Maricopa,AZ,38060,T,753,America/Phoenix,H1,3817117,1639279,23828260196,62795719,33.3488294,-112.4912825
04007,40471,Gila County,Gila,AZ,37740,T,753,America/Phoenix,H1,53597,32698,12322988718,97111978,33.7997499,-110.8117371
04023,40472,Santa Cruz County,Santa Cruz,AZ,35700,T,789,America/Phoenix,H1,47420,18010,3203598541,3088171,31.526001,-110.8465712
04011,42807,Greenlee County,Greenlee,AZ,,F,753,America/Phoenix,H1,8437,4372,4773673819,13745365,33.2154832,-109.2402169
04017,42808,Navajo County,Navajo,AZ,43320,T,753,America/Denver,H1,107449,56938,25771473007,24078377,35.3995394,-110.3214029
04025,42809,Yavapai County,Yavapai,AZ,39150,T,753,America/Phoenix,H1,211033,110432,21039764981,11501683,34.5998814,-112.5538639
04012,43540,La Paz County,La Paz,AZ,,F,753,America/Phoenix,H1,20489,16049,11653984341,36581791,33.729264,-113.981338
05001,63755,Arkansas County,Arkansas,AR,,F,693,America/Chicago,H1,19019,9436,2560902522,116495598,34.2908084,-91.3749055
05003,63756,Ashley County,Ashley,AR,,F,628,America/Chicago,H1,21853,10137,2396641905,39310651,33.191222,-91.7684476
05011,63757,Bradley County,Bradley,AR,,F,693,America/Chicago,H1,11508,5860,1681500473,9546870,33.4664224,-92.1624016
05013,63758,Calhoun County,Calhoun,AR,15780,F,693,America/Chicago,H1,5368,2897,1628017155,9926138,33.5580342,-92.5030442
05021,63759,Clay County,Clay,AR,,F,734,America/Chicago,H1,16083,8031,1656206452,5105957,36.3683942,-90.4173836
05025,63760,Cleveland County,Cleveland,AR,38220,F,693,America/Chicago,H1,8689,4064,1548252069,2500394,33.8983632,-92.1851442
05027,63761,Columbia County,Columbia,AR,31620,T,612,America/Chicago,H1,24552,11596,1984066985,1813507,33.2142872,-93.2273087
