GEOID,GNIS ID,Name,County GEOID,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
0900324800,212329,Town of East Windsor,09003,T1,11162,5045,67989001,1466611,41.9048954,-72.5672056
0901325360,212330,Town of Ellington,09013,T1,15602,6665,88215272,1380866,41.9151529,-72.448466
0900325990,212332,Town of Enfield,09003,T1,44654,17558,86292325,2446885,41.9840305,-72.5547385
0901369220,212346,Town of Somers,09013,T1,11444,3479,73701162,304027,41.9949843,-72.4530838
0901372090,212349,Town of Stafford,09013,T1,12087,5124,150316815,1868958,41.9875408,-72.3122991
0900374540,212351,Town of Suffield,09003,T1,15735,5469,109525836,1739693,41.9945144,-72.6789927
0900387000,212354,Town of Windsor,09003,T1,29044,11767,76443204,3749674,41.8710488,-72.6736145
0900387070,212355,Town of Windsor Locks,09003,T1,12498,5429,23371120,885163,41.926711,-72.6543945
0901376290,212667,Town of Tolland,09013,T1,15052,5451,102633516,1630211,41.8785971,-72.3648099
0901301080,213382,Town of Andover,09013,T1,3303,1317,40012484,635900,41.7331195,-72.3760493
0900901220,213383,Town of Ansonia,09009,T5,19249,8148,15588610,435200,41.3442507,-73.0689289
0901501430,213384,Town of Ashford,09015,T1,4317,1903,100392658,1832771,41.8910913,-72.1710357
0900302060,213385,Town of Avon,09003,T1,18098,7389,59982590,1118863,41.790673,-72.8538402
0900502760,213386,Town of Barkhamsted,09005,T1,3799,1589,93896806,6671465,41.931554,-72.9727668
0900903250,213387,Town of Beacon Falls,09009,T1,6049,2509,25055587,301401,41.4390242,-73.0567625
0900304300,213388,Town of Berlin,09003,T1,19866,8140,68174074,1718125,41.6113851,-72.7758191
0900904580,213389,Town of Bethany,09009,T1,5563,2044,54669018,996204,41.4260554,-72.993082
0900104720,213390,Town of Bethel,09001,T1,18584,7310,43918202,156161,41.3747198,-73.3928395
0900504930,213391,Town of Bethlehem,09005,T1,3607,1575,50181139,740227,41.6374841,-73.2113207
0900305910,213392,Town of Bloomfield,09003,T1,20486,9019,67562258,430688,41.8425788,-72.7406216
0901306260,213393,Town of Bolton,09013,T1,4980,2015,37314557,766251,41.7664908,-72.4390096
0901106820,213394,Town of Bozrah,09011,T1,2627,1059,51708109,723331,41.5453396,-72.1748869
0900907310,213395,Town of Branford,09009,T1,28026,13972,56567937,15930326,41.2792791,-72.7965133
0900108070,213396,Town of Bridgeport,09001,T5,144229,57012,41604242,8708221,41.1872277,-73.1954948
0900508210,213397,Town of Bridgewater,09005,T1,1727,881,42463448,2364041,41.5208869,-73.3601472
0900308490,213398,Town of Bristol,09003,T5,60477,27011,68392153,1047480,41.681152,-72.9406964
0900108980,213399,Town of Brookfield,09001,T1,16452,6562,51115716,1541601,41.4674209,-73.3923028
0901509190,213400,Town of Brooklyn,09015,T1,8210,3235,75454825,282000,41.7869744,-71.9543533
0900310100,213401,Town of Burlington,09003,T1,9301,3389,76927731,1836670,41.7597648,-72.9589634
0900510940,213402,Town of Canaan,09005,T1,1234,779,85242556,836406,41.959793,-73.3101651
0901512130,213403,Town of Canterbury,09015,T1,5132,2043,103456495,683775,41.6978914,-71.9997717
0900312270,213404,Town of Canton,09003,T1,10292,4339,63676505,1137667,41.8600156,-72.9083026
0901513810,213405,Town of Chaplin,09015,T1,2305,988,50222577,352486,41.7931475,-72.1276861
0900914160,213406,Town of Cheshire,09009,T1,29261,10424,85674790,765695,41.5113456,-72.9035814
0900714300,213407,Town of Chester,09007,T1,3994,1923,41573118,2010913,41.4059384,-72.4831943
0900715350,213408,Town of Clinton,09007,T1,13260,6065,41975452,7283328,41.2936396,-72.5278477
0901115910,213409,Town of Colchester,09011,T1,16068,6182,126976568,1865056,41.5620935,-72.3475247
0900516050,213410,Town of Colebrook,09005,T1,1485,722,81722365,3551365,42.0015281,-73.0808538
0901316400,213411,Town of Columbia,09013,T1,5485,2308,55355049,1587988,41.6938623,-72.3072303
0900517240,213412,Town of Cornwall,09005,T1,1420,1007,119297399,656787,41.847295,-73.3299468
0901317800,213413,Town of Coventry,09013,T1,12435,5099,97308018,1744460,41.7828376,-72.3394156
0900718080,213414,Town of Cromwell,09007,T1,14005,6001,32251179,1291345,41.6121937,-72.6637979
0900118500,213415,Town of Danbury,09001,T5,80893,31154,108643145,5807119,41.4015631,-73.4710027
0900118850,213416,Town of Darien,09001,T1,20732,7074,32774488,28026884,41.051993,-73.479097
0900719130,213417,Town of Deep River,09007,T1,4629,2096,35001764,1684244,41.368936,-72.4622926
0900919550,213418,Town of Derby,09009,T5,12902,5849,13094124,906368,41.3265067,-73.0833063
0900720810,213419,Town of Durham,09007,T1,7388,2694,61276968,395266,41.4622245,-72.6828815
0901521860,213420,Town of Eastford,09015,T1,1749,793,74904508,891568,41.8914247,-72.0920166
0900322070,213421,Town of East Granby,09003,T1,5148,2152,45491065,261880,41.9423841,-72.7409653
0900722490,213423,Town of East Hampton,09007,T1,12959,5485,92335616,3227660,41.5695453,-72.5074148
0900322630,213424,Town of East Hartford,09003,T1,51252,21328,46610799,1904155,41.7634411,-72.6152271
0900922910,213425,Town of East Haven,09009,T1,29257,12533,31846041,3116163,41.2953284,-72.8590044
0901123400,213426,Town of East Lyme,09011,T1,19159,8458,88094964,20669284,41.3555485,-72.2315944
0900123890,213427,Town of Easton,09001,T1,7490,2715,71026021,3231994,41.2649352,-73.3001074
0900726270,213428,Town of Essex,09007,T1,6683,3261,26942174,3764185,41.3499547,-72.4145426
0900126620,213429,Town of Fairfield,09001,T1,59404,21648,77447722,3827261,41.1761951,-73.2731524
0900327600,213430,Town of Farmington,09003,T1,25340,11106,72370740,2271280,41.7287838,-72.8406193
0901129910,213431,Town of Franklin,09011,T1,1922,771,51049944,222178,41.615848,-72.1431224
0900331240,213432,Town of Glastonbury,09003,T1,34427,13656,132785890,2376013,41.692138,-72.5472287
0900532290,213433,Town of Goshen,09005,T1,2976,1664,113004840,4028683,41.8500635,-73.2335833
0900332640,213434,Town of Granby,09003,T1,11282,4360,105449903,351359,41.9694872,-72.8345933
0900133620,213435,Town of Greenwich,09001,T1,61171,25631,123596044,50733666,41.0463124,-73.6273892
0901133900,213436,Town of Griswold,09011,T1,11951,5118,89897144,6104029,41.585229,-71.922659
0901134250,213437,Town of Groton,09011,T1,40115,17978,80572809,36707872,41.3473522,-72.0302416
0900934950,213438,Town of Guilford,09009,T1,22375,9596,121933328,6858340,41.3315883,-72.7004785
0900735230,213439,Town of Haddam,09007,T1,8346,3504,113796056,6074385,41.4676538,-72.5458483
0900935650,213440,Town of Hamden,09009,T1,60960,25114,84513851,1766055,41.3960639,-72.9215202
0901536000,213441,Town of Hampton,09015,T1,1863,793,64988483,1052941,41.7840586,-72.0583861
0900337070,213442,Town of Hartford,09003,T5,124775,51822,45012646,1751553,41.7660707,-72.6834012
0900337140,213443,Town of Hartland,09003,T1,2114,856,85456101,3932194,42.0043487,-72.9485862
0900537280,213444,Town of Harwinton,09005,T1,5642,2282,79726955,896244,41.755051,-73.0582683
0901337910,213445,Town of Hebron,09013,T1,9686,3567,95557620,904946,41.6593502,-72.3904801
0900540290,213446,Town of Kent,09005,T1,2979,1665,125813190,2676631,41.729912,-73.4539827
0901540500,213447,Town of Killingly,09015,T1,17370,7592,125232035,3912894,41.830999,-71.8499073
0900740710,213448,Town of Killingworth,09007,T1,6525,2598,91506573,1170681,41.3792151,-72.578452
0901142390,213449,Town of Lebanon,09011,T1,7308,3125,140113255,2986571,41.6312816,-72.2401751
0901142600,213450,Town of Ledyard,09011,T1,15051,5987,98968753,4635709,41.4400307,-72.0166945
0901143230,213451,Town of Lisbon,09011,T1,4338,1730,42200264,1018780,41.601372,-72.0141282
0900543370,213452,Town of Litchfield,09005,T1,8466,3975,145296066,1831291,41.7413262,-73.1931368
0901144210,213453,Town of Lyme,09011,T1,2406,1223,82353554,6919728,41.3965096,-72.343804
0900944560,213454,Town of Madison,09009,T1,18269,8049,93622109,1251400,41.3400071,-72.6279893
0900344700,213455,Town of Manchester,09003,T1,58241,25996,70972781,720300,41.775339,-72.5242105
0901344910,213456,Town of Mansfield,09013,T1,26543,6017,115605884,2640719,41.7892016,-72.2286935
0900345820,213457,Town of Marlborough,09003,T1,6404,2389,60479197,444481,41.6330659,-72.454694
0900946520,213458,Town of Meriden,09009,T5,60868,25892,61638595,937980,41.536746,-72.794344
0900946940,213459,Town of Middlebury,09009,T1,7575,2892,45986819,1786816,41.527073,-73.1228261
0900747080,213460,Town of Middlefield,09007,T1,4425,1863,32759594,1581755,41.5175435,-72.7148854
0900747360,213461,Town of Middletown,09007,T5,47648,21223,106235854,3488224,41.5476359,-72.6548766
0900947535,213462,Town of Milford,09009,T5,52759,23074,57442071,10218649,41.2237784,-73.0589114
0900148620,213463,Town of Monroe,09001,T1,19479,6918,67520203,513334,41.3379117,-73.225013
0901148900,213464,Town of Montville,09011,T1,19571,7407,108665028,5783813,41.4635756,-72.156992
0900549460,213465,Town of Morris,09005,T1,2388,1314,44961619,3518691,41.6897931,-73.2078169
0900949950,213466,Town of Naugatuck,09009,T5,31862,13061,42214194,246553,41.4890296,-73.0519246
0900350440,213467,Town of New Britain,09003,T5,73206,31226,34589134,187384,41.6758095,-72.7862263
0900150580,213468,Town of New Canaan,09001,T1,19738,7551,57484081,851635,41.1592102,-73.4991576
0900150860,213469,Town of New Fairfield,09001,T1,13881,5593,52946510,12202531,41.4880031,-73.4882584
0900551350,213470,Town of New Hartford,09005,T1,6970,2923,95927216,2940726,41.8442246,-73.0054678
0900952070,213471,Town of New Haven,09009,T5,129779,54967,48408576,3738290,41.3104108,-72.924252
0900352140,213472,Town of Newington,09003,T1,30562,13011,34034099,0,41.6869986,-72.7308391
0901152350,213473,Town of New London,09011,T5,27620,11840,14558137,12911245,41.3328551,-72.0962745
0900552630,213474,Town of New Milford,09005,T1,28142,11731,159453855,5609794,41.6042396,-73.421299
0900152980,213475,Town of Newtown,09001,T1,27560,10061,149002367,3647616,41.3987895,-73.2927316
0900553470,213476,Town of Norfolk,09005,T1,1709,967,117436918,2861079,41.9800397,-73.1963504
0900953890,213477,Town of North Branford,09009,T1,14407,5629,64123377,4939189,41.3645351,-72.7768377
0900554030,213478,Town of North Canaan,09005,T1,3315,1587,50176809,268569,42.0222986,-73.2935639
0900954870,213479,Town of North Haven,09009,T1,24093,9491,53974692,714453,41.3817551,-72.8572675
0901155500,213480,Town of North Stonington,09011,T1,5297,2306,140501870,1868223,41.4696782,-71.8754212
0900156060,213481,Town of Norwalk,09001,T5,85603,35415,59275236,34928559,41.0929562,-73.4194258
0901156270,213482,Town of Norwich,09011,T5,40493,18659,72680184,3483833,41.5494781,-72.0882714
0901157040,213483,Town of Old Lyme,09011,T1,7603,5021,59610715,15033565,41.3150688,-72.3027377
0900757320,213484,Town of Old Saybrook,09007,T1,10242,5602,39003140,16915075,41.2947331,-72.383644
0900957600,213485,Town of Orange,09009,T1,13956,5345,44498747,616353,41.2826958,-73.0271671
0900958300,213486,Town of Oxford,09009,T1,12683,4746,84808912,1525313,41.4312928,-73.1350303
0901559980,213487,Town of Plainfield,09015,T1,15405,6229,109844016,1480397,41.6991692,-71.8987224
0900360120,213488,Town of Plainville,09003,T1,17716,8063,25139798,191859,41.6741267,-72.85746
0900560750,213489,Town of Plymouth,09005,T1,12243,5109,56650622,1199855,41.6641551,-73.0263258
0901561030,213490,Town of Pomfret,09015,T1,4247,1684,104451274,647536,41.8670014,-71.9834005
0900761800,213491,Town of Portland,09007,T1,9508,4077,60476328,3896302,41.5988334,-72.5890555
0901162150,213492,Town of Preston,09011,T1,4726,2019,79848697,2360639,41.5223093,-72.001029
0900962290,213493,Town of Prospect,09009,T1,9405,3474,36898081,626715,41.4992752,-72.9761229
0901562710,213494,Town of Putnam,09015,T1,9584,4299,52588040,282510,41.909309,-71.8711555
0900163480,213495,Town of Redding,09001,T1,9158,3811,81735726,1421133,41.3050799,-73.391746
0900163970,213496,Town of Ridgefield,09001,T1,24638,9420,89344408,1289098,41.3064672,-73.5023731
0900365370,213497,Town of Rocky Hill,09003,T1,19709,8843,34867961,997339,41.6571997,-72.6632073
0900565930,213498,Town of Roxbury,09005,T1,2262,1167,68121044,143484,41.5538576,-73.3003218
0901166210,213499,Town of Salem,09011,T1,4151,1635,74924894,2172864,41.4853456,-72.2663154
0900566420,213500,Town of Salisbury,09005,T1,3741,2593,148239633,7341280,41.9860285,-73.4255517
0901567400,213501,Town of Scotland,09015,T1,1726,680,48254355,131514,41.6978173,-72.0879844
0900967610,213502,Town of Seymour,09009,T1,16540,6968,37600679,1190094,41.3809868,-73.0872421
0900567960,213503,Town of Sharon,09005,T1,2782,1775,152201018,2058008,41.8574772,-73.4375372
0900168170,213504,Town of Shelton,09001,T5,39559,16146,79334979,3292855,41.305985,-73.1382765
0900168310,213505,Town of Sherman,09001,T1,3581,1831,56699462,3915523,41.5802083,-73.4987021
0900368940,213506,Town of Simsbury,09003,T1,23511,9123,87883347,951746,41.8729067,-72.82557
0900969640,213507,Town of Southbury,09009,T1,19904,9091,101032223,2746690,41.4745439,-73.2329442
0900370550,213508,Town of Southington,09003,T1,43069,17447,92972677,1884516,41.604941,-72.8801257
0900371390,213509,Town of South Windsor,09003,T1,25709,10243,72668282,1572283,41.8352739,-72.5733469
0901171670,213510,Town of Sprague,09011,T1,2984,1248,34294921,1491928,41.6304519,-72.075828
0900173070,213511,Town of Stamford,09001,T5,122643,50573,97430573,37323739,41.0781951,-73.5497964
0901573420,213512,Town of Sterling,09015,T1,3830,1511,70499878,171521,41.7025171,-71.8184742
0901173770,213513,Town of Stonington,09011,T1,18545,9467,100076162,29643941,41.3653406,-71.9077606
0900174190,213514,Town of Stratford,09001,T1,51384,21091,45275802,6309952,41.2045232,-73.1299775
0900575730,213515,Town of Thomaston,09005,T1,7887,3276,31049992,561789,41.6695549,-73.0858875
0901575870,213516,Town of Thompson,09015,T1,9458,4171,121489043,4537398,41.9797568,-71.8735027
0900576570,213517,Town of Torrington,09005,T5,36383,16761,103014682,1441410,41.8349498,-73.1281498
0900177200,213518,Town of Trumbull,09001,T1,36018,13157,60189175,623554,41.2602442,-73.208364
0901377830,213519,Town of Union,09013,T1,854,388,74720104,2514328,41.9930291,-72.1602466
0901378250,213520,Town of Vernon,09013,T1,29179,13896,45836699,988545,41.8364044,-72.4606265
0901178600,213521,Town of Voluntown,09011,T1,2603,1127,100924002,2137004,41.5799489,-71.832419
0900978740,213522,Town of Wallingford,09009,T1,45135,18945,101113344,2149220,41.4587474,-72.8039217
0900579510,213523,Town of Warren,09005,T1,1461,811,68132140,3219783,41.7405585,-73.3448748
0900579720,213524,Town of Washington,09005,T1,3578,2124,98602269,1482946,41.6523185,-73.3144484
0900980070,213525,Town of Waterbury,09009,T5,110366,47991,73871686,1094372,41.5582447,-73.0361306
0901180280,213526,Town of Waterford,09011,T1,19517,8634,84696754,30653701,41.3526357,-72.1473114
0900580490,213527,Town of Watertown,09005,T1,22514,9096,75122326,1311126,41.6160197,-73.1177322
0900781680,213528,Town of Westbrook,09007,T1,6938,3937,40843929,14954929,41.2961742,-72.4627939
0900382590,213529,Town of West Hartford,09003,T1,63268,26396,56560149,1096521,41.7669315,-72.7535377
0900982870,213530,Town of West Haven,09009,T5,55564,22446,27842661,431798,41.2738506,-72.9669592
0900183430,213531,Town of Weston,09001,T1,10179,3674,51211665,2333476,41.228387,-73.3725292
0900183500,213532,Town of Westport,09001,T1,26391,10399,51698906,34946433,41.1225869,-73.3456842
0900384900,213533,Town of Wethersfield,09003,T1,26668,11677,31862531,2071395,41.7013156,-72.6703329
0901385950,213534,Town of Willington,09013,T1,6041,2637,86230287,582494,41.889554,-72.2593403
0900186370,213535,Town of Wilton,09001,T1,18062,6475,69376755,1276100,41.2070407,-73.4400607
0900586440,213536,Town of Winchester,09005,T1,11242,5613,84213566,3386147,41.9218611,-73.1028097
0901586790,213537,Town of Windham,09015,T1,25268,9570,69535081,2147715,41.7101611,-72.1670618
0900987560,213538,Town of Wolcott,09009,T1,16680,6276,52945987,1715527,41.6006581,-72.9733583
0900987700,213539,Town of Woodbridge,09009,T1,8990,3478,48722328,971942,41.3566036,-73.0101814
0900587910,213540,Town of Woodbury,09005,T1,9975,4564,94168479,736698,41.5614885,-73.2070195
0901588190,213541,Town of Woodstock,09015,T1,7964,3582,157165207,3070895,41.9693738,-72.0222208
1710342613,422223,Township of Lee Center,17103,T1,593,269,93933815,623964,41.714494,-89.226723
1714363771,422224,Township of Richwoods,17143,T1,6089,3048,7697926,363180,40.7535809,-89.5800416
1717351245,422225,Township of Moweaqua,17173,T1,2003,899,43714675,0,39.6317349,-88.9729587
1700145746,422226,Township of McKee,17001,T1,171,115,92698134,633223,39.8880508,-90.9738245
1709942197,422227,Township of LaSalle,17099,T1,13565,6356,43677668,1700686,41.3243065,-89.0775555
1712539870,422228,Township of Kilbourne,17125,T1,504,245,103837918,622649,40.1665455,-89.9987931
1707966803,422229,Township of Sainte Marie,17079,T1,551,264,111203489,289606,38.9031594,-88.0016003
1702936555,422230,Township of Humboldt,17029,T1,1341,551,138598091,124770,39.5866332,-88.3031215
1716528274,422231,Township of Galatia,17165,T1,1230,592,48202736,303639,37.8407117,-88.6501623
1717926636,422232,Township of Fondulac,17179,T1,13381,6099,46024152,9498328,40.695536,-89.5410893
1701523321,422233,Township of Elkhorn Grove,17015,T1,229,98,50497219,0,41.9775018,-89.7150813
1717709226,422234,Township of Buckeye,17177,T1,1359,596,93516234,0,42.4173479,-89.6334277
1715907289,422235,Township of Bonpas,17159,T1,390,160,97142399,20591,38.6143454,-87.9668721
1713507107,422236,Township of Bois d'Arc,17135,T1,956,451,141299478,154571,39.4801733,-89.6167778
