GEOID,Name,CBSA,Population,Housing Units,Land Area,Water Area
14454,"Boston, MA",14460,1887792,786042,2883523907,1410207845
15764,"Cambridge-Newton-Framingham, MA",14460,2246244,918758,3393867175,945744473
40484,"Rockingham County-Strafford County, NH",14460,418366,178406,2754957400,298927381
16984,"Chicago-Naperville-Evanston, IL",16980,7147982,2910075,8109115071,1892788699
20994,"Elgin, IL",16980,735165,263447,3811685334,24555521
23844,"Gary, IN",16980,708070,294127,4865286692,607785451
29404,"Lake County-Kenosha County, IL-WI",16980,869888,329598,1853551868,3643681754
19124,"Dallas-Plano-Irving, TX",19100,4230520,1657686,13660829871,682116510
23104,"Fort Worth-Arlington-Grapevine, TX",19100,2136022,841931,8796119640,189706582
19804,"Detroit-Dearborn-Livonia, MI",19820,1820584,821693,1585280173,156946749
47664,"Warren-Troy-Farmington Hills, MI",19820,2475666,1064844,8485641593,742226473
11244,"Anaheim-Santa Ana-Irvine, CA",31080,3010232,1048907,2047561084,407916814
31084,"Los Angeles-Long Beach-Glendale, CA",31080,9818605,3445076,10509869649,1795012906
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",33100,1748066,810388,3133329108,292869341
33124,"Miami-Miami Beach-Kendall, FL",33100,2496435,989435,4915061046,1381673402
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",33100,1320134,664594,5101663125,1070302119
35004,"Nassau County-Suffolk County, NY",35620,2832882,1038331,3099612590,4220645498
35084,"Newark, NJ-PA",35620,2147727,852179,5648860580,195929912
35154,"New Brunswick-Lakewood, NJ",35620,2340249,954389,4424477989,1295262567
35614,"New York-Jersey City-White Plains, NY-NJ",35620,11576251,4682853,4146039443,827157642
15804,"Camden, NJ",37980,1250679,490354,3475360752,109981603
33874,"Montgomery County-Bucks County-Chester County, PA",37980,1924009,764153,4760021680,78862138
37964,"Philadelphia, PA",37980,2084985,893073,823473442,39798280
48864,"Wilmington, DE-MD-NJ",37980,705670,286031,2860531356,465449893
36084,"Oakland-Berkeley-Livermore, CA",41860,2559296,982812,3768314946,440669949
41884,"San Francisco-San Mateo-Redwood City, CA",41860,1523686,647973,1282771788,1236894697
42034,"San Rafael, CA",41860,252409,111214,1347585521,797420433
42644,"Seattle-Bellevue-Kent, WA",42660,2644584,1137920,10885305073,777842758
45104,"Tacoma-Lakewood, WA",42660,795225,325375,4324005310,354658008
23224,"Frederick-Gaithersburg-Rockville, MD",47900,1205162,466041,2982307796,59182830
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,4444378,1775139,14019574597,1073571835
