GEOID,GNIS ID,Name,Short Name,State,County GEOID,Urban Area GEOID,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
0550780,58291,Oakgrove,Oakgrove,AR,05015,,C4,,,,,36.4561777,-93.4365744
0538110,2404867,City of Lake View,Lake View,AR,05107,,C1,443,187,12958980,0,34.4211603,-90.8133126
0523650,71610,Fiftysix,Fiftysix,AR,05137,,C4,,,,,35.9575734,-92.2184879
0506430,76355,Biscoe,Biscoe,AR,05117,,C4,,,,,34.8209271,-91.4042954
0537720,2405967,Town of LaGrange,LaGrange,AR,05077,,C1,89,51,392386,0,34.6557566,-90.7347416
0138248,2405902,Town of Jacksons' Gap,Jacksons' Gap,AL,01123,,C1,828,380,22055456,50818,32.8831131,-85.8149772
0103724,2405200,Town of Bakerhill,Bakerhill,AL,01005,,C1,279,149,7126271,0,31.7769229,-85.2954048
0160984,156909,Pleasant Grove,Pleasant Grove,AL,01071,,C4,,,,,34.9436942,-85.9216452
0853560,196400,New Raymer,New Raymer,CO,08123,,C4,,,,,40.606653,-103.843839
1007270,213692,Bowers Beach,Bowers Beach,DE,10001,,C4,,,,,39.0598349,-75.4013071
0656056,254139,Paso Robles,Paso Robles,CA,06079,,C4,,,,,35.6266369,-120.6910043
1205150,2405235,Town of Belleair Shore,Belleair Shore,FL,12103,86599,C1,109,55,154028,432786,27.917154,-82.8475993
1221435,282293,Everglades City,Everglades City,FL,12021,,C4,,,,,25.8601002,-81.380357
1227325,283408,Greenacres City,Greenacres City,FL,12099,,C4,,,,,26.623679,-80.1253213
1233437,284499,Indian Creek Village,Indian Creek Village,FL,12086,,C4,,,,,25.8781508,-80.1361566
1234125,284606,Islamorada,Islamorada,FL,12087,,C4,,,,,24.9242995,-80.6278404
1235210,284706,Jacobs,Jacobs,FL,12063,,C4,,,,,30.8949096,-85.3977091
1235898,285002,Jupiter Inlet Beach Colony,Jupiter Inlet Beach Colony,FL,12099,,C4,,,,,26.9489465,-80.0747637
1243075,286403,Marco,Marco,FL,12021,,C4,,,,,25.9725975,-81.7289763
1232775,2405870,Town of Howey-in-the-Hills,Howey-in-the-Hills,FL,12069,48799,C1,1098,585,8186210,1323074,28.7097793,-81.7798371
1254500,305079,Palm Springs North Census Designated Place,Palm Springs North,FL,12086,56602,U1,5253,1619,2060167,531891,25.9350949,-80.3338347
1304196,310670,Augusta,Augusta,GA,13245,,C4,,,,,33.4709702,-81.9748379
1344340,2404855,City of LaGrange,LaGrange,GA,13285,46234,C1,29588,12846,109076644,2168047,33.0275019,-85.0382834
1335800,2403773,City of Gumbranch,Gumbranch,GA,13179,,C1,264,120,2090551,0,31.8368019,-81.6838807
1321017,2405079,Unified Government of Cusseta-Chattahoochee County,Cusseta-Chattahoochee County,GA,13053,19099,C1,11267,3376,644226250,6276670,32.3469718,-84.7870497
1322472,2404203,City of De Soto,De Soto,GA,13261,,C1,195,89,2112249,0,31.95479,-84.0636392
1326224,2403540,City of Edge Hill,Edge Hill,GA,13125,,C1,24,12,478480,0,33.1534209,-82.6249889
1332524,355995,Georgetown,Georgetown,GA,13239,,C4,,,,,31.884605,-85.1074308
1677060,397206,State Line Village,State Line Village,ID,16055,,C4,,,,,47.7043448,-117.0374218
1608700,400590,Boise,Boise,ID,16001,,C4,,,,,43.6135002,-116.2034505
1715339,406320,Coello,Coello,IL,17055,,C4,,,,,37.9942168,-89.0672974
1728820,408937,Geff,Geff,IL,17191,,C4,,,,,38.4425483,-88.4042141
