Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
00037,22045,556,244,1304730,0
00037,22113,19268,8216,27918141,300497
00064,45001,5243,2578,11315197,19786
00091,55019,2863,1188,3261271,13221
00091,55073,1103,428,2102170,0
00118,28095,4666,2050,7416616,52732
00145,46013,25977,12114,33002447,247597
00172,53027,29856,13139,39997951,1929689
00199,24005,2550,949,13487865,25281
00199,24015,9849,4064,25432161,388931
00199,24025,201352,78708,300706438,9411078
00226,48189,2084,847,2101864,0
00226,48303,701,277,949245,12572
00253,20041,7054,3238,8773263,1877
00280,48441,110421,46732,141756054,988193
00334,17095,3389,1483,3731303,0
00388,39065,5945,1906,4769036,0
00415,40123,17400,8086,30913906,89140
00450,36045,2542,1100,5107296,13914
00469,13075,6986,2990,15634050,204861
00496,19049,3170,1317,4624127,0
00550,72001,10947,4563,19817979,156185
00550,72113,175,74,622743,0
00577,26091,44823,18178,62219496,614833
00631,72001,54,26,184849,0
00631,72003,41959,18258,79904246,219984
00631,72005,60906,28412,94071086,198523
00631,72011,23974,10427,32866534,74406
00631,72027,3938,1602,11904187,17931
00631,72065,1078,438,3171620,0
00631,72071,42648,19874,78437315,61172
00631,72081,22842,9519,54018406,1311
00631,72083,3119,1247,9081514,75196
00631,72099,35072,14710,72583252,52086
00631,72115,949,400,2162536,0
00631,72117,15200,9694,37005238,1104
00631,72131,36864,16236,108731417,35918
00631,72141,17593,7588,35594245,164445
00658,37091,4951,2267,7551326,0
00676,08041,5512,326,6458442,0
00712,04019,3076,2006,6906091,0
00739,36029,2982,1426,6779971,0
00766,39103,24254,10330,36440429,121730
00766,39133,73452,30810,156350654,3497142
00766,39151,18506,6961,34715341,257544
00766,39153,440643,204209,588283693,13410863
00766,39169,12644,5349,26932801,145206
00793,12001,4114,1816,9761708,31222
00820,35035,31862,14793,42885251,54253
00847,08003,9751,4057,18886598,0
00901,13095,81364,35142,144329913,2303242
00901,13177,14415,5288,39156911,486284
00921,27145,2564,1070,4331253,285662
00955,41003,7088,2770,12514537,80431
00955,41043,46809,19652,47590741,209564
00955,41047,3100,1120,1957987,9244
00970,36001,269636,121843,306370001,4868514
00970,36083,107192,48564,174316567,6115307
00970,36091,76027,33034,128486355,1583722
00970,36093,142107,62929,156769918,3713235
00982,37167,16823,7929,44414396,63396
01009,27047,17868,8343,25515204,1396609
01036,01055,1145,473,5221607,0
01036,01095,35670,14507,87616267,5174684
01063,19135,3573,1660,5597705,0
01090,26025,8964,3701,16749607,136506
01090,26075,255,108,351696,0
01117,36073,8171,2780,7638287,0
01144,42049,4574,1048,7434016,56074
01171,35001,634766,273037,505421253,7975691
01171,35043,106552,41814,143548516,945383
01198,54025,1105,559,1744507,50599
01198,54063,265,154,951732,39394
01198,54089,1262,76,743366,2076
01225,17131,3655,1684,5741926,30085
01232,48367,4854,1620,12132649,173957
01252,01123,9400,4326,25158641,65446
01279,22043,3214,228,16777755,177635
01279,22079,79590,33707,152974222,729090
01306,27041,16983,8604,38463572,7440072
01333,36003,4322,659,3117021,0
01360,55061,3070,1655,4785867,105292
01387,19109,5340,2618,6862990,45217
01414,48249,20974,8017,28150471,0
01441,26005,6322,2821,12221345,147540
01468,45005,3307,1567,5948739,0
01495,34019,854,351,1022108,10521
01495,34041,31589,13208,35591517,284537
01495,42011,5109,2277,9777898,21889
01495,42017,28655,11227,49561410,202539
01495,42025,15796,7120,22025443,156067
01495,42077,321797,131578,415051083,4633928
01495,42089,1194,614,4088469,199824
01495,42095,259657,104858,359772591,5016613
01522,31013,8486,4073,12053033,31691
01549,39029,231,108,672821,0
01549,39099,6345,3208,11718826,105788
01549,39151,25957,11470,33465163,171015
01603,13005,3408,1427,7309455,363325
01630,26057,16924,5477,19253096,406945
01657,26087,2719,1131,3793261,1570
01684,26007,14258,7137,24506343,1830290
01711,48043,6013,3081,10819773,335
01738,51031,3579,1714,10314033,99431
01738,51143,1084,520,4097295,24651
01765,17083,74,30,133616,0
01765,17119,83737,38180,141459319,2006451
01765,29183,79,27,357031,16777
01792,42013,79930,35760,96848806,168678
01819,06049,2910,1416,4934771,16517
01846,40065,19900,8973,31472094,521227
01873,40151,5620,2616,6804483,0
01900,48251,4133,1630,7341757,19935
01927,48375,110181,43164,134295224,461765
01927,48381,86470,37580,75951705,1108410
01981,16077,4488,1624,3737205,0
02008,13261,19106,7655,31443706,138659
02035,55095,2832,1412,5340906,1111063
02062,19015,193,115,947139,0
02062,19169,60245,24355,59218185,164176
02116,22105,6161,2313,18167855,40580
02143,28095,6566,3028,14384021,27224
02153,60010,4515,900,12144006,0
02170,36035,205,68,761659,0
02170,36057,22057,10737,26104786,783721
02197,30023,6170,3411,6225272,0
02224,53057,16712,8310,24570264,589306
02251,40015,5929,2482,6283077,0
02278,19105,5497,2088,5464974,0
02305,02020,251243,97417,220101413,2656777
02332,02020,28568,10116,42269432,363450
02359,01039,6655,3187,14927092,32462
02386,18035,1631,703,4673940,0
02386,18095,86502,39967,166426508,753595
02413,45007,75702,34650,191880867,3293922
02440,45043,3791,1657,7352507,0
02440,45089,112,52,428275,0
02467,48003,12346,4841,16192925,30529
02494,06009,3751,1853,6902231,23589
02548,18151,11196,5828,23588879,3943929
02575,17181,6078,2815,10306265,47213
02581,48085,7887,2636,12722437,30010
02581,48181,2859,1173,5365434,0
02590,27171,3262,1460,7049035,0
02602,26161,270418,117426,323129316,8329353
02602,26163,35604,16552,90157285,5268738
02629,01015,74920,34178,202160888,1187170
02629,01121,4876,1912,22570163,199450
02656,55067,8158,3916,10833996,84337
02683,06013,277634,93809,210723258,888824
02710,12037,3691,2095,7236978,15809641
02764,55015,25449,9423,36222540,342652
02764,55087,127979,54394,161390899,3610798
02764,55139,62726,28340,71163236,6853091
02773,39083,4835,2492,12288357,2044219
02791,01043,213,106,526817,1746
02791,01095,7799,3529,21153571,300209
02825,06011,2652,812,1871304,0
02845,36009,675,331,1784517,0
02845,36121,2373,1139,4329965,0
02899,22013,2894,1188,7120154,0
02901,55121,2993,1235,5461020,0
02912,12027,17490,7356,26231607,15770
02926,06023,32364,14233,42634460,312699
02953,39051,4760,2046,9777640,37919
02965,37101,13288,4707,52581462,265273
02980,17041,2874,1122,3492687,44848
03007,40019,20888,9566,30232622,76559
03034,72013,51210,24092,71018137,307457
03034,72017,2142,1044,2180644,31135
03034,72027,26477,10928,47188081,23979
03034,72065,36329,15023,60762985,142914
03034,72115,23013,9566,36590304,1087036
03088,04021,10531,5068,12090606,186302
03115,05019,10491,4057,15009214,0
03142,20035,13026,5906,24957567,138014
03158,47047,869,339,2280525,88141
03158,47157,10633,3421,17882127,0
03196,06079,52000,25398,59618233,235105
03223,35015,12764,5269,16912665,16979
03250,06029,19573,4542,11204962,0
03277,13287,4489,1940,8185910,104500
03304,05081,4146,1895,9263737,0
03331,37151,37792,16547,85286266,197576
03358,37021,180932,85802,398124259,3542379
03358,37087,26306,13944,62873556,824859
03358,37089,71227,36055,220039935,1930205
03358,37111,0,0,6470,0
03358,37115,1948,596,4159968,0
03358,37175,235,96,823035,0
03365,29019,3527,1466,4712104,0
03375,31025,117,48,340085,30658
03375,31155,2514,1080,2892607,35788
03385,39005,20226,8847,20691008,49269
03395,42037,90,52,147720,0
03395,42107,7730,3394,14497192,0
03412,55003,7293,3452,11230636,0
03439,47021,3384,1501,8110549,0
03466,39007,29346,14832,56322692,404262
03493,39129,6222,2565,14307973,294356
03520,08097,7710,6459,11852099,0
03547,41007,14115,6907,23599409,1640016
03601,20005,11144,4476,15561286,136285
03601,29021,22,13,134890,24450
03655,01083,24956,11020,69999938,501308
03682,39009,28286,9613,25738298,260345
03709,47107,15985,7376,38475362,0
03736,48213,12169,4891,23723843,64683
03763,13059,109875,48177,178717681,1973297
03763,13157,187,61,1179627,0
03763,13195,2281,949,8175741,36039
03763,13219,16300,6264,65676453,555688
03763,13221,111,61,1091696,16067
03790,25011,4849,2217,12674447,140046
03790,25027,7985,3710,11543327,920074
03817,13013,11577,4278,37112762,212091
03817,13015,7637,3059,23696050,711129
03817,13045,21427,8597,61596559,327835
03817,13057,175603,66882,358777262,7273500
03817,13063,257121,103808,318594293,4663652
03817,13067,686384,285819,865322432,10104435
03817,13077,82817,32723,222175272,3076752
03817,13085,4397,1764,19373823,54355
03817,13089,690073,304189,659923678,8603784
03817,13097,111540,43856,218403895,850306
03817,13113,87195,33489,225730948,5883987
03817,13117,154671,55775,391602225,9150442
03817,13121,910660,432962,1084374029,14463663
03817,13135,801367,290105,1061488582,13253310
03817,13139,13103,4890,35803933,226186
03817,13151,175672,66246,452441668,6112950
03817,13157,6914,2568,32768885,196827
03817,13217,68727,26174,174198145,1715972
03817,13223,110495,40139,287182124,2529231
03817,13231,185,58,822774,0
03817,13247,72490,28370,155299813,2544290
03817,13255,37406,15853,73484143,879159
03817,13297,27958,10328,91255690,681173
03844,48067,5732,2678,19325594,101572
03871,19029,6471,3102,7301331,72792
03898,34001,219405,104953,261478993,6814662
03898,34009,28997,42107,62625030,4742046
03925,01053,6565,3121,12254367,41416
03957,47157,53,19,205605,0
03957,47167,18832,6676,53315644,235187
03979,18045,3245,1509,4161137,48310
03979,18171,1948,870,5975752,36791
04006,36037,765,292,2590722,0
04006,36121,6063,1076,3236099,0
04021,48121,4139,1559,6098834,2579
04033,01081,74741,34604,129261694,909436
04054,17167,4433,1746,5204444,0
04060,18033,21712,9363,30346403,0
04087,31127,3474,1742,5204592,0
04114,36011,32274,14870,33421592,237157
04130,06061,33157,14516,69234465,261128
04168,20015,9350,3971,10615010,686720
04195,23011,22637,11691,44883533,738427
04222,13073,101217,39202,163871570,963307
04222,13245,182066,79185,275631617,3258901
04222,45003,100864,45704,222419145,2596112
04222,45037,2640,1076,10239727,78803
04249,41047,3692,1282,2980845,0
04276,29109,8365,3725,15212083,39865
04303,31081,4466,1933,5464063,14528
04330,26001,118,212,424118,0
04330,26069,6266,4587,26643616,672140
04357,27099,25103,11089,31661392,254093
04384,48055,461,133,924054,0
04384,48209,52700,17437,92794905,1453737
04384,48453,953643,411985,904092128,8237401
04384,48491,355612,137411,356839938,2250454
04411,29067,2857,1424,5412267,1126
04438,06037,3652,2244,3434612,0
04465,06031,15486,2402,7912978,0
04519,36051,4973,2274,10094768,0
04549,04013,197041,73521,227705132,346232
04573,04019,3869,1565,10127102,0
04587,35045,8456,3553,16352960,302609
04600,26063,3490,1719,6458740,0
04627,13087,12118,5320,26708255,650991
04654,41001,9518,4498,13005431,178980
04681,06029,523994,178519,358555119,2246386
04708,05145,2517,1151,5870345,0
04762,55109,5831,2474,9591428,0
04789,20045,4428,1624,5322577,4437
04816,48399,3705,1744,5222696,0
04843,24003,496127,195500,583123737,27772460
04843,24005,749839,314646,667227627,28045082
04843,24013,9432,3699,15594975,24654
04843,24027,256778,99105,314470221,1878309
04843,24031,219,59,275927,85672
04843,24033,57992,24539,41843527,393194
04843,24035,12315,5187,24966886,1193618
04843,24510,620961,296685,209610432,6226053
04870,39045,3503,1496,6949123,0
04897,45009,3492,1526,7238001,0
