ZCTA5,GEOID,Population,Housing Units,Land Area,Water Area
00601,72001,18465,7695,164333375,799296
00601,72141,105,49,2326414,0
00602,72003,41520,18073,79288158,4446273
00603,72005,54689,25653,81880442,183425
00606,72093,6276,2740,94851862,12487
00606,72121,89,38,6679806,0
00606,72153,250,99,8048393,0
00610,72003,160,62,237185,0
00610,72011,28856,12556,92784282,4172001
00612,72013,66938,30961,174066899,9809163
00612,72017,72,31,1039344,0
00616,72013,11017,4896,29870473,149147
00617,72017,24457,10542,39193495,3987969
00617,72054,140,52,153663,0
00622,72023,7853,8714,75077028,1694917
00623,72023,43061,21426,98367847,1633540
00624,72111,24280,9219,107325269,2522320
00624,72113,1961,686,4466247,2558
00627,72027,35159,14431,120058334,3507026
00631,72001,611,257,4699623,252497
00631,72081,1241,585,5715039,417473
00637,72121,25176,10920,86126524,25323
00637,72153,111,42,3099498,0
00638,72039,18613,7676,169929348,459612
00638,72091,328,129,1125769,33723
00641,72001,65,29,261308,0
00641,72141,31126,13329,241976172,3466212
00646,72051,38156,16682,53594303,3321248
00646,72143,43,17,17520,0
00647,72055,6103,3441,38647394,8013314
00647,72079,69,41,732410,0
00650,72013,226,94,2285878,2339
00650,72017,287,120,933388,0
00650,72039,169,60,2380622,0
00650,72054,12540,5085,39237829,34016
00650,72141,1776,765,34215093,520826
00652,72013,4715,1947,17906137,16436
00653,72055,13307,6217,39477273,5203941
00656,72059,21481,8680,83968290,4356121
00659,72065,41953,17365,108211415,3039180
00660,72067,17250,7783,29380814,486
00662,72071,43282,20199,114907988,5341043
00664,72073,16642,6541,115340235,3405
00664,72141,142,49,2557138,0
00667,72079,25684,12356,154544246,28264208
00667,72125,284,152,1656918,0
00669,72081,29512,12371,153440272,67800
00669,72083,184,66,5590734,98116
00669,72131,48,21,388197,2428
00670,72011,110,52,3544240,79741
00670,72083,9697,3921,114481120,278078
00674,72091,43785,19131,115755572,6903390
00674,72145,672,278,644692,0
00676,72003,207,87,247030,0
00676,72099,40109,16800,130389605,56483
00677,72003,72,36,131873,0
00677,72117,15200,9694,37005238,3594951
00678,72071,1492,684,7372610,97285
00678,72115,25919,10754,58747764,3699402
00678,72131,408,181,2153721,0
00680,72011,265,138,3276890,0
00680,72097,56404,27305,158649033,19828643
00680,72125,1471,549,4323061,0
00682,72097,32615,15489,37348163,6330100
00683,72125,33772,15219,135168308,29361
00685,72071,857,384,20955261,0
00685,72131,41974,18493,179852963,2058239
00687,72101,32610,12381,100675764,140026
00688,72013,13543,5353,82401202,77467
00690,72005,6255,2773,7291346,12393
00692,72143,37511,16026,69307906,1999296
00693,72143,2397,959,1607967,4280
00693,72145,58641,24925,100230957,3649623
00694,72145,328,188,2043548,1957116
00698,72059,100,45,14841551,6136344
00698,72153,41682,17879,165467703,1625504
00703,72007,27310,10929,74447369,28384
00703,72045,1295,488,2407701,0
00704,72057,662,319,1612221,0
00704,72123,7915,3552,11015548,1773833
00705,72009,25543,10264,80428205,71897
00705,72043,55,33,2320087,409
00707,72095,12225,5546,54561503,3816670
00714,72015,19566,8871,37859151,42765
00715,72075,941,405,216698,0
00715,72113,2715,1127,20217431,150234
00716,72113,33779,14275,22081777,7967534
00717,72113,18457,9518,5417561,109099
00718,72103,26606,11970,117172329,3457285
00719,72047,439,152,1478421,0
00719,72105,30402,11282,70969180,898356
00719,72135,149,62,80242,0
00720,72043,121,41,997370,0
00720,72107,23008,9018,153370648,286519
00723,72109,19277,9358,119554076,1319657
00725,72007,1349,561,3472099,0
00725,72025,84511,36692,95939339,1190612
00725,72035,386,156,666412,0
00725,72061,2465,986,5553660,0
00725,72127,540,241,2750427,0
00725,72129,123,42,808875,0
00727,72025,58382,23679,55827071,26963
00728,72113,44908,16698,40524719,21618806
00729,72029,46810,19215,84753995,364682
00729,72087,6940,2473,3204923,0
00730,72113,35742,16253,16850026,123834
00731,72001,342,144,3431345,0
00731,72113,15182,5818,119900923,3082106
00735,72037,13617,7700,56708945,1842364
00735,72103,113,49,3653605,0
00736,72035,47730,20777,131199842,69526
00736,72041,3802,1538,11501813,10038
00738,72053,34922,18383,76243980,78712514
00739,72041,39678,15565,81792808,1113746
00740,72053,2071,1008,1103423,40886
00741,72069,4971,2196,6121151,2792707
00745,72029,772,235,310956,0
00745,72119,54290,24294,133365260,6155023
00751,72123,23129,10808,121664561,29378177
00754,72129,40828,17146,132164302,241740
00757,72133,23263,9571,77246859,5609947
00765,72147,9098,5339,49309561,1749411
00766,72107,415,237,11403212,116375
00766,72149,26073,9710,92298550,3622647
00767,72069,78,33,496194,0
00767,72151,37941,15798,143005172,6805011
00769,72043,40248,16612,198168393,38999
00771,72085,38394,16142,87591047,32514
00772,72087,23105,10211,37975532,13639704
00773,72089,20068,10968,62964008,2572484
00775,72049,1786,1569,27344697,33437932
00777,72029,66,24,55231,0
00777,72063,47,19,26490,0
00777,72077,40290,16718,68605459,327723
00777,72085,281,106,157239,0
00778,72063,45322,18089,72201672,1102120
00778,72129,107,38,4574731,14686
00780,72075,615,210,758664,113284
00780,72113,13185,5085,51273923,725037
00782,72045,19304,7535,69008763,319734
00783,72047,36557,13798,108382318,16292
00784,72057,44637,19159,143887987,16278766
00786,72009,357,145,666250,0
00791,72069,53417,25871,95711037,2868576
00794,72019,30318,11404,88714061,77809
00794,72043,88,30,565071,0
00794,72045,179,68,2140667,0
00795,72075,48736,19196,119811901,958123
00901,72127,7080,4990,2534091,30548
00906,72127,4,168,8247,0
00907,72127,17458,13224,3132947,347421
00909,72127,6230,3805,1575598,49304
00911,72127,8623,6096,1245504,0
00912,72127,6801,3884,854044,0
00913,72127,9312,4065,843188,0
00915,72127,32820,16538,3601480,820884
00917,72127,21053,12348,3360017,46991
00918,72127,18056,10850,5520556,101247
00920,72127,17893,9322,7331380,135936
00921,72127,37763,17728,6931388,0
00923,72127,29086,13969,5283986,7303
00924,72031,2348,1237,409938,0
00924,72127,54343,23734,11733547,1620
00925,72127,8696,5413,1158082,0
00926,72061,430,200,406951,0
00926,72127,95942,42102,50495009,190673
00926,72139,12490,5015,11673123,861711
00927,72127,14936,7893,6804165,5831
00934,72021,121,61,1138421,25858
00934,72061,167,79,802007,928
00936,72127,681,4,417955,0
00949,72033,3416,1253,1004257,0
00949,72137,78862,32087,44599933,2130451
00950,72051,9,5,6204986,1989345
00951,72137,35,19,1075640,29541
00952,72137,10008,4169,3207681,0
00953,72047,146,49,402291,0
00953,72135,72236,26314,68568818,1365378
00953,72137,632,246,173733,0
00956,72021,79143,32489,68058901,174811
00956,72135,161,61,505582,40499
00957,72021,44341,17763,11182103,1407
00957,72135,1339,512,783694,0
00959,72021,49365,21947,16348713,81790
00959,72061,953,420,207531,0
00959,72135,181,57,33861,0
00959,72137,61,21,19562,0
00960,72021,1779,0,2409664,2485
00961,72021,32067,13257,13254272,184961
00961,72033,362,137,113126,20509
00962,72033,22491,8939,9876249,1152266
00965,72033,1871,874,270750,0
00965,72061,7263,2974,1418733,342594
00966,72021,520,228,1124029,0
00966,72061,15178,7087,6883186,4490
00966,72127,978,579,393998,0
00968,72061,3478,2228,1180763,0
00969,72021,677,249,437671,0
00969,72061,35862,15239,10725512,39797
00969,72127,5680,2287,1459145,0
00971,72021,103,66,20412,0
00971,72061,30834,12799,41208929,94183
00971,72127,49,30,95068,0
00976,72031,1867,788,1078084,0
00976,72127,1289,635,324575,85
00976,72139,61980,25141,41954151,738087
00979,72031,17030,12765,4061150,504754
00982,72031,16428,7402,3654231,19111
00983,72031,39234,16985,8987630,622892
00985,72031,36553,15241,21083058,759741
00987,72031,63289,25418,64120684,453240
00987,72139,372,139,151649,0
01001,25013,16769,7557,29635470,2229770
01002,25011,281,112,7865871,214874
01002,25015,28768,10276,134690491,4065386
01003,25015,10372,5,1842384,12788
01005,25027,5079,2044,114586903,667042
01007,25015,14649,5839,136345999,6943853
01008,25013,1263,586,139331467,5086093
01009,25013,741,341,2065002,23
01010,25013,3609,1598,89982811,1420260
01011,25013,1183,568,67593810,340162
01011,25015,187,91,14290753,2411
01012,25015,661,343,33977749,545075
01013,25013,23188,10246,14567022,1731910
01020,25013,29668,13688,32308345,1178303
