ZCTA5,Place GEOID,Population,Housing Units,Land Area,Water Area
00601,7200358,4406,1968,1942319,0
00602,7200616,3212,1648,955285,0
00602,7247873,2886,1205,4238649,0
00603,7200745,13310,7479,6535128,32887
00603,7209689,3334,1520,1299789,0
00603,7268599,1351,631,734224,0
00606,7251270,868,446,421867,0
00610,7202680,5075,2430,2074064,402
00610,7227263,1270,548,1075887,27735
00610,7242068,1900,944,2816938,16486
00610,7243702,2049,835,641412,0
00612,7203024,1203,596,595398,0
00612,7203368,44191,20777,39768313,3715905
00616,7204658,3710,1696,4856095,419
00617,7205346,3785,1818,2516236,0
00617,7209603,949,392,426279,0
00617,7230372,1086,493,1707688,0
00617,7235962,3899,1528,1658707,0
00617,7282125,1616,686,425366,0
00622,7207969,2023,1724,2582811,0
00622,7224954,423,1734,1480506,3038
00622,7263697,1695,1042,1439162,2758
00623,7207668,876,428,327730,0
00623,7207969,0,0,4404,0
00623,7209861,9803,4707,6102690,0
00623,7254366,2800,1198,3700080,0
00623,7265589,5983,2417,2890384,0
00624,7261074,5859,2292,2496896,2329
00624,7267200,1325,455,1464099,2558
00624,7279564,3156,1155,5540501,3594
00624,7281413,925,349,1317374,0
00624,7281456,1816,706,933930,723
00627,7201863,2569,1053,2592449,0
00627,7211925,3704,1819,2577232,547
00627,7261590,1937,730,1765507,0
00627,7266660,995,401,428207,0
00637,7245379,1112,496,615590,0
00637,7246282,1733,806,2213613,0
00637,7273544,8179,3668,4329792,0
00638,7217773,2591,1145,2155569,36230
00641,7215623,1120,511,777851,0
00641,7284509,8397,3814,4527688,104900
00646,7224008,13258,6364,8010827,1448989
00646,7271437,2373,987,3909198,19322
00646,7275694,7574,3055,4519390,330
00647,7229727,1110,470,772321,15694
00647,7231189,3520,1855,4331626,13545
00650,7228824,4711,1964,3911446,7250
00650,7257862,742,304,289768,0
00653,7226287,2511,1120,2770998,1608
00653,7231189,3734,1989,2168222,1500
00653,7250754,1285,628,528873,0
00656,7232307,3949,1695,1834454,479
00656,7236177,1484,608,2633283,1937
00656,7248604,1215,459,1901475,0
00659,7214634,2738,1126,1453974,0
00659,7220482,1405,564,1329096,0
00659,7233296,4439,1988,2798393,1133002
00659,7268513,1700,750,3715612,2323
00659,7268556,2303,926,1079364,386
00660,7235059,12443,5665,11404884,190
00662,7236478,11255,5675,6743230,505400
00662,7254882,1583,731,828251,758
00664,7238370,2759,1261,896016,0
00667,7240950,4586,2092,3102583,555
00667,7241767,1044,699,621239,0
00667,7248862,903,426,806352,0
00667,7258150,966,463,757035,0
00669,7242498,4917,2334,3538102,0
00670,7243788,806,369,778960,0
00674,7221385,1593,681,728179,0
00674,7241294,2590,1078,2546487,0
00674,7250152,14011,6608,5385345,649
00674,7282187,3228,1470,2372327,226396
00676,7200186,1436,609,645485,0
00676,7253807,3861,1755,2586095,171
00677,7269588,1456,1106,1096225,0
00677,7280596,1088,1259,857214,323676
00678,7210048,1001,392,2134902,5371
00678,7268040,5282,2371,4185708,1750
00678,7275780,1711,698,1689542,0
00680,7252431,39419,19942,26210870,54846
00682,7252431,31044,14701,27894301,3882383
00683,7273372,1576,698,984614,0
00683,7276167,10989,5303,7322892,4308
00685,7233597,676,299,1471997,0
00685,7239470,994,433,517814,0
00685,7277500,9622,4528,5263231,0
00687,7205217,2469,940,1366681,0
00687,7229555,1948,769,930400,0
00687,7255097,2032,955,1453884,825
00688,7239875,1947,834,1906569,2604
00688,7273716,1783,795,2302257,0
00690,7275608,1942,900,1249428,1016
00692,7208700,3373,1875,2553917,0
00692,7216139,441,180,530549,274
00692,7273200,121,48,24163,0
00692,7285197,10266,4211,4900346,0
00693,7216139,2940,1195,2063290,0
00693,7221385,11,5,7420,0
00693,7253678,1804,748,4786255,4956
00693,7253979,2592,1097,1801829,37886
00693,7273200,1509,629,907080,0
00693,7285326,25905,10864,15904079,43255
00698,7259053,1936,848,1294880,1997
00698,7288035,17186,7512,7440554,7303
00703,7200874,4204,1829,2499956,1743
00703,7277826,982,372,802453,5544
00704,7216526,1301,635,1337664,301215
00704,7220310,3293,1531,2311870,0
00705,7201218,8249,3511,3958730,3635
00705,7260257,1514,607,1322991,0
00707,7226502,2857,1422,2201756,0
00707,7252345,1668,739,1516950,0
00707,7259139,1008,433,1176327,0
00714,7203927,6396,2954,2585184,4240
00714,7209087,1660,789,677398,0
00714,7258516,2046,908,1812256,3555
00714,7288121,1050,507,3076255,0
00715,7211151,191,102,62770,0
00715,7213925,1424,603,1428337,5242
00715,7263820,1172,436,1621677,88035
00716,7263820,33779,14275,22081777,7967534
00717,7263820,18457,9518,5417561,109099
00718,7223062,1604,763,1432245,1689
00718,7224395,1320,600,572003,271
00718,7255828,4443,2128,1637029,0
00718,7260945,991,433,258972,0
00718,7270448,1681,712,1989743,0
00719,7256129,1655,754,852289,0
00720,7257290,722,353,311124,0
00723,7241466,1050,515,1082349,0
00723,7258516,184,87,1179753,496
00723,7260472,4333,2005,2948495,4783
00725,7204620,399,177,223541,0
00725,7210334,50106,22562,17191220,243013
00725,7241274,281,115,64670,0
00725,7259450,677,287,125555,0
00727,7210334,32137,13446,11080949,1565
00727,7233184,3531,1204,1443356,6260
00727,7242842,2570,1046,914890,3500
00727,7247336,267,99,188910,0
00727,7247422,2129,911,638922,0
00728,7263820,40085,16085,26467842,8972524
00729,7207496,1409,516,940237,0
00729,7211710,3006,1217,1688618,0
00729,7212828,7297,3023,5923387,178113
00729,7246626,890,371,830388,0
00729,7276339,6828,2791,1470470,0
00729,7277672,4622,1954,1693718,558
00730,7263820,35742,16253,16841332,123834
00731,7225835,1716,624,828207,0
00731,7245170,665,239,244685,0
00731,7251700,1011,368,1210840,0
00731,7254688,137,103,1047164,3026
00731,7263820,1927,734,2912690,73431
00731,7282055,362,116,1222118,0
00731,7285025,528,239,277603,0
00735,7201003,3006,1402,7081962,0
00735,7215924,5633,2564,2848070,0
00736,7215494,16680,7796,6567907,1476
00736,7230544,1751,709,1977680,0
00736,7259425,314,147,121986,0
00738,7227964,26859,13387,19965909,81664
00738,7243057,1053,944,2050404,16843
00738,7247701,2290,975,3101442,0
00739,7206679,2038,737,1495117,0
00739,7218074,5109,2206,2877959,23678
00739,7259420,1290,504,665000,0
00739,7259425,1265,497,1542285,0
00739,7271996,325,139,996524,0
00740,7227964,2071,1008,1103423,40886
00741,7266492,4964,2190,3943750,6913
00745,7206421,1311,559,479500,0
00745,7233683,2055,848,1533733,0
00745,7240348,3081,1324,1708204,0
00745,7258666,1032,433,420202,0
00745,7271136,12677,5306,3372344,0
00751,7218891,5758,2353,4294141,13770
00751,7242197,865,357,981660,13686
00751,7244003,951,513,1378215,55
00751,7263503,553,319,330091,0
00751,7274877,4771,2326,2021336,2393
00751,7285111,1890,834,3159910,0
00754,7237166,1062,392,560406,0
00754,7277027,8037,3485,3504499,37028
00757,7225771,1478,616,413842,0
00757,7238241,1529,675,950717,57189
00757,7244089,1557,664,684095,3583
00757,7251055,73,34,148015,0
00757,7259440,941,382,1486064,11278
00757,7263568,1731,731,2313450,2510875
00757,7278145,5976,2563,2212600,4935
00765,7227190,1219,689,3278866,13584
00765,7286014,1938,1173,1503377,371391
00766,7286831,3384,1366,3094394,0
00767,7219837,1900,830,1618693,0
00767,7225685,1075,454,824120,0
00767,7251657,2232,946,2366294,0
00767,7263525,1558,614,1795974,0
00767,7272555,1055,443,1128230,0
00767,7287863,6047,2795,2982877,278
00769,7218719,11522,5011,4720208,1645
00769,7247013,2118,933,2041859,0
00769,7251055,2167,806,3703162,0
00769,7257978,1090,442,1528856,0
00771,7208099,1043,469,2826213,4990
00771,7240563,1057,472,1138721,399
00771,7244390,5883,2620,3012119,0
00771,7264500,1029,417,500342,0
00772,7246368,3875,1451,1337164,361609
00772,7280639,1931,794,425837,0
00772,7285971,3316,1693,890310,800
00773,7247787,7761,3556,2751357,1247689
00773,7263310,1690,888,1579089,603637
00773,7268771,1821,812,2837525,0
00775,7222589,1560,1028,2073792,153222
00777,7225556,1482,601,1303390,0
00777,7239574,7564,3523,3353466,36115
00777,7246626,66,24,55231,0
00777,7264500,281,106,157239,0
00778,7216440,4081,1547,1731916,9248
00778,7232823,7609,3304,3114752,8534
00778,7259386,1568,662,348344,0
00780,7203174,287,91,160445,0
00780,7217050,748,281,667589,8171
00780,7221213,3047,1204,953381,21683
00780,7259422,571,215,242671,0
00780,7263820,1340,555,2353959,22708
00782,7219665,4020,1625,1157065,28250
00782,7258967,1652,634,2241982,0
00783,7220783,10160,4118,5766055,0
00784,7220353,2131,959,1436131,1429
00784,7232221,22691,10254,9483932,29415
00784,7238671,2479,1141,1436039,0
00784,7257075,2064,899,756101,2148
00784,7264400,572,282,2358721,0
00791,7203196,1589,680,1148979,0
00791,7204701,1309,546,1675020,0
00791,7209250,1134,527,619465,0
00791,7212568,598,265,158056,0
00791,7212613,1215,536,995163,0
00791,7235532,18629,8554,12642084,15702
00791,7240563,1686,693,1395722,0
00791,7258602,2055,3403,7880817,172379
00791,7266492,0,0,80902,0
00794,7205690,2695,1161,1983225,0
00795,7201089,4747,1725,2323888,19577
00795,7213925,2530,840,1014607,5288
00795,7231877,2036,806,1257142,0
00795,7238972,7916,3348,3798545,43111
00795,7247615,2912,1282,1192477,0
00795,7261545,2901,1077,1502845,7391
00795,7264127,3092,1315,1318209,0
00795,7270706,1038,402,648763,0
00901,7276770,7080,4990,2534091,30548
00906,7276770,4,168,8247,0
00907,7276770,17458,13224,3132947,347421
00909,7276770,6230,3805,1575598,49304
00911,7276770,8623,6096,1245504,0
00912,7276770,6801,3884,854044,0
