ZCTA5,Urban Area GEOID,Population,Housing Units,Land Area,Water Area
70510,00037,15138,6432,21720274,300497
70528,00037,2149,922,3307209,0
70533,00037,2482,1076,4101398,0
70560,00037,0,0,9985,0
70575,00037,55,30,84005,0
29620,00064,5243,2578,11315197,19786
54405,00091,2138,880,2382495,0
54421,00091,1828,736,2980946,13221
39730,00118,4666,2050,7416616,52732
57401,00145,25977,12114,33002447,247597
98520,00172,19067,8282,26518334,1397979
98537,00172,1597,694,2331248,51139
98550,00172,8414,3811,8781718,479858
98563,00172,778,352,2366651,713
21001,00199,19205,7997,31238068,2319262
21005,00199,2066,692,5308041,8479
21009,00199,29766,11620,29377217,2027422
21013,00199,1021,359,2862595,15664
21014,00199,36047,14355,36477493,188391
21015,00199,23637,8618,28834559,56441
21017,00199,7062,2880,7134553,6770
21040,00199,24420,9281,20633014,2988766
21047,00199,10047,3564,37201235,65830
21050,00199,15268,5558,35999554,114825
21078,00199,14834,6670,19706027,574706
21084,00199,2214,778,7913811,23541
21085,00199,14756,5938,30681493,961013
21087,00199,3147,1180,15280853,31243
21111,00199,48,22,121935,0
21130,00199,187,90,1956896,0
21156,00199,177,55,846424,0
21902,00199,394,43,865828,0
21903,00199,4957,2192,9172432,21387
21904,00199,3628,1541,12842189,32869
21917,00199,334,101,1290736,12637
21918,00199,536,187,1260976,0
79311,00226,2785,1124,3051109,12572
67410,00253,7054,3238,8773263,1877
79563,00280,384,179,1324082,0
79601,00280,16421,7268,24168168,96737
79602,00280,17856,7410,42164905,740060
79603,00280,23558,9252,20039921,0
79605,00280,29755,12968,24725568,73488
79606,00280,19884,8936,25954121,49109
79607,00280,2242,671,3132598,28799
79699,00280,321,48,246691,0
61410,00334,3389,1483,3731303,0
45810,00388,5945,1906,4769036,0
74820,00415,17400,8086,30913906,89140
13605,00450,1841,812,3274164,0
13606,00450,701,288,1833132,13914
31620,00469,5333,2362,12461420,143037
31647,00469,1653,628,3172630,61824
50003,00496,3170,1317,4624127,0
00601,00550,10679,4457,19013119,156185
00731,00550,443,180,1427603,0
49221,00577,31881,12458,42233241,530012
49236,00577,2382,1072,3557162,0
49286,00577,10560,4648,16429093,84821
00602,00631,41520,18073,79288158,219984
00603,00631,54646,25635,81342887,183425
00610,00631,24134,10489,33102133,74406
00627,00631,3938,1602,11904187,17931
00641,00631,17647,7614,35779094,164445
00659,00631,1078,438,3171620,0
00662,00631,41045,19161,73650247,54103
00669,00631,23005,9579,55048243,37244
00670,00631,3004,1208,8348830,41691
00676,00631,35279,14797,72830282,52086
00677,00631,15272,9730,37137111,1104
00678,00631,2237,971,5455676,7069
00685,00631,37131,16357,109928192,33490
00690,00631,6255,2773,7291346,12393
27910,00658,4951,2267,7551326,0
80840,00676,5512,326,6458442,0
85321,00712,3076,2006,6906091,0
14001,00739,2982,1426,6779971,0
44203,00766,40010,17750,73584619,1121230
44216,00766,4500,1784,17016800,2725887
44221,00766,29587,14602,16890025,100091
44223,00766,17442,7904,19546479,65541
44224,00766,38517,16993,48255230,1123213
44230,00766,5739,2446,16355479,30160
44236,00766,6,3,376605,0
44240,00766,36588,17081,75692425,2177247
44241,00766,144,50,118013,0
44243,00766,5658,0,1252334,0
44250,00766,1253,547,1129056,399740
44256,00766,434,189,1627059,100251
44260,00766,8769,3498,24092145,285886
44262,00766,5016,2189,5889416,176845
44264,00766,717,374,3760283,10526
44266,00766,24306,10982,56049584,931338
44270,00766,6828,2865,10617643,114982
44272,00766,1493,592,2879033,81977
44276,00766,326,127,1117265,0
44278,00766,17868,7518,38422405,140875
44281,00766,23653,10078,34736381,21479
44301,00766,15340,7269,9153301,144924
44302,00766,5524,3135,2431494,0
44303,00766,7700,4183,5978407,0
44304,00766,5916,1903,3902624,0
44305,00766,22294,10504,16957399,60041
44306,00766,22492,10634,21465807,0
44307,00766,7643,4159,4975726,17870
44308,00766,1392,460,1274415,0
44310,00766,22786,11182,15561469,55805
44311,00766,8782,3847,4944792,0
44312,00766,31919,14709,49644847,893891
44313,00766,24685,13155,32376574,0
44314,00766,18825,8882,11295609,390392
44319,00766,22686,10581,48641231,5121585
44320,00766,19660,9650,21698519,125033
44321,00766,13456,5596,21615354,82884
44333,00766,15665,6859,39015458,281006
44614,00766,34,13,202626,0
44632,00766,5042,2032,10340705,194
44645,00766,0,0,22792,64
44685,00766,25325,9896,52655604,161567
44720,00766,3412,1416,18946263,489961
44721,00766,67,22,213623,0
32615,00793,3242,1461,8100398,31222
32616,00793,872,355,1661310,0
88310,00820,30887,14333,39630163,6418
88337,00820,975,460,3255088,47835
81101,00847,9751,4057,18886598,0
31701,00901,19132,8640,35901944,1334182
31705,00901,25716,9541,47726522,439690
31707,00901,24935,12073,41042847,470930
31721,00901,14950,6115,30963277,204583
31763,00901,11046,4061,27852234,340141
56307,00921,2564,1070,4331253,285662
97321,00955,21371,8910,29051615,127257
97322,00955,31231,13030,26897420,162738
97352,00955,3100,1120,1957987,9244
97389,00955,1295,482,4156243,0
12008,00970,497,195,2153229,452596
12009,00970,3258,1447,14817647,72936
12018,00970,3055,1411,14303451,1705654
12019,00970,10799,4382,19935635,31246
12027,00970,2760,1119,7487820,47375
12033,00970,5047,2103,17821000,67416
12047,00970,19294,9546,18667693,1074849
12054,00970,16211,6855,20349757,0
12056,00970,281,115,1026255,2294
12061,00970,6533,2844,8556620,17907
12063,00970,185,66,709085,0
12065,00970,39861,17253,66784959,241717
12077,00970,4642,1830,10506071,53879
12084,00970,3874,2046,5064361,17332
12085,00970,479,203,454725,0
12110,00970,21908,7973,38003378,53481
12118,00970,9200,4312,11763814,50011
12123,00970,45,16,176776,0
12140,00970,742,301,3113515,0
12144,00970,19697,9149,33799413,978445
12148,00970,2112,845,4546015,105677
12150,00970,868,393,1999842,124590
12151,00970,551,273,1201750,0
12154,00970,19,6,320009,228628
12158,00970,2319,832,4878779,0
12159,00970,6534,2903,11220327,6949
12170,00970,2936,1193,5517849,296420
12180,00970,49474,22557,55999351,1938854
12182,00970,13392,6390,12845942,593756
12183,00970,2620,1408,1935063,482922
12186,00970,3708,1554,7892059,22372
12188,00970,9682,4381,15360987,860433
12189,00970,17568,9032,16496067,477521
12196,00970,1648,616,4273629,0
12198,00970,6910,2896,21962938,584647
12202,00970,9628,5207,5306156,566901
12203,00970,29848,13629,25877351,154202
12204,00970,7349,3798,10534351,861056
12205,00970,26832,12143,38415542,243508
12206,00970,16395,8208,5516300,0
12207,00970,1948,1122,2746948,403576
12208,00970,20702,10260,10861662,20810
12209,00970,10121,4501,5544950,7882
12210,00970,10158,6252,2321851,14749
12211,00970,11303,4549,20537352,274582
12222,00970,6489,0,1403589,15294
12302,00970,24512,10686,44432043,1586402
12303,00970,28465,12344,26750988,29430
12304,00970,21400,9258,16830777,83611
12305,00970,5716,3100,3859695,240546
12306,00970,23017,10444,32540383,594605
12307,00970,7692,3387,1845434,11575
12308,00970,15335,6588,5823815,164651
12309,00970,29343,12449,42847843,417491
28001,00982,15912,7527,40316932,63396
28127,00982,911,402,4097464,0
56007,01009,17868,8343,25515204,1396609
35950,01036,15673,5994,34499931,123642
35951,01036,4727,1750,12054749,81741
35956,01036,1145,473,5221607,0
35957,01036,8503,3529,21701140,105633
35976,01036,6767,3234,19360447,4863668
52531,01063,3573,1660,5597705,0
49224,01090,9219,3809,17101303,136506
14411,01117,8171,2780,7638287,0
16401,01144,4034,836,5569684,47063
16410,01144,540,212,1864332,9011
87001,01171,449,172,1063862,0
87004,01171,9708,3707,16018189,577566
87022,01171,832,408,1494883,0
87043,01171,544,280,2880598,0
87048,01171,8682,3959,27857237,224947
87102,01171,21204,10253,16826106,156052
87104,01171,12123,5849,11006016,913336
87105,01171,56713,20573,73799339,2766524
87106,01171,27013,13078,26451241,59325
87107,01171,31183,14074,38240621,459863
87108,01171,38647,18935,15224438,0
87109,01171,40432,19546,26199125,183677
87110,01171,38587,18862,22361758,9237
87111,01171,56484,27550,32684805,74126
87112,01171,43584,20177,20921526,29149
87113,01171,14451,6117,20626860,134536
87114,01171,61623,24618,51922944,1336490
87116,01171,4117,1298,7726943,43051
87117,01171,310,1,7093464,5975
87120,01171,57627,23554,38584259,1217674
87121,01171,71027,22751,42441087,325903
87122,01171,17651,7056,24221502,22393
87123,01171,40790,18182,26966416,238380
87124,01171,50733,20353,54466805,0
87144,01171,36804,13498,41889745,142870
24910,01198,2632,789,3439605,92069
61231,01225,3655,1684,5741926,30085
76008,01232,4854,1620,12132649,173957
35010,01252,9400,4326,25158641,65446
71301,01279,22807,9745,26400337,348303
71302,01279,12871,5504,18380912,16386
71303,01279,18052,7779,38628571,0
71360,01279,20833,8728,49460105,364401
71405,01279,4473,1812,15409123,0
71409,01279,226,13,3541886,0
71467,01279,3214,228,16777755,177635
71485,01279,328,126,1153288,0
56308,01306,16305,8243,36282358,7440072
56319,01306,678,361,2181214,0
14802,01333,4135,560,2560792,0
14803,01333,187,99,556229,0
54201,01360,3070,1655,4785867,105292
50511,01387,5340,2618,6862990,45217
78332,01414,20974,8017,28150471,0
49010,01441,6322,2821,12221345,147540
29810,01468,3307,1567,5948739,0
08804,01495,1219,470,2139963,16558
08865,01495,25956,11245,25012312,278500
08886,01495,5268,1844,9461350,0
18011,01495,3730,1459,8192310,67121
18013,01495,10708,4469,20104248,313188
18014,01495,7218,3138,19837713,250127
18015,01495,32167,11525,44144358,714943
18016,01495,0,0,153758,0
18017,01495,37242,15574,38689974,265267
18018,01495,32413,14698,13344934,365716
18020,01495,19834,7546,26095897,155094
18030,01495,573,265,601916,19971
18031,01495,6097,2654,12962170,31319
18032,01495,9285,4034,5200219,154390
18034,01495,6992,2295,16950437,162010
18035,01495,135,52,261987,0
18036,01495,8081,3079,20071268,82043
18037,01495,7070,3006,18892795,338432
18038,01495,1685,656,6673385,238081
18040,01495,14612,5551,18774538,42726
18042,01495,38683,15472,22955753,1070771
18045,01495,26106,10387,33973616,237322
18046,01495,64,24,47260,0
18049,01495,15410,6875,21442291,105673
18051,01495,2549,975,10983862,25902
18052,01495,26892,11695,32630877,827084
18053,01495,412,147,490162,14006
18055,01495,7804,3730,6538856,41203
18056,01495,755,369,975607,4243
18059,01495,1228,469,4073458,7534
18062,01495,22242,8774,27148169,99794
18063,01495,502,242,746543,10915
18064,01495,21485,8468,58985266,517776
18067,01495,14185,6177,19399153,429736
18068,01495,42,19,10470,0
18069,01495,6537,2345,15131537,103536
18071,01495,6571,2945,9129705,0
18072,01495,5224,2169,9351307,196888
18078,01495,6428,2525,26907281,103580
18079,01495,394,168,335449,893
18080,01495,8402,3645,22922949,149273
18083,01495,530,221,1571749,31795
18085,01495,1119,421,1322057,39277
18086,01495,352,146,982986,1950
18087,01495,738,345,2867323,41930
18088,01495,6845,2881,28885731,483151
18091,01495,4095,1806,8935981,108378
18092,01495,1456,534,7319661,13571
18101,01495,3897,1821,903911,4030
18102,01495,49779,18434,7762017,257200
18103,01495,44810,18524,40500698,306731
18104,01495,42738,17402,49143253,310019
18105,01495,12,0,19947,0
18106,01495,6795,2803,19308632,298205
18109,01495,16922,7265,21085646,640099
18195,01495,0,0,29340,0
18235,01495,8431,3818,11970957,136096
