ZCTA5,Primary County,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00601,72001,00550,18570,7744,166659789,799296,18.180555,-66.749961
00602,72003,00631,41520,18073,79288158,4446273,18.361945,-67.175597
00603,72005,00631,54689,25653,81880442,183425,18.455183,-67.119887
00606,72093,54469,6615,2877,109580061,12487,18.158327,-66.932928
00610,72011,00631,29016,12618,93021467,4172001,18.295366,-67.125135
00612,72013,03034,67010,30992,175106243,9809163,18.402253,-66.711397
00616,72013,30115,11017,4896,29870473,149147,18.420412,-66.671979
00617,72017,30115,24597,10594,39347158,3987969,18.447538,-66.557681
00622,72023,78985,7853,8714,75077028,1694917,17.991245,-67.153993
00623,72023,78985,43061,21426,98367847,1633540,18.083361,-67.153897
00624,72111,97561,26241,9905,111791516,2524878,18.064919,-66.716683
00627,72027,03034,35159,14431,120058334,3507026,18.4126,-66.863926
00631,72081,,1852,842,10414662,669970,18.190607,-66.832041
00637,72121,78985,25287,10962,89226022,25323,18.076713,-66.947389
00638,72039,79093,18941,7805,171055117,493335,18.295913,-66.515588
00641,72141,00631,31191,13358,242237480,3466212,18.263097,-66.712963
00646,72051,79093,38199,16699,53611823,3321248,18.43315,-66.285875
00647,72055,97561,6172,3482,39379804,8013314,17.963613,-66.947127
00650,72054,30115,14998,6124,79052810,557181,18.349416,-66.578079
00652,72013,30115,4715,1947,17906137,16436,18.44844,-66.59411
00653,72055,97561,13307,6217,39477273,5203941,17.985033,-66.886536
00656,72059,97561,21481,8680,83968290,4356121,18.053539,-66.792931
00659,72065,03034,41953,17365,108211415,3039180,18.407226,-66.808999
00660,72067,55738,17250,7783,29380814,486,18.134695,-67.116199
00662,72071,00631,43282,20199,114907988,5341043,18.468297,-67.015751
00664,72073,42778,16784,6590,117897373,3405,18.21033,-66.591616
00667,72079,78985,25968,12508,156201164,28264208,18.003422,-67.03581
00669,72081,00631,29744,12458,159419203,168344,18.277102,-66.869645
00670,72083,00631,9807,3973,118025360,357819,18.240187,-66.988776
00674,72091,79093,44457,19409,116400264,6903390,18.422908,-66.489337
00676,72099,00631,40316,16887,130636635,56483,18.377637,-67.079574
00677,72117,00631,15272,9730,37137111,3594951,18.332568,-67.227022
00678,72115,03034,27819,11619,68274095,3796687,18.434099,-66.927384
00680,72097,55738,58140,27992,166248984,19828643,18.178225,-67.151514
00682,72097,55738,32615,15489,37348163,6330100,18.221464,-67.156039
00683,72125,78985,33772,15219,135168308,29361,18.1078,-67.037263
00685,72131,00631,42831,18877,200808224,2058239,18.332929,-66.959689
00687,72101,79093,32610,12381,100675764,140026,18.319026,-66.420557
00688,72013,30115,13543,5353,82401202,77467,18.382311,-66.626416
00690,72005,00631,6255,2773,7291346,12393,18.49551,-67.098671
00692,72143,79093,37511,16026,69307906,1999296,18.410188,-66.336556
00693,72145,79093,61038,25884,101838924,3653903,18.422987,-66.397214
00694,72145,79093,328,188,2043548,1957116,18.483063,-66.392379
00698,72153,97561,41782,17924,180309254,7761848,18.064848,-66.856319
00703,72007,79093,28605,11417,76855070,28384,18.248401,-66.130662
00704,72123,35866,8577,3871,12627769,1773833,17.96577,-66.219555
00705,72009,79093,25598,10297,82748292,72306,18.128961,-66.266683
