GEOID,Name,Short Name,Population,Housing Units,Land Area,Water Area
220,"Detroit-Warren-Ann Arbor, MI","Detroit, MI",5415074,2348586,6534.329,514.676
184,"Cleveland-Akron-Canton, OH","Cleveland, OH",3630399,1661008,6437.27,3063.287
440,"Portland-Vancouver-Salem, OR-WA","Portland, OR",3255137,1319266,12715.041,197.833
104,"Albany-Schenectady, NY","Albany, NY",1190175,568868,6043.451,203.705
172,"Charlotte-Concord, NC-SC","Charlotte, NC",2786328,1161558,6456.752,130.184
106,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque, NM",1158125,515336,23811.537,70.887
388,"Montgomery-Selma-Alexander City, AL","Montgomery, AL",475679,218271,5060.586,152.253
204,"Corpus Christi-Kingsville-Alice, TX","Corpus Christi, TX",526731,230255,6783.157,1318.319
394,"Mount Pleasant-Alma, MI","Mount Pleasant, MI",107381,44607,1141.081,8.229
107,"Altoona-Huntingdon, PA","Altoona, PA",167590,76846,1399.883,15.887
108,"Amarillo-Pampa-Borger, TX","Amarillo, TX",311229,133685,7888.438,43.817
218,"Des Moines-Ames-West Des Moines, IA","Des Moines, IA",882376,373984,5880.763,55.081
258,"Fort Wayne-Huntington-Auburn, IN","Fort Wayne, IN",640978,274314,3164.877,34.754
118,"Appleton-Oshkosh-Neenah, WI","Appleton, WI",413052,176008,1390.504,229.751
412,"North Port-Sarasota, FL","North Port, FL",1043024,576488,2616.581,909.344
490,"San Juan-Bayamón, PR","San Juan, PR",2376051,1101481,1871.037,788.17
120,"Asheville-Marion-Brevard, NC","Asheville, NC",543064,270339,2850.933,15.763
360,"Mansfield-Ashland-Bucyrus, OH","Mansfield, OH",219101,96883,1319.999,9.609
312,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO",2513794,1077919,11200.219,167.05
174,"Chattanooga-Cleveland-Dalton, TN-GA","Chattanooga, TN",996096,426768,4902.459,87.613
206,"Dallas-Fort Worth, TX-OK","Dallas, TX",8022471,3114677,15535.284,649.028
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta, GA",6861213,2723480,13053.253,259.365
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA",7346541,3101632,7336.147,1168.287
426,"Pensacola-Ferry Pass, FL-AL","Pensacola, FL",540052,236248,2614.803,686.215
532,"Syracuse-Auburn, NY","Syracuse, NY",737750,332678,3076.431,566.169
194,"Columbus-Auburn-Opelika, GA-AL","Columbus, GA",497880,216621,3393.622,40.104
462,"Rochester-Austin, MN","Rochester, MN",264315,113129,3188.433,29.182
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, DC",9908872,3972862,12639.922,1570.453
357,"Madison-Janesville-Beloit, WI","Madison, WI",903456,400060,4858.541,102.894
350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN","Louisville, KY",1504921,651897,5036.148,90.344
148,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston, MA",8418234,3582095,9702.18,2768.436
162,"Burlington-South Burlington-Barre, VT","Burlington, VT",284133,130779,1936.635,261.889
538,"Tulsa-Muskogee-Bartlesville, OK","Tulsa, OK",1129245,488844,7496.44,228.108
464,"Rochester-Batavia-Seneca Falls, NY","Rochester, NY",1180660,529696,4082.649,2048.853
310,"Kalamazoo-Battle Creek-Portage, MI","Kalamazoo, MI",500992,221125,2275.268,64.091
474,"Saginaw-Midland-Bay City, MI","Saginaw, MI",378057,171484,1761.074,213.676
288,"Houston-The Woodlands, TX","Houston, TX",7238946,2783394,11836.595,1737.371
339,"Lincoln-Beatrice, NE","Lincoln, NE",359612,151559,2260.452,21.777
376,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI",2049190,902422,3775.06,2405.429
144,"Bloomington-Bedford, IN","Bloomington, IN",206602,93531,1228.963,22.119
198,"Columbus-Marion-Zanesville, OH","Columbus, OH",2527381,1073587,8467.489,85.235
140,"Bend-Prineville, OR","Bend, OR",219264,103688,5996.54,44.684
266,"Grand Rapids-Kentwood-Muskegon, MI","Grand Rapids, MI",1416767,575331,4573.422,3095.282
142,"Birmingham-Hoover-Talladega, AL","Birmingham, AL",1344068,593542,6751.334,133.78
292,"Idaho Falls-Rexburg-Blackfoot, ID","Idaho Falls, ID",266660,95061,9623.1,111.151
145,"Bloomington-Pontiac, IL","Bloomington, IL",207357,90412,2226.876,5.32
146,"Bloomsburg-Berwick-Sunbury, PA","Bloomsburg, PA",258035,113495,1715.97,33.268
406,"New Orleans-Metairie-Hammond, LA-MS","New Orleans, LA",1503295,671451,5475.541,4733.318
147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City, ID",835306,322718,25136.276,137.919
216,"Denver-Aurora, CO","Denver, CO",3587802,1475727,13055.965,103.536
150,"Bowling Green-Glasgow, KY","Bowling Green, KY",232950,101207,2391.382,38.715
500,"Seattle-Tacoma, WA","Seattle, WA",4895183,2030059,12288.868,1281.467
408,"New York-Newark, NY-NJ-CT-PA","New York, NY",23447414,9347233,12399.213,3127.022
298,"Jackson-Vicksburg-Brookhaven, MS","Jackson, MS",674807,293523,6579.903,121.016
297,"Jackson-Brownsville, TN","Jackson, TN",197853,87394,2244.29,3.744
154,"Brownsville-Harlingen-Raymondville, TX","Brownsville, TX",440977,160664,1482.33,578.867
160,"Buffalo-Cheektowaga-Olean, NY","Buffalo, NY",1239734,577412,2873.248,815.642
161,"Burlington-Fort Madison-Keokuk, IA-IL-MO","Burlington, IA",103677,50345,2610.826,79.32
268,"Greensboro--Winston-Salem--High Point, NC","Greensboro, NC",1685289,743068,4959.018,72.734
480,"Salisbury-Cambridge, MD-DE","Salisbury, MD",446910,267837,2639.491,1245.34
444,"Pueblo-Cañon City, CO","Pueblo, CO",216460,91997,3920.426,12.037
163,"Cape Coral-Fort Myers-Naples, FL","Cape Coral, FL",1164487,650275,3933.824,1375.422
164,"Cape Girardeau-Sikeston, MO-IL","Cape Girardeau, MO",135493,60026,1851.82,34.219
456,"Reno-Carson City-Fernley, NV","Reno, NV",648949,278539,9437.798,289.149
168,"Cedar Rapids-Iowa City, IA","Cedar Rapids, IA",449259,195088,3190.555,23.507
338,"Lima-Van Wert-Celina, OH","Lima, OH",219706,94876,1675.53,17.07
476,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO",2920576,1303095,8887.917,224.781
170,"Charleston-Huntington-Ashland, WV-OH-KY","Charleston, WV",784215,367553,7107.718,84.776
