GEOID,Name,Short Name,CSA,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
10100,"Aberdeen, SD","Aberdeen, SD",,42476,19820,2839.011,43.006,45.519435,-98.7007
10140,"Aberdeen, WA","Aberdeen, WA",,74737,35928,1901.474,322.129,47.113732,-123.826735
10180,"Abilene, TX","Abilene, TX",,175241,73899,2743.514,14.192,32.452022,-99.718743
10220,"Ada, OK","Ada, OK",,38102,17362,720.411,4.855,34.721415,-96.69178
10300,"Adrian, MI","Adrian, MI",220,99346,43604,749.627,11.775,41.896022,-84.074356
10380,"Aguadilla-Isabela, PR","Aguadilla, PR",,311049,147004,472.021,138.575,18.356965,-67.007895
10420,"Akron, OH","Akron, OH",184,702464,316748,900.198,23.99,41.146639,-81.35011
10460,"Alamogordo, NM","Alamogordo, NM",,67298,32109,6612.562,14.264,32.615599,-105.751308
10500,"Albany, GA","Albany, GA",,149298,66526,1591.03,17.794,31.644686,-84.110718
10540,"Albany-Lebanon, OR","Albany, OR",440,127200,51515,2289.277,19.325,44.488898,-122.537208
10580,"Albany-Schenectady-Troy, NY","Albany, NY",104,898265,415620,2811.804,66.421,42.78792,-73.942348
10620,"Albemarle, NC","Albemarle, NC",172,62148,27600,395.079,9.725,35.310449,-80.254374
10660,"Albert Lea, MN","Albert Lea, MN",,30882,14139,707.245,15.176,43.674202,-93.350289
10700,"Albertville, AL","Albertville, AL",,97179,41129,565.845,57.335,34.309564,-86.321668
10740,"Albuquerque, NM","Albuquerque, NM",106,913388,393319,9283.396,12.283,35.123496,-106.458392
10760,"Alexander City, AL","Alexander City, AL",388,51726,28667,1367.437,65.167,32.900486,-86.002932
10780,"Alexandria, LA","Alexandria, LA",,152695,66885,1964.019,62.314,31.325348,-92.546803
10820,"Alexandria, MN","Alexandria, MN",,38742,21640,636.937,83.215,45.936835,-95.462155
10860,"Alice, TX","Alice, TX",204,49204,20714,2658.653,5.483,27.697743,-98.390881
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",,857997,356639,1452.983,22.467,40.789339,-75.398158
10940,"Alma, MI","Alma, MI",394,41758,16057,568.381,3.231,43.292326,-84.60469
10980,"Alpena, MI","Alpena, MI",,28913,15682,571.897,1123.03,44.894954,-83.426574
11020,"Altoona, PA","Altoona, PA",107,123132,55798,525.276,1.272,40.498683,-78.309597
11060,"Altus, OK","Altus, OK",,24960,12050,802.653,1.589,34.594006,-99.412235
11100,"Amarillo, TX","Amarillo, TX",108,268306,113037,5150.981,32.797,35.247999,-101.90867
11140,"Americus, GA","Americus, GA",,34312,15501,649.786,10.649,32.098355,-84.224304
11180,"Ames, IA","Ames, IA",218,124827,52780,1143.03,4.25,42.036128,-93.698008
11220,"Amsterdam, NY","Amsterdam, NY",104,49539,22905,403.111,7.187,42.900891,-74.435357
11260,"Anchorage, AK","Anchorage, AK",,399352,167865,26413.87,798.33,62.212784,-149.678222
11380,"Andrews, TX","Andrews, TX",,18184,6870,1500.721,0.37,32.312258,-102.640206
11420,"Angola, IN","Angola, IN",258,34379,18924,308.78,13.686,41.643467,-85.002405
11460,"Ann Arbor, MI","Ann Arbor, MI",220,372428,155927,706.003,16.418,42.252217,-83.843423
11500,"Anniston-Oxford, AL","Anniston, AL",,116425,53112,605.889,6.385,33.770516,-85.827909
11540,"Appleton, WI","Appleton, WI",118,241748,100094,955.807,85.878,44.290603,-88.372326
11580,"Arcadia, FL","Arcadia, FL",412,34027,15453,636.695,2.411,27.190581,-81.806253
11620,"Ardmore, OK","Ardmore, OK",,58207,26234,1336.119,29.917,34.125836,-97.263905
11640,"Arecibo, PR","Arecibo, PR",490,183384,82497,236.753,89.517,18.439224,-66.759981
11660,"Arkadelphia, AR","Arkadelphia, AR",,21569,10031,865.971,16.975,34.053316,-93.176208
11700,"Asheville, NC","Asheville, NC",120,465558,230081,2032.622,8.399,35.595669,-82.681615
11740,"Ashland, OH","Ashland, OH",360,52658,22436,422.987,3.848,40.843273,-82.270127
11780,"Ashtabula, OH","Ashtabula, OH",184,97869,46206,702.067,665.838,41.906637,-80.745592
