GEOID,Name,CBSA,Population,Housing Units,Land Area,Water Area
14454,"Boston, MA",14460,2040652,848871,1112.863,545.005
15764,"Cambridge-Newton-Framingham, MA",14460,2428009,978849,1310.38,365.056
40484,"Rockingham County-Strafford County, NH",14460,443369,189600,1062.861,114.973
16984,"Chicago-Naperville-Evanston, IL",16980,7259008,3008005,3130.16,731.689
20994,"Elgin, IL",16980,750327,273584,1470.939,10.105
23844,"Gary, IN",16980,715149,304633,1878.427,234.853
29404,"Lake County-Kenosha County, IL-WI",16980,883227,340528,715.438,1406.917
19124,"Dallas-Plano-Irving, TX",19100,5061685,1954304,5277.268,259.33
23104,"Fort Worth-Arlington-Grapevine, TX",19100,2481655,945048,3398.413,72.258
19804,"Detroit-Dearborn-Livonia, MI",19820,1789781,793207,611.853,60.892
47664,"Warren-Troy-Farmington Hills, MI",19820,2593051,1106326,3280.539,282.376
11244,"Anaheim-Santa Ana-Irvine, CA",31080,3182923,1121753,792.858,156.859
31084,"Los Angeles-Long Beach-Glendale, CA",31080,10019635,3578801,4060.246,689.194
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",33100,1934551,854965,1202.909,105.519
33124,"Miami-Miami Beach-Kendall, FL",33100,2690113,1064991,1899.925,489.397
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",33100,1481233,702877,1964.292,418.909
35004,"Nassau County-Suffolk County, NY",35620,2914676,1054073,1195.464,1631.169
35084,"Newark, NJ-PA",35620,2264674,891544,2181.092,74.913
35154,"New Brunswick-Lakewood, NJ",35620,2474937,1004789,1707.586,496.477
35614,"New York-Jersey City-White Plains, NY-NJ",35620,12357525,4981019,1600.327,325.164
15804,"Camden, NJ",37980,1282117,512372,1342.655,41.724
33874,"Montgomery County-Bucks County-Chester County, PA",37980,2026466,805919,1837.884,30.382
37964,"Philadelphia, PA",37980,2170748,949208,318.167,15.134
48864,"Wilmington, DE-MD-NJ",37980,735891,303676,1104.498,179.918
36084,"Oakland-Berkeley-Livermore, CA",41860,2834776,1038284,1454.355,170.763
41884,"San Francisco-San Mateo-Redwood City, CA",41860,1628421,687290,495.342,477.52
42034,"San Rafael, CA",41860,262387,111570,520.423,307.753
42644,"Seattle-Bellevue-Kent, WA",42660,3060900,1275727,4202.248,300.957
45104,"Tacoma-Lakewood, WA",42660,910225,355970,1667.977,137.483
23224,"Frederick-Gaithersburg-Rockville, MD",47900,1324699,503922,1153.754,20.567
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,5007370,1970268,5414.529,414.774
