ZIP Code,Active ZCTA5
00801,00802
00823,00820
00824,00820
00831,00830
00841,00840
00936,00921
01086,01085
01199,01107
01467,01451
02651,02642
02669,02633
03746,03745
03754,03773
04228,04254
04343,04364
04629,04614
04637,04668
04644,04609
04933,04953
04962,04989
05657,05661
05740,05753
06160,06105
06856,06850
07495,07430
08808,07882
11351,11357
11425,11209
12089,12090
13064,13156
13341,13323
13362,13425
13677,13652
13794,13803
13845,13734
15621,15666
16728,16735
17072,17050
17083,17042
17256,17225
17270,17252
17272,17268
17767,17751
18016,18018
18068,18092
18105,18102
18251,18249
18352,18360
18427,18436
18459,18472
18653,18411
19519,19518
19542,19518
20053,20003
20118,20117
20139,20119
20202,20024
20228,20024
20307,20012
20405,20006
20506,20006
20553,20591
20593,20024
21522,21536
21802,21804
21916,21921
22185,22124
22530,22473
22579,22473
23064,23066
23115,22454
23125,23138
23187,23185
23313,23310
23806,23803
24130,24085
24628,24614
25906,25801
28583,28515
28647,28657
29147,29203
29202,29201
29423,29406
29850,29801
30164,31064
30438,30417
30475,30474
30903,30813
31304,31331
32447,32448
33945,33924
35139,35073
35187,35115
36590,36582
36616,36610
36859,36856
37240,37212
37243,37219
37246,37203
38630,38614
38702,38725
38704,38744
38749,38751
38945,38930
38958,39038
39760,39759
40048,40004
40506,40508
40604,40601
40743,40744
41062,41034
41099,41076
42084,42064
42102,42103
42731,42717
43927,43950
43970,43903
44265,44201
44816,44889
45145,45118
45418,45439
45787,45786
47536,47577
48397,48092
48551,48507
48553,48507
48554,48473
48667,48640
48921,48933
49666,49649
49819,49818
50011,50013
53702,53072
54010,54011
54641,54466
54765,54757
54934,54963
55766,55724
56047,56039
56177,56144
56436,56461
56456,56474
56577,56521
56593,56464
56687,56601
56741,56711
58702,58701
59703,59701
62065,62053
62070,62053
63057,63012
63370,63377
63464,63469
63666,63633
63902,63901
64192,64138
66019,66018
66728,66739
68969,68920
71377,71343
71711,71701
72037,72046
72149,72143
72321,72358
75832,75751
75978,75961
76508,76504
76949,76945
77201,77007
78060,78071
78335,78373
79831,79842
79942,76943
80477,80487
80488,80487
80497,80498
80511,80517
81038,81054
81231,81230
82715,82701
83601,83716
83671,83611
84144,84101
87533,87532
87574,87506
88032,88007
88033,88007
89702,89701
90090,90012
93592,92328
94850,94804
95234,95219
95250,95246
95724,96161
96049,96039
96921,96913
96932,96910
98205,98201
98929,98937
99164,99163
99510,99519
