ZCTA5,Place GEOID,Land Area,Water Area
00601,7200358,0.749,0.0
00602,7200616,0.369,0.0
00602,7247873,1.638,0.0
00603,7200745,2.506,0.586
00603,7209689,0.453,0.0
00603,7268599,0.283,0.0
00606,7251270,0.163,0.0
00610,7202680,0.833,0.0
00610,7227263,0.693,0.011
00610,7242068,1.064,0.502
00610,7243702,0.248,0.0
00612,7203024,0.23,0.0
00612,7203368,15.51,2.44
00616,7204658,2.042,0.0
00617,7205346,0.97,0.0
00617,7209603,0.239,0.0
00617,7230372,0.659,0.0
00617,7235962,0.647,0.0
00617,7282125,0.166,0.0
00622,7207969,1.03,0.0
00622,7224954,0.574,0.001
00622,7263697,0.556,0.001
00623,7207668,0.127,0.0
00623,7207969,0.002,0.0
00623,7209861,2.356,0.0
00623,7254366,1.429,0.0
00623,7265589,1.195,0.643
00624,7261074,0.964,0.001
00624,7267200,0.575,0.001
00624,7279564,2.199,0.001
00624,7281413,1.119,0.0
00624,7281456,0.382,0.0
00627,7201863,1.001,0.0
00627,7211925,0.996,0.18
00627,7223341,0.348,0.0
00627,7241810,0.121,0.0
00627,7261590,0.682,0.0
00627,7266660,0.165,0.0
00627,7288293,0.499,0.306
00637,7245379,0.238,0.0
00637,7246282,0.728,0.0
00637,7273544,2.149,0.0
00638,7217773,1.162,0.014
00638,7229682,2.762,0.0
00638,7234242,1.928,0.028
00638,7237336,2.091,0.0
00641,7215623,0.3,0.0
00641,7284509,1.824,0.039
00646,7224008,3.161,0.56
00646,7271437,1.509,0.007
00646,7275694,1.882,0.0
00646,7285197,0.045,0.0
00647,7229727,0.303,0.008
00647,7231189,1.684,0.005
00650,7228824,1.511,0.003
00650,7257862,0.116,0.0
00653,7226287,1.07,0.001
00653,7231189,0.837,0.001
00653,7250754,0.35,0.0
00656,7232307,0.708,0.0
00656,7236177,1.017,0.001
00656,7248604,0.734,0.0
00659,7214634,0.565,0.0
00659,7220482,0.518,0.0
00659,7233296,1.081,0.437
00659,7268513,1.552,0.005
00659,7268556,0.417,0.0
00660,7235059,4.393,0.0
00662,7236478,2.618,0.194
00662,7254882,0.32,0.0
00664,7238370,0.484,0.0
00667,7240950,1.494,0.0
00667,7241767,0.285,0.0
00667,7248862,0.311,0.0
00667,7258150,0.337,0.0
00669,7242498,2.025,0.0
00670,7243788,0.356,0.0
00674,7221385,0.281,0.0
00674,7241294,0.984,0.0
00674,7250152,2.08,0.0
00674,7282187,0.916,0.087
00676,7200186,0.251,0.0
00676,7228367,0.32,0.0
00676,7236779,0.138,0.0
00676,7244507,0.142,0.0
00676,7246800,0.304,0.0
00676,7246960,0.095,0.0
00676,7253807,0.134,0.0
00676,7287638,0.152,0.0
00677,7269588,0.423,0.0
00677,7280596,0.346,0.0
00678,7210048,0.845,0.002
00678,7268040,1.905,0.001
00678,7275780,1.356,0.0
00680,7252431,9.579,0.018
00682,7235059,0.027,0.0
00682,7252431,11.403,2.153
00683,7273372,0.38,0.0
00683,7276167,2.863,0.002
00685,7233597,0.794,0.0
00685,7239470,0.177,0.0
00685,7277500,2.046,0.0
00687,7205217,0.537,0.0
00687,7229555,0.358,0.0
00687,7255097,0.561,0.0
00688,7239875,1.137,0.0
00688,7273716,2.604,0.0
00690,7275608,0.483,0.0
00692,7208700,0.986,0.0
00692,7216139,0.19,0.0
00692,7273200,0.005,0.0
00692,7285197,1.847,0.0
00693,7216139,0.812,0.0
00693,7221385,0.003,0.0
