Urban Area GEOID,ZCTA5,Land Area,Water Area
00037,70510,8.049,0.131
00037,70528,1.185,0.0
00037,70533,1.891,0.0
00037,70560,0.004,0.0
00064,29620,4.948,0.002
00145,57401,13.895,0.071
00172,98520,6.16,0.54
00172,98537,1.065,0.0
00172,98550,3.592,0.155
00172,98563,0.154,0.0
00253,67410,3.64,0.001
00280,79563,0.069,0.0
00280,79601,9.871,0.042
00280,79602,19.332,0.303
00280,79603,7.725,0.0
00280,79605,9.596,0.028
00280,79606,10.698,0.019
00280,79607,4.623,0.0
00280,79699,0.06,0.0
00388,45810,2.095,0.0
00415,74820,14.25,0.012
00469,31620,4.659,0.057
00469,31647,1.452,0.01
00496,50003,2.743,0.006
00550,00601,4.703,0.0
00550,00731,0.159,0.0
00577,49221,13.375,0.149
00631,00602,28.059,0.056
00631,00603,32.545,0.053
00631,00610,12.991,0.001
00631,00662,29.204,0.013
00631,00676,29.857,0.014
00631,00677,14.554,0.0
00631,00678,2.555,0.003
00631,00685,35.296,0.0
00631,00690,2.261,0.003
00658,27910,3.326,0.0
00766,44203,25.058,0.403
00766,44216,4.475,0.021
00766,44221,6.392,0.06
00766,44223,7.867,0.018
00766,44224,19.451,0.421
00766,44230,4.448,0.01
00766,44232,0.021,0.0
00766,44240,26.126,0.597
00766,44241,0.042,0.0
00766,44243,0.423,0.0
00766,44250,0.708,0.154
00766,44256,1.056,0.044
00766,44260,6.562,0.083
00766,44262,2.674,0.092
00766,44264,0.987,0.009
00766,44266,20.051,0.76
00766,44270,2.912,0.078
00766,44272,4.09,0.051
00766,44278,14.038,0.027
00766,44281,12.013,0.008
00766,44301,3.556,0.056
00766,44302,0.899,0.0
00766,44303,2.106,0.0
00766,44304,1.315,0.0
00766,44305,6.718,0.023
00766,44306,8.342,0.0
00766,44307,1.952,0.007
00766,44308,0.462,0.0
00766,44310,6.171,0.017
00766,44311,1.868,0.0
00766,44312,18.952,0.324
00766,44313,11.566,0.0
00766,44314,4.367,0.151
00766,44319,18.722,1.969
00766,44320,10.028,0.071
00766,44321,10.888,0.02
00766,44325,0.29,0.0
00766,44333,12.887,0.121
00766,44632,0.24,0.0
00766,44685,13.184,0.043
00766,44720,6.731,0.18
00820,88310,13.731,0.002
00847,81101,7.685,0.015
00901,31701,11.314,0.274
00901,31704,0.432,0.01
00901,31705,18.749,0.191
