GEOID,Short Name,Full Name,State,DMA Code,Time Zone,FIPS Class
04027,Yuma,Yuma County,AZ,771,America/Phoenix,H1
04001,Apache,Apache County,AZ,753,America/Denver,H1
04003,Cochise,Cochise County,AZ,789,America/Phoenix,H1
04005,Coconino,Coconino County,AZ,753,America/Phoenix,H1
04009,Graham,Graham County,AZ,753,America/Phoenix,H1
04015,Mohave,Mohave County,AZ,753,America/Phoenix,H1
04019,Pima,Pima County,AZ,789,America/Phoenix,H1
04021,Pinal,Pinal County,AZ,753,America/Phoenix,H1
04013,Maricopa,Maricopa County,AZ,753,America/Phoenix,H1
04007,Gila,Gila County,AZ,753,America/Phoenix,H1
04023,Santa Cruz,Santa Cruz County,AZ,789,America/Phoenix,H1
04011,Greenlee,Greenlee County,AZ,753,America/Phoenix,H1
04017,Navajo,Navajo County,AZ,753,America/Denver,H1
04025,Yavapai,Yavapai County,AZ,753,America/Phoenix,H1
04012,La Paz,La Paz County,AZ,753,America/Phoenix,H1
05001,Arkansas,Arkansas County,AR,693,America/Chicago,H1
05003,Ashley,Ashley County,AR,628,America/Chicago,H1
05011,Bradley,Bradley County,AR,693,America/Chicago,H1
05013,Calhoun,Calhoun County,AR,693,America/Chicago,H1
05021,Clay,Clay County,AR,734,America/Chicago,H1
05025,Cleveland,Cleveland County,AR,693,America/Chicago,H1
05027,Columbia,Columbia County,AR,612,America/Chicago,H1
05019,Clark,Clark County,AR,693,America/Chicago,H1
05029,Conway,Conway County,AR,693,America/Chicago,H1
05031,Craighead,Craighead County,AR,734,America/Chicago,H1
05037,Cross,Cross County,AR,640,America/Chicago,H1
05039,Dallas,Dallas County,AR,693,America/Chicago,H1
05041,Desha,Desha County,AR,693,America/Chicago,H1
05043,Drew,Drew County,AR,693,America/Chicago,H1
05045,Faulkner,Faulkner County,AR,693,America/Chicago,H1
05047,Franklin,Franklin County,AR,670,America/Chicago,H1
05049,Fulton,Fulton County,AR,619,America/Chicago,H1
05051,Garland,Garland County,AR,693,America/Chicago,H1
05053,Grant,Grant County,AR,693,America/Chicago,H1
05055,Greene,Greene County,AR,734,America/Chicago,H1
05057,Hempstead,Hempstead County,AR,612,America/Chicago,H1
05059,Hot Spring,Hot Spring County,AR,693,America/Chicago,H1
05065,Izard,Izard County,AR,693,America/Chicago,H1
05067,Jackson,Jackson County,AR,693,America/Chicago,H1
05069,Jefferson,Jefferson County,AR,693,America/Chicago,H1
05071,Johnson,Johnson County,AR,670,America/Chicago,H1
05073,Lafayette,Lafayette County,AR,612,America/Chicago,H1
05075,Lawrence,Lawrence County,AR,734,America/Chicago,H1
05077,Lee,Lee County,AR,640,America/Chicago,H1
05061,Howard,Howard County,AR,612,America/Chicago,H1
05079,Lincoln,Lincoln County,AR,693,America/Chicago,H1
05081,Little River,Little River County,AR,612,America/Chicago,H1
05015,Carroll,Carroll County,AR,619,America/Chicago,H1
05023,Cleburne,Cleburne County,AR,693,America/Chicago,H1
05125,Saline,Saline County,AR,693,America/Chicago,H1
05017,Chicot,Chicot County,AR,647,America/Chicago,H1
05033,Crawford,Crawford County,AR,670,America/Chicago,H1
05035,Crittenden,Crittenden County,AR,640,America/Chicago,H1
05063,Independence,Independence County,AR,693,America/Chicago,H1
05085,Lonoke,Lonoke County,AR,693,America/Chicago,H1
05087,Madison,Madison County,AR,670,America/Chicago,H1
05091,Miller,Miller County,AR,612,America/Chicago,H1
05095,Monroe,Monroe County,AR,693,America/Chicago,H1
05097,Montgomery,Montgomery County,AR,693,America/Chicago,H1
05099,Nevada,Nevada County,AR,693,America/Chicago,H1
05103,Ouachita,Ouachita County,AR,693,America/Chicago,H1
05105,Perry,Perry County,AR,693,America/Chicago,H1
05107,Phillips,Phillips County,AR,640,America/Chicago,H1
05109,Pike,Pike County,AR,693,America/Chicago,H1
05111,Poinsett,Poinsett County,AR,640,America/Chicago,H1
05113,Polk,Polk County,AR,693,America/Chicago,H1
05117,Prairie,Prairie County,AR,693,America/Chicago,H1
05119,Pulaski,Pulaski County,AR,693,America/Chicago,H1
05121,Randolph,Randolph County,AR,734,America/Chicago,H1
05127,Scott,Scott County,AR,670,America/Chicago,H1
05129,Searcy,Searcy County,AR,693,America/Chicago,H1
05131,Sebastian,Sebastian County,AR,670,America/Chicago,H1
05133,Sevier,Sevier County,AR,612,America/Chicago,H1
05135,Sharp,Sharp County,AR,734,America/Chicago,H1
05005,Baxter,Baxter County,AR,619,America/Chicago,H1
05007,Benton,Benton County,AR,670,America/Chicago,H1
05009,Boone,Boone County,AR,619,America/Chicago,H1
