GNIS ID,GEOID,Name,Short Name,State,FIPS Class,Latitude,Longitude
1008531,37001,Alamance County,Alamance,NC,H1,36.0437099,-79.3994248
1008532,37003,Alexander County,Alexander,NC,H1,35.9210263,-81.1770268
1008533,37005,Alleghany County,Alleghany,NC,H1,36.4915415,-81.127016
1008534,37007,Anson County,Anson,NC,H1,34.9737894,-80.102712
1008535,37009,Ashe County,Ashe,NC,H1,36.4340929,-81.5003845
1008536,37011,Avery County,Avery,NC,H1,36.076605,-81.9226014
1008538,37021,Buncombe County,Buncombe,NC,H1,35.6111779,-82.5301071
1008539,37023,Burke County,Burke,NC,H1,35.7496106,-81.7047785
1008540,37025,Cabarrus County,Cabarrus,NC,H1,35.3867839,-80.5518792
1008541,37027,Caldwell County,Caldwell,NC,H1,35.9530388,-81.5464373
1008542,37033,Caswell County,Caswell,NC,H1,36.3932742,-79.3335235
1008543,37035,Catawba County,Catawba,NC,H1,35.6620424,-81.2150706
1008544,37037,Chatham County,Chatham,NC,H1,35.7025819,-79.2553042
1008545,37039,Cherokee County,Cherokee,NC,H1,35.1338575,-84.0634442
1008546,37043,Clay County,Clay,NC,H1,35.0571811,-83.7501767
1008547,37045,Cleveland County,Cleveland,NC,H1,35.3340898,-81.5555433
1008548,37057,Davidson County,Davidson,NC,H1,35.7933323,-80.2127569
1008549,37059,Davie County,Davie,NC,H1,35.929093,-80.5444759
1008550,37063,Durham County,Durham,NC,H1,36.036029,-78.8765927
1008551,37065,Edgecombe County,Edgecombe,NC,H1,35.9128807,-77.5970589
1008552,37067,Forsyth County,Forsyth,NC,H1,36.1306245,-80.25632
1008553,37069,Franklin County,Franklin,NC,H1,36.0827734,-78.2856966
1008554,37071,Gaston County,Gaston,NC,H1,35.2943489,-81.1802416
1008555,37075,Graham County,Graham,NC,H1,35.350172,-83.8335818
1008556,37077,Granville County,Granville,NC,H1,36.3040698,-78.6527194
1008557,37079,Greene County,Greene,NC,H1,35.4849957,-77.6757627
1008558,37081,Guilford County,Guilford,NC,H1,36.079469,-79.7889168
1008559,37083,Halifax County,Halifax,NC,H1,36.2574485,-77.651733
1008560,37085,Harnett County,Harnett,NC,H1,35.3688186,-78.8693115
1008561,37087,Haywood County,Haywood,NC,H1,35.5560557,-82.982173
1008562,37089,Henderson County,Henderson,NC,H1,35.3362263,-82.4799464
1008563,37093,Hoke County,Hoke,NC,H1,35.0175396,-79.2372793
1008564,37095,Hyde County,Hyde,NC,H1,35.4081187,-76.1449651
1008565,37097,Iredell County,Iredell,NC,H1,35.8070436,-80.8734472
1008566,37099,Jackson County,Jackson,NC,H1,35.2875866,-83.1408496
1008567,37105,Lee County,Lee,NC,H1,35.4751864,-79.1714836
1008568,37107,Lenoir County,Lenoir,NC,H1,35.2387732,-77.6412486
1008569,37109,Lincoln County,Lincoln,NC,H1,35.485595,-81.2235326
1008570,37119,Mecklenburg County,Mecklenburg,NC,H1,35.246767,-80.8327311
1008571,37121,Mitchell County,Mitchell,NC,H1,36.0132039,-82.1635815
1008572,37123,Montgomery County,Montgomery,NC,H1,35.3324669,-79.9054791
1008573,37125,Moore County,Moore,NC,H1,35.310654,-79.4813749
1008574,37127,Nash County,Nash,NC,H1,35.9672503,-77.9864448
1008575,37131,Northampton County,Northampton,NC,H1,36.4177312,-77.3968212
1008576,37135,Orange County,Orange,NC,H1,36.0611189,-79.1206491
1008577,37145,Person County,Person,NC,H1,36.3900951,-78.9718051
1008578,37147,Pitt County,Pitt,NC,H1,35.593299,-77.3744966
1008579,37149,Polk County,Polk,NC,H1,35.279279,-82.1696779
1008580,37151,Randolph County,Randolph,NC,H1,35.7103367,-79.8060032
1008581,37153,Richmond County,Richmond,NC,H1,35.0060484,-79.747778
1008582,37157,Rockingham County,Rockingham,NC,H1,36.3960128,-79.7749872
1008583,37159,Rowan County,Rowan,NC,H1,35.6394263,-80.5247503
1008584,37161,Rutherford County,Rutherford,NC,H1,35.4025956,-81.9198335
1008585,37165,Scotland County,Scotland,NC,H1,34.8408848,-79.4804292
1008586,37169,Stokes County,Stokes,NC,H1,36.4019104,-80.2396655
1008587,37171,Surry County,Surry,NC,H1,36.4146504,-80.6879245
1008588,37173,Swain County,Swain,NC,H1,35.4868151,-83.4927394
1008589,37175,Transylvania County,Transylvania,NC,H1,35.2021778,-82.7983001
1008590,37179,Union County,Union,NC,H1,34.9883575,-80.53074
1008591,37181,Vance County,Vance,NC,H1,36.3649169,-78.4079289
1008592,37183,Wake County,Wake,NC,H1,35.7903134,-78.6502801
1008593,37185,Warren County,Warren,NC,H1,36.3965103,-78.1067171
1008594,37189,Watauga County,Watauga,NC,H1,36.2311071,-81.6964252
1008595,37193,Wilkes County,Wilkes,NC,H1,36.2061903,-81.1629677
1008596,37195,Wilson County,Wilson,NC,H1,35.7051457,-77.918663
1008597,37197,Yadkin County,Yadkin,NC,H1,36.1605278,-80.6652341
1008598,37199,Yancey County,Yancey,NC,H1,35.898948,-82.307628
1023355,37137,Pamlico County,Pamlico,NC,H1,35.1510212,-76.6694598
1025822,37041,Chowan County,Chowan,NC,H1,36.1265615,-76.6021304
1025833,37113,Macon County,Macon,NC,H1,35.1504672,-83.4221767
1025834,37115,Madison County,Madison,NC,H1,35.8580358,-82.7057583
1025836,37111,McDowell County,McDowell,NC,H1,35.6816925,-82.0493124
1025841,37143,Perquimans County,Perquimans,NC,H1,36.1772229,-76.40762
1025844,37167,Stanly County,Stanly,NC,H1,35.3119228,-80.2509952
1026123,37049,Craven County,Craven,NC,H1,35.1176858,-77.0820038
1026124,37051,Cumberland County,Cumberland,NC,H1,35.0487306,-78.8276794
1026125,37053,Currituck County,Currituck,NC,H1,36.3672995,-75.9369492
1026126,37073,Gates County,Gates,NC,H1,36.4449436,-76.7005267
1026127,37091,Hertford County,Hertford,NC,H1,36.358636,-76.9807148
1026128,37191,Wayne County,Wayne,NC,H1,35.36396,-78.0039971
1026129,37141,Pender County,Pender,NC,H1,34.5150997,-77.8884356
1026130,37155,Robeson County,Robeson,NC,H1,34.6402461,-79.1038615
1026131,37163,Sampson County,Sampson,NC,H1,34.9915895,-78.3714377
1026132,37061,Duplin County,Duplin,NC,H1,34.9365348,-77.9330277
1026133,37055,Dare County,Dare,NC,H1,35.6649367,-75.6852333
1026327,37101,Johnston County,Johnston,NC,H1,35.5178225,-78.3657129
1026328,37117,Martin County,Martin,NC,H1,35.8432127,-77.1092332
1026329,37129,New Hanover County,New Hanover,NC,H1,34.1815553,-77.8655976
1026330,37139,Pasquotank County,Pasquotank,NC,H1,36.2650187,-76.2492414
1026331,37187,Washington County,Washington,NC,H1,35.8392646,-76.5693099
1026332,37177,Tyrrell County,Tyrrell,NC,H1,35.869407,-76.1704524
1026333,37013,Beaufort County,Beaufort,NC,H1,35.4869838,-76.8453144
1026334,37015,Bertie County,Bertie,NC,H1,36.0656272,-76.966714
1026335,37029,Camden County,Camden,NC,H1,36.3411216,-76.1609504
1026336,37017,Bladen County,Bladen,NC,H1,34.6146329,-78.5637
1026337,37031,Carteret County,Carteret,NC,H1,34.8612598,-76.5357431
1026338,37103,Jones County,Jones,NC,H1,35.0217248,-77.355168
1026339,37047,Columbus County,Columbus,NC,H1,34.2656451,-78.6550309
1026340,37019,Brunswick County,Brunswick,NC,H1,34.0388756,-78.2274072
1026341,37133,Onslow County,Onslow,NC,H1,34.7098364,-77.4157658
1034203,38083,Sheridan County,Sheridan,ND,H1,47.5754617,-100.3455551
1034204,38103,Wells County,Wells,ND,H1,47.5875229,-99.6609105
1034205,38065,Oliver County,Oliver,ND,H1,47.1152751,-101.3403083
1034206,38043,Kidder County,Kidder,ND,H1,46.9801018,-99.7800914
1034207,38059,Morton County,Morton,ND,H1,46.7160582,-101.2811188
1034208,38085,Sioux County,Sioux,ND,H1,46.1126539,-101.0403053
1034209,38041,Hettinger County,Hettinger,ND,H1,46.4325011,-102.4602804
1034210,38001,Adams County,Adams,ND,H1,46.0968206,-102.5284987
1034211,38051,McIntosh County,McIntosh,ND,H1,46.1117848,-99.4411922
1034212,38067,Pembina County,Pembina,ND,H1,48.7674846,-97.5518181
1034213,38095,Towner County,Towner,ND,H1,48.6856026,-99.2457719
1034214,38099,Walsh County,Walsh,ND,H1,48.369456,-97.7213241
1034215,38071,Ramsey County,Ramsey,ND,H1,48.268943,-98.720105
1034216,38005,Benson County,Benson,ND,H1,48.069397,-99.366013
1034217,38063,Nelson County,Nelson,ND,H1,47.9216812,-98.1920325
1034218,38035,Grand Forks County,Grand Forks,ND,H1,47.9219152,-97.4569239
1034219,38039,Griggs County,Griggs,ND,H1,47.4572804,-98.2369676
1034220,38091,Steele County,Steele,ND,H1,47.4561506,-97.7245909
1034221,38097,Traill County,Traill,ND,H1,47.4541906,-97.1615545
1034222,38027,Eddy County,Eddy,ND,H1,47.7176029,-98.9016467
1034223,38031,Foster County,Foster,ND,H1,47.4570775,-98.8829853
1034224,38093,Stutsman County,Stutsman,ND,H1,46.9792551,-98.9588381
1034225,38003,Barnes County,Barnes,ND,H1,46.9361065,-98.0715401
1034226,38017,Cass County,Cass,ND,H1,46.9329643,-97.248021
1034227,38009,Bottineau County,Bottineau,ND,H1,48.7922155,-100.8333319
1034228,38079,Rolette County,Rolette,ND,H1,48.7724977,-99.8409524
1034229,38075,Renville County,Renville,ND,H1,48.7189896,-101.6577647
1034230,38069,Pierce County,Pierce,ND,H1,48.2496101,-99.9718051
1034231,38101,Ward County,Ward,ND,H1,48.2217206,-101.5418058
1034232,38055,McLean County,McLean,ND,H1,47.6069509,-101.321804
1034233,38057,Mercer County,Mercer,ND,H1,47.3091803,-101.8314892
1034234,38023,Divide County,Divide,ND,H1,48.8149187,-103.4873624
1034235,38013,Burke County,Burke,ND,H1,48.7910184,-102.5181605
1035299,38053,McKenzie County,McKenzie,ND,H1,47.7401606,-103.3952782
1035300,38037,Grant County,Grant,ND,H1,46.3582866,-101.6396657
1035301,38073,Ransom County,Ransom,ND,H1,46.4561549,-97.6574002
1035302,38077,Richland County,Richland,ND,H1,46.2646373,-96.9482619
1035303,38081,Sargent County,Sargent,ND,H1,46.1079383,-97.6307327
1035304,38019,Cavalier County,Cavalier,ND,H1,48.7722867,-98.4648361
1035305,38049,McHenry County,McHenry,ND,H1,48.2345729,-100.6362892
1035306,38105,Williams County,Williams,ND,H1,48.3436752,-103.4801859
1035307,38061,Mountrail County,Mountrail,ND,H1,48.2013151,-102.3556856
1035614,38015,Burleigh County,Burleigh,ND,H1,46.9774521,-100.4687377
1035615,38029,Emmons County,Emmons,ND,H1,46.2850392,-100.2387408
1035616,38007,Billings County,Billings,ND,H1,47.0235841,-103.3763049
1035617,38033,Golden Valley County,Golden Valley,ND,H1,46.9401262,-103.8465657
1035618,38089,Stark County,Stark,ND,H1,46.8106826,-102.6550888
1035619,38011,Bowman County,Bowman,ND,H1,46.1125903,-103.5206711
1035620,38047,Logan County,Logan,ND,H1,46.4573446,-99.4774139
1035621,38045,LaMoure County,LaMoure,ND,H1,46.4569158,-98.5354613
1035622,38021,Dickey County,Dickey,ND,H1,46.1101251,-98.5047044
1035623,38025,Dunn County,Dunn,ND,H1,47.3567863,-102.6182055
1035896,38087,Slope County,Slope,ND,H1,46.4472371,-103.4598757
1065575,39013,Belmont County,Belmont,OH,H1,40.0158002,-80.9885425
1065576,39151,Stark County,Stark,OH,H1,40.8139188,-81.3656253
1074014,39001,Adams County,Adams,OH,H1,38.8455029,-83.4721494
1074015,39003,Allen County,Allen,OH,H1,40.7715207,-84.1057794
1074016,39005,Ashland County,Ashland,OH,H1,40.8460163,-82.2706833
1074017,39007,Ashtabula County,Ashtabula,OH,H1,41.8962289,-80.7589568
1074018,39009,Athens County,Athens,OH,H1,39.3338576,-82.045122
