Place GEOID,County GEOID
0550780,05015
0538110,05107
0523650,05137
0506430,05117
0537720,05077
0138248,01123
0103724,01005
0160984,01071
0853560,08123
1007270,10001
0656056,06079
1205150,12103
1221435,12021
1227325,12099
1233437,12086
1234125,12087
1235210,12063
1235898,12099
1243075,12021
1232775,12069
1223650,12033
1224078,12033
1224395,12033
1224410,12033
1224425,12087
1254500,12086
1304196,13245
1344340,13285
1335800,13179
1321017,13053
1322472,13261
1326224,13125
1332524,13239
1677060,16055
1608700,16001
1715339,17055
1728820,17191
1731992,17071
1732616,17055
1740675,17175
1752948,17131
1775874,17097
1777083,17099
1730679,17153
1775458,17009
1742184,17099
1703114000,17031
1704314000,17043
1884788,18159
1872746,18171
1939630,19079
1901135,19109
1905590,19011
1907030,19051
1911080,19027
1912000,19113
1912315,19007
1912720,19117
1912765,19067
1914025,19033
1914430,19045
1917265,19175
1918075,19091
1922395,19061
1924465,19083
1926445,19101
1927165,19065
1928515,19187
1933105,19157
1933780,19071
1933960,19069
1934500,19165
1937560,19091
1938280,19181
1938595,19103
1939450,19073
1940845,19111
1942465,19025
1942960,19053
1944535,19053
1948720,19129
1948945,19027
1950160,19033
1954480,19159
1954705,19087
1959115,19133
1959835,19039
1959925,19123
1968520,19151
1972210,19069
1972480,19011
1919373335,19193
1914973335,19149
1973425,19021
1974280,19041
1975630,19021
1976260,19017
1976260,19065
1907176935,19071
1912976935,19129
1981210,19011
1982425,19013
1982875,19017
1983145,19079
1984765,19065
1986520,19121
2027050,20063
2035575,20187
2040800,20105
2005400,20173
2004100125,20041
2007701975,20077
2003502300,20035
2000502900,20005
2001503300,20015
2002104625,20021
2017305337,20173
2015705600,20157
2012305775,20123
2020907975,20209
2010307975,20103
2009107975,20091
2003109400,20031
2019109900,20191
2012510375,20125
2013312500,20133
2012512925,20125
2009912950,20099
2002713625,20027
2012514600,20125
2019314650,20193
2002115075,20021
2002915200,20029
2012715925,20127
2009117850,20091
2010317850,20103
2005718250,20057
2009119825,20091
2020920000,20209
2001520075,20015
2000920425,20009
2005120450,20051
2005320500,20053
2011121275,20111
2007321800,20073
2009122700,20091
2011523600,20115
2001124000,20011
2020524575,20205
2003724850,20037
2002125100,20021
2005525325,20055
2009125425,20091
2000325925,20003
2003726300,20037
2018126875,20181
2000928300,20009
2028675,20097
2007929600,20079
2007730175,20077
2030825,20097
2005131100,20051
2012731400,20127
2004131400,20041
2001331675,20013
2011532275,20115
2000932550,20009
2008532825,20085
2001333200,20013
2000133450,20001
2015533625,20155
2012533875,20125
2000134300,20001
2006135750,20061
2020936000,20209
2009536950,20095
2004737075,20047
2000137725,20001
2009137975,20091
2020937975,20209
2010338650,20103
2014538700,20145
2004538900,20045
2010339000,20103
2009139075,20091
2009139350,20091
2017539825,20175
2011341375,20113
2012142875,20121
