GNIS ID,GEOID,Name,State,FIPS Class,County GEOID,Latitude,Longitude
212329,0900324800,Town of East Windsor,CT,T1,09003,41.9048954,-72.5672056
212330,0901325360,Town of Ellington,CT,T1,09013,41.9151529,-72.448466
212332,0900325990,Town of Enfield,CT,T1,09003,41.9840305,-72.5547385
212346,0901369220,Town of Somers,CT,T1,09013,41.9949843,-72.4530838
212349,0901372090,Town of Stafford,CT,T1,09013,41.9875408,-72.3122991
212351,0900374540,Town of Suffield,CT,T1,09003,41.9945144,-72.6789927
212354,0900387000,Town of Windsor,CT,T1,09003,41.8710488,-72.6736145
212355,0900387070,Town of Windsor Locks,CT,T1,09003,41.926711,-72.6543945
212667,0901376290,Town of Tolland,CT,T1,09013,41.8785971,-72.3648099
213382,0901301080,Town of Andover,CT,T1,09013,41.7331195,-72.3760493
213383,0900901220,Town of Ansonia,CT,T5,09009,41.3442507,-73.0689289
213384,0901501430,Town of Ashford,CT,T1,09015,41.8910913,-72.1710357
213385,0900302060,Town of Avon,CT,T1,09003,41.790673,-72.8538402
213386,0900502760,Town of Barkhamsted,CT,T1,09005,41.931554,-72.9727668
213387,0900903250,Town of Beacon Falls,CT,T1,09009,41.4390242,-73.0567625
213388,0900304300,Town of Berlin,CT,T1,09003,41.6113851,-72.7758191
213389,0900904580,Town of Bethany,CT,T1,09009,41.4260554,-72.993082
213390,0900104720,Town of Bethel,CT,T1,09001,41.3747198,-73.3928395
213391,0900504930,Town of Bethlehem,CT,T1,09005,41.6374841,-73.2113207
213392,0900305910,Town of Bloomfield,CT,T1,09003,41.8425788,-72.7406216
213393,0901306260,Town of Bolton,CT,T1,09013,41.7664908,-72.4390096
213394,0901106820,Town of Bozrah,CT,T1,09011,41.5453396,-72.1748869
213395,0900907310,Town of Branford,CT,T1,09009,41.2792791,-72.7965133
213396,0900108070,Town of Bridgeport,CT,T5,09001,41.1872277,-73.1954948
213397,0900508210,Town of Bridgewater,CT,T1,09005,41.5208869,-73.3601472
213398,0900308490,Town of Bristol,CT,T5,09003,41.681152,-72.9406964
213399,0900108980,Town of Brookfield,CT,T1,09001,41.4674209,-73.3923028
213400,0901509190,Town of Brooklyn,CT,T1,09015,41.7869744,-71.9543533
213401,0900310100,Town of Burlington,CT,T1,09003,41.7597648,-72.9589634
213402,0900510940,Town of Canaan,CT,T1,09005,41.959793,-73.3101651
213403,0901512130,Town of Canterbury,CT,T1,09015,41.6978914,-71.9997717
213404,0900312270,Town of Canton,CT,T1,09003,41.8600156,-72.9083026
213405,0901513810,Town of Chaplin,CT,T1,09015,41.7931475,-72.1276861
213406,0900914160,Town of Cheshire,CT,T1,09009,41.5113456,-72.9035814
213407,0900714300,Town of Chester,CT,T1,09007,41.4059384,-72.4831943
213408,0900715350,Town of Clinton,CT,T1,09007,41.2936396,-72.5278477
213409,0901115910,Town of Colchester,CT,T1,09011,41.5620935,-72.3475247
213410,0900516050,Town of Colebrook,CT,T1,09005,42.0015281,-73.0808538
213411,0901316400,Town of Columbia,CT,T1,09013,41.6938623,-72.3072303
213412,0900517240,Town of Cornwall,CT,T1,09005,41.847295,-73.3299468
213413,0901317800,Town of Coventry,CT,T1,09013,41.7828376,-72.3394156
213414,0900718080,Town of Cromwell,CT,T1,09007,41.6121937,-72.6637979
213415,0900118500,Town of Danbury,CT,T5,09001,41.4015631,-73.4710027
213416,0900118850,Town of Darien,CT,T1,09001,41.051993,-73.479097
213417,0900719130,Town of Deep River,CT,T1,09007,41.368936,-72.4622926
213418,0900919550,Town of Derby,CT,T5,09009,41.3265067,-73.0833063
213419,0900720810,Town of Durham,CT,T1,09007,41.4622245,-72.6828815
213420,0901521860,Town of Eastford,CT,T1,09015,41.8914247,-72.0920166
213421,0900322070,Town of East Granby,CT,T1,09003,41.9423841,-72.7409653
213423,0900722490,Town of East Hampton,CT,T1,09007,41.5695453,-72.5074148
213424,0900322630,Town of East Hartford,CT,T1,09003,41.7634411,-72.6152271
213425,0900922910,Town of East Haven,CT,T1,09009,41.2953284,-72.8590044
213426,0901123400,Town of East Lyme,CT,T1,09011,41.3555485,-72.2315944
213427,0900123890,Town of Easton,CT,T1,09001,41.2649352,-73.3001074
213428,0900726270,Town of Essex,CT,T1,09007,41.3499547,-72.4145426
213429,0900126620,Town of Fairfield,CT,T1,09001,41.1761951,-73.2731524
213430,0900327600,Town of Farmington,CT,T1,09003,41.7287838,-72.8406193
213431,0901129910,Town of Franklin,CT,T1,09011,41.615848,-72.1431224
213432,0900331240,Town of Glastonbury,CT,T1,09003,41.692138,-72.5472287
213433,0900532290,Town of Goshen,CT,T1,09005,41.8500635,-73.2335833
213434,0900332640,Town of Granby,CT,T1,09003,41.9694872,-72.8345933
213435,0900133620,Town of Greenwich,CT,T1,09001,41.0463124,-73.6273892
213436,0901133900,Town of Griswold,CT,T1,09011,41.585229,-71.922659
213437,0901134250,Town of Groton,CT,T1,09011,41.3473522,-72.0302416
213438,0900934950,Town of Guilford,CT,T1,09009,41.3315883,-72.7004785
213439,0900735230,Town of Haddam,CT,T1,09007,41.4676538,-72.5458483
213440,0900935650,Town of Hamden,CT,T1,09009,41.3960639,-72.9215202
213441,0901536000,Town of Hampton,CT,T1,09015,41.7840586,-72.0583861
213442,0900337070,Town of Hartford,CT,T5,09003,41.7660707,-72.6834012
213443,0900337140,Town of Hartland,CT,T1,09003,42.0043487,-72.9485862
213444,0900537280,Town of Harwinton,CT,T1,09005,41.755051,-73.0582683
213445,0901337910,Town of Hebron,CT,T1,09013,41.6593502,-72.3904801
213446,0900540290,Town of Kent,CT,T1,09005,41.729912,-73.4539827
213447,0901540500,Town of Killingly,CT,T1,09015,41.830999,-71.8499073
213448,0900740710,Town of Killingworth,CT,T1,09007,41.3792151,-72.578452
213449,0901142390,Town of Lebanon,CT,T1,09011,41.6312816,-72.2401751
213450,0901142600,Town of Ledyard,CT,T1,09011,41.4400307,-72.0166945
213451,0901143230,Town of Lisbon,CT,T1,09011,41.601372,-72.0141282
213452,0900543370,Town of Litchfield,CT,T1,09005,41.7413262,-73.1931368
213453,0901144210,Town of Lyme,CT,T1,09011,41.3965096,-72.343804
213454,0900944560,Town of Madison,CT,T1,09009,41.3400071,-72.6279893
213455,0900344700,Town of Manchester,CT,T1,09003,41.775339,-72.5242105
213456,0901344910,Town of Mansfield,CT,T1,09013,41.7892016,-72.2286935
213457,0900345820,Town of Marlborough,CT,T1,09003,41.6330659,-72.454694
213458,0900946520,Town of Meriden,CT,T5,09009,41.536746,-72.794344
213459,0900946940,Town of Middlebury,CT,T1,09009,41.527073,-73.1228261
213460,0900747080,Town of Middlefield,CT,T1,09007,41.5175435,-72.7148854
213461,0900747360,Town of Middletown,CT,T5,09007,41.5476359,-72.6548766
213462,0900947535,Town of Milford,CT,T5,09009,41.2237784,-73.0589114
213463,0900148620,Town of Monroe,CT,T1,09001,41.3379117,-73.225013
213464,0901148900,Town of Montville,CT,T1,09011,41.4635756,-72.156992
213465,0900549460,Town of Morris,CT,T1,09005,41.6897931,-73.2078169
213466,0900949950,Town of Naugatuck,CT,T5,09009,41.4890296,-73.0519246
213467,0900350440,Town of New Britain,CT,T5,09003,41.6758095,-72.7862263
213468,0900150580,Town of New Canaan,CT,T1,09001,41.1592102,-73.4991576
213469,0900150860,Town of New Fairfield,CT,T1,09001,41.4880031,-73.4882584
213470,0900551350,Town of New Hartford,CT,T1,09005,41.8442246,-73.0054678
213471,0900952070,Town of New Haven,CT,T5,09009,41.3104108,-72.924252
213472,0900352140,Town of Newington,CT,T1,09003,41.6869986,-72.7308391
213473,0901152350,Town of New London,CT,T5,09011,41.3328551,-72.0962745
213474,0900552630,Town of New Milford,CT,T1,09005,41.6042396,-73.421299
