"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"0500000US01001","Autauga County, Alabama","24170","null","70","null",
"0500000US01003","Baldwin County, Alabama","121763","null","201","null",
"0500000US01005","Barbour County, Alabama","11667","null","141","null",
"0500000US01007","Bibb County, Alabama","9013","null","86","null",
"0500000US01009","Blount County, Alabama","24527","null","93","null",
"0500000US01011","Bullock County, Alabama","4522","null","60","null",
"0500000US01013","Butler County, Alabama","9842","null","75","null",
"0500000US01015","Calhoun County, Alabama","53112","null","206","null",
"0500000US01017","Chambers County, Alabama","16433","null","80","null",
"0500000US01019","Cherokee County, Alabama","14734","null","46","null",
"0500000US01021","Chilton County, Alabama","19407","null","86","null",
"0500000US01023","Choctaw County, Alabama","7132","null","38","null",
"0500000US01025","Clarke County, Alabama","11788","null","58","null",
"0500000US01027","Clay County, Alabama","7009","null","34","null",
"0500000US01029","Cleburne County, Alabama","6792","null","54","null",
"0500000US01031","Coffee County, Alabama","23934","null","73","null",
"0500000US01033","Colbert County, Alabama","27496","null","67","null",
"0500000US01035","Conecuh County, Alabama","6469","null","16","null",
"0500000US01037","Coosa County, Alabama","6064","null","42","null",
"0500000US01039","Covington County, Alabama","18627","null","106","null",
"0500000US01041","Crenshaw County, Alabama","6544","null","27","null",
"0500000US01043","Cullman County, Alabama","38859","null","91","null",
"0500000US01045","Dale County, Alabama","22790","null","104","null",
"0500000US01047","Dallas County, Alabama","19037","null","82","null",
"0500000US01049","DeKalb County, Alabama","30647","null","135","null",
"0500000US01051","Elmore County, Alabama","36425","null","238","null",
"0500000US01053","Escambia County, Alabama","16672","null","381","null",
"0500000US01055","Etowah County, Alabama","47329","null","117","null",
"0500000US01057","Fayette County, Alabama","7836","null","41","null",
"0500000US01059","Franklin County, Alabama","13930","null","50","null",
"0500000US01061","Geneva County, Alabama","12495","null","55","null",
"0500000US01063","Greene County, Alabama","4303","null","20","null",
"0500000US01065","Hale County, Alabama","7422","null","41","null",
"0500000US01067","Henry County, Alabama","9057","null","41","null",
"0500000US01069","Houston County, Alabama","48940","null","135","null",
"0500000US01071","Jackson County, Alabama","24666","null","77","null",
"0500000US01073","Jefferson County, Alabama","307607","null","308","null",
"0500000US01075","Lamar County, Alabama","7104","null","29","null",
"0500000US01077","Lauderdale County, Alabama","44528","null","132","null",
"0500000US01079","Lawrence County, Alabama","15220","null","54","null",
"0500000US01081","Lee County, Alabama","73557","null","234","null",
"0500000US01083","Limestone County, Alabama","41768","null","111","null",
"0500000US01085","Lowndes County, Alabama","4833","null","57","null",
"0500000US01087","Macon County, Alabama","9684","null","191","null",
"0500000US01089","Madison County, Alabama","167859","null","492","null",
"0500000US01091","Marengo County, Alabama","9850","null","118","null",
"0500000US01093","Marion County, Alabama","14131","null","74","null",
"0500000US01095","Marshall County, Alabama","41129","null","116","null",
"0500000US01097","Mobile County, Alabama","184218","null","212","null",
"0500000US01099","Monroe County, Alabama","10275","null","45","null",
"0500000US01101","Montgomery County, Alabama","105139","null","289","null",
"0500000US01103","Morgan County, Alabama","53086","null","125","null",
"0500000US01105","Perry County, Alabama","4022","null","70","null",
"0500000US01107","Pickens County, Alabama","8738","null","161","null",
"0500000US01109","Pike County, Alabama","15958","null","128","null",
"0500000US01111","Randolph County, Alabama","12356","null","74","null",
"0500000US01113","Russell County, Alabama","27219","null","91","null",
"0500000US01115","St. Clair County, Alabama","37651","null","123","null",
"0500000US01117","Shelby County, Alabama","88480","null","165","null",
"0500000US01119","Sumter County, Alabama","6340","null","124","null",
"0500000US01121","Talladega County, Alabama","37905","null","188","null",
"0500000US01123","Tallapoosa County, Alabama","22603","null","85","null",
"0500000US01125","Tuscaloosa County, Alabama","99540","null","265","null",
"0500000US01127","Walker County, Alabama","30093","null","119","null",
"0500000US01129","Washington County, Alabama","7793","null","207","null",
"0500000US01131","Wilcox County, Alabama","5304","null","56","null",
"0500000US01133","Winston County, Alabama","13083","null","68","null",
"0500000US02013","Aleutians East Borough, Alaska","1113","null","116","null",
"0500000US02016","Aleutians West Census Area, Alaska","1456","null","209","null",
"0500000US02020","Anchorage Municipality, Alaska","118055","null","197","null",
"0500000US02050","Bethel Census Area, Alaska","5992","null","126","null",
"0500000US02060","Bristol Bay Borough, Alaska","922","null","58","null",
"0500000US02063","Chugach Census Area, Alaska","3626","null","137","null",
"0500000US02066","Copper River Census Area, Alaska","2676","null","134","null",
"0500000US02068","Denali Borough, Alaska","1415","null","308","null",
"0500000US02070","Dillingham Census Area, Alaska","2406","null","69","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","42870","null","166","null",
"0500000US02100","Haines Borough, Alaska","1450","null","138","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1699","null","116","null",
"0500000US02110","Juneau City and Borough, Alaska","13987","null","59","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","32406","null","143","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6564","null","63","null",
"0500000US02150","Kodiak Island Borough, Alaska","5750","null","37","null",
"0500000US02158","Kusilvak Census Area, Alaska","2335","null","81","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1398","null","163","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","49810","null","149","null",
"0500000US02180","Nome Census Area, Alaska","4092","null","113","null",
"0500000US02185","North Slope Borough, Alaska","2622","null","140","null",
"0500000US02188","Northwest Arctic Borough, Alaska","2728","null","61","null",
"0500000US02195","Petersburg Borough, Alaska","1749","null","146","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3267","null","75","null",
"0500000US02220","Sitka City and Borough, Alaska","4143","null","60","null",
"0500000US02230","Skagway Municipality, Alaska","618","null","59","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3561","null","51","null",
"0500000US02275","Wrangell City and Borough, Alaska","1294","null","76","null",
"0500000US02282","Yakutat City and Borough, Alaska","401","null","54","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4029","null","57","null",
"0500000US04001","Apache County, Arizona","29192","null","134","null",
"0500000US04003","Cochise County, Arizona","58881","null","333","null",
"0500000US04005","Coconino County, Arizona","68446","null","451","null",
"0500000US04007","Gila County, Arizona","32452","null","118","null",
"0500000US04009","Graham County, Arizona","13622","null","167","null",
"0500000US04011","Greenlee County, Arizona","4394","null","32","null",
"0500000US04012","La Paz County, Arizona","13797","null","63","null",
"0500000US04013","Maricopa County, Arizona","1794248","null","1085","null",
"0500000US04015","Mohave County, Arizona","116893","null","185","null",
