"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0500000US01001","Autauga County, Alabama","24457","41",
"0500000US01003","Baldwin County, Alabama","125113","85",
"0500000US01005","Barbour County, Alabama","11673","52",
"0500000US01007","Bibb County, Alabama","9046","97",
"0500000US01009","Blount County, Alabama","24677","50",
"0500000US01011","Bullock County, Alabama","4541","31",
"0500000US01013","Butler County, Alabama","9835","27",
"0500000US01015","Calhoun County, Alabama","53167","70",
"0500000US01017","Chambers County, Alabama","16427","29",
"0500000US01019","Cherokee County, Alabama","14687","43",
"0500000US01021","Chilton County, Alabama","19546","27",
"0500000US01023","Choctaw County, Alabama","7138","23",
"0500000US01025","Clarke County, Alabama","11733","36",
"0500000US01027","Clay County, Alabama","7040","22",
"0500000US01029","Cleburne County, Alabama","6818","23",
"0500000US01031","Coffee County, Alabama","24155","58",
"0500000US01033","Colbert County, Alabama","27709","53",
"0500000US01035","Conecuh County, Alabama","6451","24",
"0500000US01037","Coosa County, Alabama","6045","19",
"0500000US01039","Covington County, Alabama","18644","40",
"0500000US01041","Crenshaw County, Alabama","6553","29",
"0500000US01043","Cullman County, Alabama","39182","74",
"0500000US01045","Dale County, Alabama","22829","54",
"0500000US01047","Dallas County, Alabama","18992","38",
"0500000US01049","DeKalb County, Alabama","30716","44",
"0500000US01051","Elmore County, Alabama","36787","71",
"0500000US01053","Escambia County, Alabama","16715","53",
"0500000US01055","Etowah County, Alabama","47412","42",
"0500000US01057","Fayette County, Alabama","7816","27",
"0500000US01059","Franklin County, Alabama","13940","29",
"0500000US01061","Geneva County, Alabama","12494","50",
"0500000US01063","Greene County, Alabama","4271","21",
"0500000US01065","Hale County, Alabama","7464","20",
"0500000US01067","Henry County, Alabama","9110","23",
"0500000US01069","Houston County, Alabama","49339","92",
"0500000US01071","Jackson County, Alabama","24706","54",
"0500000US01073","Jefferson County, Alabama","308428","156",
"0500000US01075","Lamar County, Alabama","7104","20",
"0500000US01077","Lauderdale County, Alabama","44705","61",
"0500000US01079","Lawrence County, Alabama","15270","32",
"0500000US01081","Lee County, Alabama","75473","60",
"0500000US01083","Limestone County, Alabama","42616","72",
"0500000US01085","Lowndes County, Alabama","4823","18",
"0500000US01087","Macon County, Alabama","9662","62",
"0500000US01089","Madison County, Alabama","171313","193",
"0500000US01091","Marengo County, Alabama","9834","30",
"0500000US01093","Marion County, Alabama","14143","43",
"0500000US01095","Marshall County, Alabama","41328","116",
"0500000US01097","Mobile County, Alabama","184845","113",
"0500000US01099","Monroe County, Alabama","10214","23",
"0500000US01101","Montgomery County, Alabama","105488","74",
"0500000US01103","Morgan County, Alabama","53324","70",
"0500000US01105","Perry County, Alabama","3985","24",
"0500000US01107","Pickens County, Alabama","8714","52",
"0500000US01109","Pike County, Alabama","16049","50",
"0500000US01111","Randolph County, Alabama","12412","26",
"0500000US01113","Russell County, Alabama","27382","69",
"0500000US01115","St. Clair County, Alabama","38133","63",
"0500000US01117","Shelby County, Alabama","89612","94",
"0500000US01119","Sumter County, Alabama","6329","41",
"0500000US01121","Talladega County, Alabama","38088","77",
"0500000US01123","Tallapoosa County, Alabama","22777","50",
"0500000US01125","Tuscaloosa County, Alabama","101330","122",
"0500000US01127","Walker County, Alabama","30127","61",
"0500000US01129","Washington County, Alabama","7779","67",
"0500000US01131","Wilcox County, Alabama","5314","39",
"0500000US01133","Winston County, Alabama","13091","26",
"0500000US02013","Aleutians East Borough, Alaska","1089","86",
"0500000US02016","Aleutians West Census Area, Alaska","1403","123",
"0500000US02020","Anchorage Municipality, Alaska","118938","166",
"0500000US02050","Bethel Census Area, Alaska","6003","51",
"0500000US02060","Bristol Bay Borough, Alaska","875","40",
"0500000US02063","Chugach Census Area, Alaska","3760","109",
"0500000US02066","Copper River Census Area, Alaska","2564","105",
"0500000US02068","Denali Borough, Alaska","1385","83",
"0500000US02070","Dillingham Census Area, Alaska","2417","756",
"0500000US02090","Fairbanks North Star Borough, Alaska","42772","57",
"0500000US02100","Haines Borough, Alaska","1410","124",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1708","83",
"0500000US02110","Juneau City and Borough, Alaska","14073","40",
"0500000US02122","Kenai Peninsula Borough, Alaska","32567","73",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6615","30",
"0500000US02150","Kodiak Island Borough, Alaska","5798","25",
"0500000US02158","Kusilvak Census Area, Alaska","2335","20",
"0500000US02164","Lake and Peninsula Borough, Alaska","1380","57",
"0500000US02170","Matanuska-Susitna Borough, Alaska","50491","85",
"0500000US02180","Nome Census Area, Alaska","4116","68",
"0500000US02185","North Slope Borough, Alaska","2625","106",
"0500000US02188","Northwest Arctic Borough, Alaska","2726","32",
"0500000US02195","Petersburg Borough, Alaska","1792","109",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3252","66",
"0500000US02220","Sitka City and Borough, Alaska","4138","49",
"0500000US02230","Skagway Municipality, Alaska","631","64",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3537","22",
"0500000US02275","Wrangell City and Borough, Alaska","1350","77",
"0500000US02282","Yakutat City and Borough, Alaska","420","50",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4018","28",
"0500000US04001","Apache County, Arizona","29032","57",
"0500000US04003","Cochise County, Arizona","59056","90",
"0500000US04005","Coconino County, Arizona","69233","144",
"0500000US04007","Gila County, Arizona","32519","43",
"0500000US04009","Graham County, Arizona","13755","67",
"0500000US04011","Greenlee County, Arizona","4409","20",
"0500000US04012","La Paz County, Arizona","13692","85",
"0500000US04013","Maricopa County, Arizona","1821463","483",
"0500000US04015","Mohave County, Arizona","118073","106",
"0500000US04017","Navajo County, Arizona","56556","82",
"0500000US04019","Pima County, Arizona","471058","215",
"0500000US04021","Pinal County, Arizona","175474","161",
"0500000US04023","Santa Cruz County, Arizona","18811","27",
"0500000US04025","Yavapai County, Arizona","121829","91",
"0500000US04027","Yuma County, Arizona","92808","117",
"0500000US05001","Arkansas County, Arkansas","8717","36",
"0500000US05003","Ashley County, Arkansas","9432","29",
"0500000US05005","Baxter County, Arkansas","22747","87",
"0500000US05007","Benton County, Arkansas","114425","88",
"0500000US05009","Boone County, Arkansas","17354","33",
"0500000US05011","Bradley County, Arkansas","5112","23",
"0500000US05013","Calhoun County, Arkansas","2476","17",
"0500000US05015","Carroll County, Arkansas","13858","31",
"0500000US05017","Chicot County, Arkansas","5131","46",
"0500000US05019","Clark County, Arkansas","10039","62",
"0500000US05021","Clay County, Arkansas","7514","31",
"0500000US05023","Cleburne County, Arkansas","15619","30",
"0500000US05025","Cleveland County, Arkansas","3604","15",
"0500000US05027","Columbia County, Arkansas","11051","161",
"0500000US05029","Conway County, Arkansas","9659","39",
"0500000US05031","Craighead County, Arkansas","47084","87",
"0500000US05033","Crawford County, Arkansas","25453","39",
"0500000US05035","Crittenden County, Arkansas","21335","76",
"0500000US05037","Cross County, Arkansas","7618","21",
"0500000US05039","Dallas County, Arkansas","3511","29",
"0500000US05041","Desha County, Arkansas","5828","17",
"0500000US05043","Drew County, Arkansas","8289","18",
"0500000US05045","Faulkner County, Arkansas","52070","63",
"0500000US05047","Franklin County, Arkansas","7750","25",
"0500000US05049","Fulton County, Arkansas","6247","47",
"0500000US05051","Garland County, Arkansas","52383","100",
"0500000US05053","Grant County, Arkansas","7874","22",
"0500000US05055","Greene County, Arkansas","19235","55",
"0500000US05057","Hempstead County, Arkansas","9663","27",
"0500000US05059","Hot Spring County, Arkansas","14247","81",
"0500000US05061","Howard County, Arkansas","6168","30",
"0500000US05063","Independence County, Arkansas","16689","30",
"0500000US05065","Izard County, Arkansas","6764","26",
"0500000US05067","Jackson County, Arkansas","7118","57",
"0500000US05069","Jefferson County, Arkansas","30767","130",
"0500000US05071","Johnson County, Arkansas","11503","34",
"0500000US05073","Lafayette County, Arkansas","3948","20",
"0500000US05075","Lawrence County, Arkansas","7556","28",
"0500000US05077","Lee County, Arkansas","3736","35",
"0500000US05079","Lincoln County, Arkansas","4400","120",
"0500000US05081","Little River County, Arkansas","6077","20",
"0500000US05083","Logan County, Arkansas","9779","42",
"0500000US05085","Lonoke County, Arkansas","30238","41",
"0500000US05087","Madison County, Arkansas","7666","53",
"0500000US05089","Marion County, Arkansas","9515","27",
"0500000US05091","Miller County, Arkansas","19790","46",
"0500000US05093","Mississippi County, Arkansas","19194","73",
"0500000US05095","Monroe County, Arkansas","3864","16",
"0500000US05097","Montgomery County, Arkansas","5473","20",
"0500000US05099","Nevada County, Arkansas","4323","15",
"0500000US05101","Newton County, Arkansas","4124","16",
"0500000US05103","Ouachita County, Arkansas","11925","32",
"0500000US05105","Perry County, Arkansas","4946","22",
"0500000US05107","Phillips County, Arkansas","8434","19",
"0500000US05109","Pike County, Arkansas","5319","22",
"0500000US05111","Poinsett County, Arkansas","10415","46",
"0500000US05113","Polk County, Arkansas","9652","29",
"0500000US05115","Pope County, Arkansas","26940","32",
"0500000US05117","Prairie County, Arkansas","4105","17",
