"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"1600000US0100100","Abanda CDP, Alabama","231","null","199","null",
"1600000US0100124","Abbeville city, Alabama","2231","null","318","null",
"1600000US0100460","Adamsville city, Alabama","4381","null","33","null",
"1600000US0100484","Addison town, Alabama","697","null","161","null",
"1600000US0100676","Akron town, Alabama","385","null","251","null",
"1600000US0100820","Alabaster city, Alabama","33133","null","48","null",
"1600000US0100988","Albertville city, Alabama","22268","null","30","null",
"1600000US0101132","Alexander City city, Alabama","14765","null","43","null",
"1600000US0101180","Alexandria CDP, Alabama","4092","null","664","null",
"1600000US0101228","Aliceville city, Alabama","2244","null","448","null",
"1600000US0101396","Allgood town, Alabama","867","null","272","null",
"1600000US0101660","Altoona town, Alabama","1444","null","399","null",
"1600000US0101708","Andalusia city, Alabama","8764","null","41","null",
"1600000US0101756","Anderson town, Alabama","255","null","96","null",
"1600000US0101852","Anniston city, Alabama","21455","null","45","null",
"1600000US0102116","Arab city, Alabama","8462","null","134","null",
"1600000US0102260","Ardmore town, Alabama","1276","null","283","null",
"1600000US0102320","Argo town, Alabama","4411","null","160","null",
"1600000US0102428","Ariton town, Alabama","660","null","194","null",
"1600000US0102500","Arley town, Alabama","625","null","240","null",
"1600000US0102836","Ashford town, Alabama","2476","null","235","null",
"1600000US0102860","Ashland town, Alabama","1741","null","390","null",
"1600000US0102908","Ashville city, Alabama","2096","null","452","null",
"1600000US0102956","Athens city, Alabama","25213","null","34","null",
"1600000US0103004","Atmore city, Alabama","8734","null","32","null",
"1600000US0103028","Attalla city, Alabama","5872","null","18","null",
"1600000US0103076","Auburn city, Alabama","74637","null","44","null",
"1600000US0103220","Autaugaville town, Alabama","999","null","288","null",
"1600000US0103364","Avon town, Alabama","490","null","107","null",
"1600000US0103508","Axis CDP, Alabama","92","null","78","null",
"1600000US0103556","Babbie town, Alabama","506","null","126","null",
"1600000US0103676","Baileyton town, Alabama","1114","null","374","null",
"1600000US0103724","Bakerhill town, Alabama","216","null","106","null",
"1600000US0103820","Ballplay CDP, Alabama","1391","null","349","null",
