CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
220	10300	Adrian, MI Micro Area	2	1941526154	30497573	749.627	11.775	41.896022	-84.074356                                                                                                               
184	10420	Akron, OH Metro Area	1	2331502236	62132648	900.198	23.99	41.146639	-81.35011                                                                                                                  
440	10540	Albany-Lebanon, OR Metro Area	1	5929198837	50052280	2289.277	19.325	44.488898	-122.537208                                                                                                     
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282538753	172029594	2811.804	66.421	42.78792	-73.942348                                                                                             
172	10620	Albemarle, NC Micro Area	2	1023250043	25187035	395.079	9.725	35.310449	-80.254374                                                                                                             
106	10740	Albuquerque, NM Metro Area	1	24043885303	31811671	9283.396	12.283	35.123496	-106.458392                                                                                                       
388	10760	Alexander City, AL Micro Area	2	3541644965	168782127	1367.437	65.167	32.900486	-86.002932                                                                                                     
204	10860	Alice, TX Micro Area	2	6885880043	14201639	2658.653	5.483	27.697743	-98.390881                                                                                                                
394	10940	Alma, MI Micro Area	2	1472098896	8369164	568.381	3.231	43.292326	-84.60469                                                                                                                    
107	11020	Altoona, PA Metro Area	1	1360458062	3294803	525.276	1.272	40.498683	-78.309597                                                                                                                
108	11100	Amarillo, TX Metro Area	1	13340979939	84943239	5150.981	32.797	35.247999	-101.90867                                                                                                           
218	11180	Ames, IA Metro Area	1	2960433300	11006754	1143.03	4.25	42.036128	-93.698008                                                                                                                   
104	11220	Amsterdam, NY Micro Area	2	1044051406	18614750	403.111	7.187	42.900891	-74.435357                                                                                                             
258	11420	Angola, IN Micro Area	2	799737112	35446879	308.78	13.686	41.643467	-85.002405                                                                                                                 
220	11460	Ann Arbor, MI Metro Area	1	1828539718	42523319	706.003	16.418	42.252217	-83.843423                                                                                                            
118	11540	Appleton, WI Metro Area	1	2475529498	222422628	955.807	85.878	44.290603	-88.372326                                                                                                            
412	11580	Arcadia, FL Micro Area	2	1649031791	6243548	636.695	2.411	27.190581	-81.806253                                                                                                                
490	11640	Arecibo, PR Metro Area	1	613186622	231848340	236.753	89.517	18.439224	-66.759981                                                                                                              
120	11700	Asheville, NC Metro Area	1	5264465453	21752837	2032.622	8.399	35.595669	-82.681615                                                                                                            
360	11740	Ashland, OH Micro Area	2	1095530837	9966470	422.987	3.848	40.843273	-82.270127                                                                                                                
184	11780	Ashtabula, OH Micro Area	2	1818345034	1724513202	702.067	665.838	41.906637	-80.745592                                                                                                         
312	11860	Atchison, KS Micro Area	2	1116736555	6851102	431.174	2.645	39.532544	-95.313397                                                                                                               
174	11940	Athens, TN Micro Area	2	1113997311	5340568	430.117	2.062	35.424472	-84.619949                                                                                                                 
206	11980	Athens, TX Micro Area	2	2263082389	193353703	873.781	74.654	32.211633	-95.853418                                                                                                              
122	12020	Athens-Clarke County, GA Metro Area	1	2654607902	26109459	1024.95	10.081	33.943984	-83.213897                                                                                                 
122	12060	Atlanta-Sandy Springs-Alpharetta, GA Metro Area	1	22495873026	386782308	8685.706	149.337	33.693728	-84.399911                                                                                 
428	12100	Atlantic City-Hammonton, NJ Metro Area	1	1438775279	301270067	555.514	116.321	39.469355	-74.633759                                                                                            
426	12120	Atmore, AL Micro Area	2	2448595161	20024887	945.408	7.732	31.122287	-87.16841                                                                                                                 
258	12140	Auburn, IN Micro Area	2	939731961	2657419	362.833	1.026	41.39676	-85.002697                                                                                                                   
532	12180	Auburn, NY Micro Area	2	1791201989	445696708	691.587	172.084	43.008546	-76.574587                                                                                                             
194	12220	Auburn-Opelika, AL Metro Area	1	1573526818	21516747	607.542	8.308	32.604064	-85.353048                                                                                                        
462	12380	Austin, MN Micro Area	2	1842187921	617235	711.273	0.238	43.666249	-92.759514                                                                                                                  
548	12580	Baltimore-Columbia-Towson, MD Metro Area	1	6737881408	1304104452	2601.511	503.518	39.304361	-76.549501                                                                                        
357	12660	Baraboo, WI Micro Area	2	2153686013	45692969	831.543	17.642	43.428001	-89.943318                                                                                                              
350	12680	Bardstown, KY Micro Area	2	1081379029	16973349	417.523	6.553	37.80312	-85.465931                                                                                                              
148	12700	Barnstable Town, MA Metro Area	1	1021007945	2360328047	394.213	911.328	41.706123	-70.164823                                                                                                   
