GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29057340	426405	11.219	0.165	29.967156	-92.095966                                                                                                                   
00064	Abbeville, SC Urban Cluster	C	11271136	19786	4.352	0.008	34.179273	-82.379776                                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5426586	13221	2.095	0.005	44.948612	-90.315875                                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416338	52820	2.863	0.02	33.824742	-88.554591                                                                                                                        
00145	Aberdeen, SD Urban Cluster	C	33032902	120864	12.754	0.047	45.463186	-98.471033                                                                                                                    
00172	Aberdeen, WA Urban Cluster	C	40077470	1887823	15.474	0.729	46.977659	-123.796236                                                                                                                  
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339755172	9811906	131.18	3.788	39.50893	-76.303492                                                                                    
00226	Abernathy, TX Urban Cluster	C	3052063	12572	1.178	0.005	33.830523	-101.846278                                                                                                                     
00253	Abilene, KS Urban Cluster	C	8744553	1877	3.376	0.001	38.921855	-97.220768                                                                                                                         
00280	Abilene, TX Urbanized Area	U	141784088	1002809	54.743	0.387	32.428784	-99.747194                                                                                                                  
00334	Abingdon, IL Urban Cluster	C	3739779	0	1.444	0.	40.804173	-90.401516                                                                                                                              
00388	Ada, OH Urban Cluster	C	4754525	0	1.836	0.	40.76723	-83.82466                                                                                                                                     
00415	Ada, OK Urban Cluster	C	30935033	89141	11.944	0.034	34.774803	-96.669103                                                                                                                          
00450	Adams, NY Urban Cluster	C	5100418	13914	1.969	0.005	43.808664	-76.021178                                                                                                                          
00469	Adel, GA Urban Cluster	C	15746333	149881	6.08	0.058	31.145731	-83.429099                                                                                                                          
00496	Adel, IA Urban Cluster	C	4596596	0	1.775	0.	41.612188	-94.021031                                                                                                                                  
00550	Adjuntas, PR Urban Cluster	C	20443071	155505	7.893	0.06	18.166604	-66.729934                                                                                                                      
00577	Adrian, MI Urban Cluster	C	62193233	614875	24.013	0.237	41.914128	-84.049721                                                                                                                      
00604	Agat, GU Urban Cluster	C	12701663	2939	4.904	0.001	13.39108	+144.669527                                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619748514	868314	239.286	0.335	18.370709	-67.040996                                                                                        
00658	Ahoskie, NC Urban Cluster	C	7544885	0	2.913	0.	36.287877	-76.983311                                                                                                                               
00676	Air Force Academy, CO Urban Cluster	C	6458865	0	2.494	0.	38.985935	-104.858324                                                                                                                    
00712	Ajo, AZ Urban Cluster	C	6917499	0	2.671	0.	32.388722	-112.868896                                                                                                                                  
00739	Akron, NY Urban Cluster	C	6779977	0	2.618	0.	43.020471	-78.493346                                                                                                                                 
00766	Akron, OH Urbanized Area	U	842766022	17481092	325.394	6.749	41.066225	-81.491897                                                                                                                  
00793	Alachua, FL Urban Cluster	C	9777105	31222	3.775	0.012	29.791157	-82.507967                                                                                                                        
00820	Alamogordo, NM Urban Cluster	C	42957782	52140	16.586	0.02	32.902624	-105.949622                                                                                                                   
00847	Alamosa, CO Urban Cluster	C	18816057	38995	7.265	0.015	37.459931	-105.872135                                                                                                                      
00901	Albany, GA Urbanized Area	U	183526663	2792138	70.86	1.078	31.591097	-84.168827                                                                                                                    
00921	Albany, MN Urban Cluster	C	4334310	285660	1.673	0.11	45.630826	-94.568637                                                                                                                         
00955	Albany, OR Urbanized Area	U	61981846	288649	23.931	0.111	44.630088	-123.090049                                                                                                                    
00970	Albany--Schenectady, NY Urbanized Area	U	766050241	16055206	295.774	6.199	42.742965	-73.799324                                                                                                    
00982	Albemarle, NC Urban Cluster	C	44483391	47629	17.175	0.018	35.369088	-80.196358                                                                                                                    
01009	Albert Lea, MN Urban Cluster	C	25479374	1395973	9.838	0.539	43.654514	-93.374413                                                                                                                  
01036	Albertville, AL Urban Cluster	C	92831407	5174686	35.842	1.998	34.268058	-86.22354                                                                                                                 
01063	Albia, IA Urban Cluster	C	5633626	0	2.175	0.	41.02698	-92.805189                                                                                                                                  
01090	Albion, MI Urban Cluster	C	17105762	131688	6.605	0.051	42.252722	-84.75533                                                                                                                        
01117	Albion, NY Urban Cluster	C	7638315	0	2.949	0.	43.245788	-78.193603                                                                                                                                
01144	Albion, PA Urban Cluster	C	7416832	56074	2.864	0.022	41.890344	-80.355166                                                                                                                         
01171	Albuquerque, NM Urbanized Area	U	650688230	8216253	251.232	3.172	35.143367	-106.628138                                                                                                            
01198	Alderson, WV Urban Cluster	C	3437394	107288	1.327	0.041	37.727925	-80.649268                                                                                                                      
01225	Aledo, IL Urban Cluster	C	5738597	30085	2.216	0.012	41.198542	-90.745194                                                                                                                          
01232	Aledo, TX Urban Cluster	C	12139189	163278	4.687	0.063	32.680976	-97.647149                                                                                                                        
01252	Alexander City, AL Urban Cluster	C	25135597	65442	9.705	0.025	32.939703	-85.958004                                                                                                                
01279	Alexandria, LA Urbanized Area	U	169619374	904519	65.49	0.349	31.260637	-92.506129                                                                                                                 
01306	Alexandria, MN Urban Cluster	C	38374784	7502990	14.817	2.897	45.900999	-95.3683                                                                                                                   
01333	Alfred, NY Urban Cluster	C	3117023	0	1.203	0.	42.256634	-77.784266                                                                                                                                
01360	Algoma, WI Urban Cluster	C	4746899	106289	1.833	0.041	44.607208	-87.444363                                                                                                                        
01387	Algona, IA Urban Cluster	C	6881707	16085	2.657	0.006	43.072716	-94.228677                                                                                                                         
01414	Alice, TX Urban Cluster	C	28171290	0	10.877	0.	27.7524	-98.075031                                                                                                                                 
01441	Allegan, MI Urban Cluster	C	12209395	147540	4.714	0.057	42.530023	-85.849978                                                                                                                      
01468	Allendale, SC Urban Cluster	C	5948733	0	2.297	0.	33.008841	-81.311258                                                                                                                             
01495	Allentown, PA--NJ Urbanized Area	U	896942295	10364846	346.311	4.002	40.651343	-75.441706                                                                                                          
01522	Alliance, NE Urban Cluster	C	12081752	31691	4.665	0.012	42.100596	-102.87402                                                                                                                      
01549	Alliance, OH Urban Cluster	C	45949350	277826	17.741	0.107	40.914526	-81.09674                                                                                                                     
01603	Alma, GA Urban Cluster	C	7403914	268861	2.859	0.104	31.541885	-82.469694                                                                                                                          
01630	Alma--St. Louis, MI Urban Cluster	C	19248679	401864	7.432	0.155	43.390674	-84.641499                                                                                                              
01657	Almont, MI Urban Cluster	C	3627340	0	1.401	0.	42.920939	-83.043475                                                                                                                                
01684	Alpena, MI Urban Cluster	C	24397700	1828257	9.42	0.706	45.063078	-83.453078                                                                                                                       
01711	Alpine, TX Urban Cluster	C	10814930	335	4.176	0.	30.358305	-103.664632                                                                                                                            
01738	Altavista, VA Urban Cluster	C	14409086	122186	5.563	0.047	37.113627	-79.294132                                                                                                                    
01765	Alton, IL--MO Urbanized Area	U	142056050	1901277	54.848	0.734	38.897792	-90.128014                                                                                                                
01792	Altoona, PA Urbanized Area	U	96876604	164787	37.404	0.064	40.485263	-78.393865                                                                                                                    
01819	Alturas, CA Urban Cluster	C	4934312	16517	1.905	0.006	41.489183	-120.546287                                                                                                                       
01846	Altus, OK Urban Cluster	C	31478381	521227	12.154	0.201	34.652723	-99.310867                                                                                                                       
01873	Alva, OK Urban Cluster	C	6817256	0	2.632	0.	36.801112	-98.664682                                                                                                                                  
01900	Alvarado, TX Urban Cluster	C	7243895	19915	2.797	0.008	32.412226	-97.219351                                                                                                                       
01927	Amarillo, TX Urbanized Area	U	210765732	1182082	81.377	0.456	35.197528	-101.849137                                                                                                                
01981	American Falls, ID Urban Cluster	C	3699796	0	1.428	0.	42.782372	-112.853156                                                                                                                       
02008	Americus, GA Urban Cluster	C	31478937	139046	12.154	0.054	32.072568	-84.229191                                                                                                                    
02035	Amery, WI Urban Cluster	C	5343406	1111969	2.063	0.429	45.30657	-92.364724                                                                                                                         
02062	Ames, IA Urbanized Area	U	59376178	878891	22.925	0.339	42.031216	-93.633762                                                                                                                       
02116	Amite City, LA Urban Cluster	C	18158238	40581	7.011	0.016	30.733723	-90.5208                                                                                                                      
02143	Amory, MS Urban Cluster	C	14384769	27224	5.554	0.011	33.984789	-88.48001                                                                                                                          
02153	Amouli, AS Urban Cluster	C	12119252	0	4.679	0.	-14.26556	-170.589772                                                                                                                              
02170	Amsterdam, NY Urban Cluster	C	26866392	772768	10.373	0.298	42.953149	-74.19505                                                                                                                    
02197	Anaconda-Deer Lodge County, MT Urban Cluster	C	6196629	0	2.393	0.	46.130922	-112.956918                                                                                                           
02224	Anacortes, WA Urban Cluster	C	24563426	593392	9.484	0.229	48.48661	-122.628592                                                                                                                    
02251	Anadarko, OK Urban Cluster	C	6214320	0	2.399	0.	35.071339	-98.241499                                                                                                                              
02278	Anamosa, IA Urban Cluster	C	5459335	0	2.108	0.	42.110077	-91.276037                                                                                                                               
02305	Anchorage, AK Urbanized Area	U	220119979	2653414	84.989	1.024	61.167916	-149.847166                                                                                                               
02332	Anchorage Northeast, AK Urban Cluster	C	42340751	348417	16.348	0.135	61.329442	-149.535228                                                                                                        
02359	Andalusia, AL Urban Cluster	C	14934470	32462	5.766	0.013	31.311564	-86.479556                                                                                                                     
02386	Anderson, IN Urbanized Area	U	170929099	749136	65.996	0.289	40.088751	-85.679816                                                                                                                  
02413	Anderson, SC Urbanized Area	U	191932311	3272330	74.105	1.263	34.520823	-82.660933                                                                                                                 
02440	Andrews, SC Urban Cluster	C	7781113	0	3.004	0.	33.450931	-79.562021                                                                                                                               
02467	Andrews, TX Urban Cluster	C	16201292	30529	6.255	0.012	32.320646	-102.546505                                                                                                                      
02494	Angels, CA Urban Cluster	C	6913078	12740	2.669	0.005	38.074409	-120.551042                                                                                                                        
02548	Angola, IN Urban Cluster	C	23646339	3913803	9.13	1.511	41.661024	-85.016736                                                                                                                       
02575	Anna, IL Urban Cluster	C	10303113	47210	3.978	0.018	37.460138	-89.251143                                                                                                                          
02581	Anna, TX Urban Cluster	C	18109692	14418	6.992	0.006	33.37908	-96.563619                                                                                                                           
02590	Annandale, MN Urban Cluster	C	6952105	0	2.684	0.	45.260115	-94.121311                                                                                                                             
02602	Ann Arbor, MI Urbanized Area	U	413392385	13432158	159.612	5.186	42.240003	-83.662679                                                                                                              
02629	Anniston--Oxford, AL Urbanized Area	U	224712858	1514416	86.762	0.585	33.664398	-85.828795                                                                                                         
02656	Antigo, WI Urban Cluster	C	10801686	84336	4.171	0.033	45.142639	-89.153197                                                                                                                        
02683	Antioch, CA Urbanized Area	U	209026457	3296497	80.706	1.273	37.991687	-121.78212                                                                                                                  
02710	Apalachicola, FL Urban Cluster	C	7243548	15809621	2.797	6.104	29.738804	-84.900164                                                                                                                
02764	Appleton, WI Urbanized Area	U	268537555	10897560	103.683	4.208	44.24668	-88.411096                                                                                                                
02773	Apple Valley, OH Urban Cluster	C	12284409	2046677	4.743	0.79	40.438206	-82.34901                                                                                                                  
02791	Arab, AL Urban Cluster	C	21703069	301947	8.38	0.117	34.320987	-86.513807                                                                                                                          
02825	Arbuckle, CA Urban Cluster	C	1871507	0	0.723	0.	39.016725	-122.06022                                                                                                                              
02845	Arcade, NY Urban Cluster	C	6117043	0	2.362	0.	42.534572	-78.466924                                                                                                                                
02899	Arcadia, LA Urban Cluster	C	7043337	0	2.719	0.	32.552379	-92.92374                                                                                                                                
02901	Arcadia, WI Urban Cluster	C	5464000	0	2.11	0.	44.249691	-91.490913                                                                                                                                
02912	Arcadia--Southeast Arcadia, FL Urban Cluster	C	26177160	15770	10.107	0.006	27.213341	-81.852437                                                                                                   
02926	Arcata--McKinleyville, CA Urban Cluster	C	42587807	329337	16.443	0.127	40.914486	-124.08936                                                                                                       
02953	Archbold, OH Urban Cluster	C	9801480	37920	3.784	0.015	41.52504	-84.294163                                                                                                                        
02965	Archer Lodge--Clayton, NC Urban Cluster	C	52270751	474780	20.182	0.183	35.662546	-78.367852                                                                                                       
02980	Arcola, IL Urban Cluster	C	3476399	44848	1.342	0.017	39.684596	-88.302758                                                                                                                         
03007	Ardmore, OK Urban Cluster	C	30240077	76559	11.676	0.03	34.178548	-97.14166                                                                                                                        
03034	Arecibo, PR Urbanized Area	U	217696324	1556484	84.053	0.601	18.454601	-66.807974                                                                                                                  
03088	Arizona City, AZ Urban Cluster	C	12127859	198208	4.683	0.077	32.749832	-111.673175                                                                                                                
03115	Arkadelphia, AR Urban Cluster	C	14919780	0	5.761	0.	34.12448	-93.067856                                                                                                                           
03142	Arkansas City, KS Urban Cluster	C	24888728	143725	9.61	0.055	37.060526	-97.034648                                                                                                                 
03158	Arlington, TN Urban Cluster	C	20072830	87911	7.75	0.034	35.280006	-89.662685                                                                                                                      
03196	Arroyo Grande--Grover Beach, CA Urbanized Area	U	59603961	233076	23.013	0.09	35.118449	-120.60761                                                                                                 
03223	Artesia, NM Urban Cluster	C	16868171	10805	6.513	0.004	32.837488	-104.414485                                                                                                                      
03250	Arvin, CA Urban Cluster	C	11208188	0	4.328	0.	35.203006	-118.832555                                                                                                                               
