CSAFP|GEOID|GEOIDFQ|NAME|CBSA_TYPE|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
|45000|310M700US45000|Susanville, CA Micro Area|2|11762090639|462950977|4541.369|178.746|40.715287|-120.621223
|35020|310M700US35020|Natchez, MS-LA Micro Area|2|4345954360|218075393|1677.982|84.199|31.542918|-91.382533
|26020|310M700US26020|Hobbs, NM Micro Area|2|11374066519|8147103|4391.552|3.146|32.795687|-103.413271
|34020|310M700US34020|Morgan City, LA Micro Area|2|1446581822|1453489233|558.528|561.195|29.629349|-91.463804
|42020|310M700US42020|San Luis Obispo-Paso Robles, CA Metro Area|1|8549140854|815650229|3300.842|314.924|35.388189|-120.448897
|17020|310M700US17020|Chico, CA Metro Area|1|4238545144|105204062|1636.511|40.62|39.665336|-121.603209
|39040|310M700US39040|Port Townsend, WA Micro Area|2|4671633807|994992501|1803.728|384.169|47.805708|-123.527057
|30060|310M700US30060|Lebanon, MO Micro Area|2|1980522177|8720826|764.684|3.367|37.659698|-92.594843
|35060|310M700US35060|Natchitoches, LA Micro Area|2|3245276854|120549024|1253.008|46.544|31.732509|-93.082546
|39060|310M700US39060|Pottsville, PA Micro Area|2|2017009022|10321176|778.772|3.985|40.703682|-76.217788
|40060|310M700US40060|Richmond, VA Metro Area|1|11303507131|330861677|4364.309|127.746|37.412237|-77.44372
|20060|310M700US20060|Douglas, GA Micro Area|2|2421595681|31598889|934.983|12.2|31.461335|-82.868088
|19060|310M700US19060|Cumberland, MD-WV Micro Area|2|1942699572|18177272|750.081|7.018|39.532185|-78.807082
|34060|310M700US34060|Morgantown, WV Metro Area|1|2613058451|21654430|1008.908|8.361|39.525155|-79.801912
|37060|310M700US37060|Oxford, MS Micro Area|2|2846003184|195246033|1098.848|75.385|34.221062|-89.584602
|48060|310M700US48060|Watertown-Fort Drum, NY Metro Area|1|3283928401|1524534691|1267.932|588.626|43.996389|-76.052968
|28060|310M700US28060|Kalispell, MT Micro Area|2|13176056530|436954292|5087.304|168.709|48.295422|-114.052059
|25060|310M700US25060|Gulfport-Biloxi, MS Metro Area|1|5739223475|2105679626|2215.927|813.007|30.480153|-88.999297
|11060|310M700US11060|Altus, OK Micro Area|2|2078860497|4114418|802.653|1.589|34.594006|-99.412235
|47080|310M700US47080|Vidalia, GA Micro Area|2|1567357675|27261859|605.16|10.526|32.154218|-82.411379
|49080|310M700US49080|Winnemucca, NV Micro Area|2|24969535376|44194899|9640.792|17.064|41.407914|-118.127591
|43100|310M700US43100|Sheboygan, WI Metro Area|1|1324828373|1967670376|511.519|759.722|43.738713|-87.731531
