USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01001|0500000US01001|00161526|Autauga County|1539631460|25677536|594.455|9.914|32.532237|-86.64644
AL|01003|0500000US01003|00161527|Baldwin County|4117933903|1132678359|1589.943|437.33|30.659218|-87.746067
AL|01005|0500000US01005|00161528|Barbour County|2292160152|50523213|885.008|19.507|31.870253|-85.405103
AL|01007|0500000US01007|00161529|Bibb County|1612188713|9572302|622.47|3.696|33.015893|-87.127148
AL|01009|0500000US01009|00161530|Blount County|1670296790|14822589|644.905|5.723|33.977358|-86.56644
AL|01011|0500000US01011|00161531|Bullock County|1613084323|6029813|622.815|2.328|32.101759|-85.717261
AL|01013|0500000US01013|00161532|Butler County|2012002548|2701199|776.839|1.043|31.751667|-86.681969
AL|01015|0500000US01015|00161533|Calhoun County|1569256904|16525540|605.894|6.381|33.770516|-85.827909
AL|01017|0500000US01017|00161534|Chambers County|1545081616|16975680|596.559|6.554|32.915504|-85.394032
AL|01019|0500000US01019|00161535|Cherokee County|1433861819|120069842|553.617|46.359|34.069515|-85.654242
AL|01021|0500000US01021|00161536|Chilton County|1794443235|20587728|692.838|7.949|32.854051|-86.726607
AL|01023|0500000US01023|00161537|Choctaw County|2365900084|19114321|913.479|7.38|31.990954|-88.248889
AL|01025|0500000US01025|00161538|Clarke County|3207494085|36657889|1238.42|14.154|31.685521|-87.818624
AL|01027|0500000US01027|00161539|Clay County|1564255426|5281615|603.962|2.039|33.2704|-85.863525
AL|01029|0500000US01029|00161540|Cleburne County|1450725401|2293266|560.128|0.885|33.671964|-85.516126
AL|01031|0500000US01031|00161541|Coffee County|1758772316|3700803|679.066|1.429|31.402258|-85.989602
AL|01033|0500000US01033|00161542|Colbert County|1535740660|79162005|592.953|30.565|34.703112|-87.801457
AL|01035|0500000US01035|00161543|Conecuh County|2202213385|6426488|850.279|2.481|31.430926|-86.988722
AL|01037|0500000US01037|00161544|Coosa County|1685846963|39991153|650.909|15.441|32.931445|-86.243482
AL|01039|0500000US01039|00161545|Covington County|2669171988|34188423|1030.573|13.2|31.243987|-86.448721
AL|01041|0500000US01041|00161546|Crenshaw County|1576952763|5388562|608.865|2.081|31.730311|-86.320038
AL|01043|0500000US01043|00161547|Cullman County|1902990047|52505884|734.749|20.273|34.131923|-86.869267
AL|01045|0500000US01045|00161548|Dale County|1453276163|4051341|561.113|1.564|31.430654|-85.609476
AL|01047|0500000US01047|00161549|Dallas County|2534926511|39117865|978.741|15.103|32.333526|-87.11436
AL|01049|0500000US01049|00161550|DeKalb County|2012620260|4107136|777.077|1.586|34.460915|-85.804021
AL|01051|0500000US01051|00161551|Elmore County|1601959017|99767744|618.52|38.521|32.597229|-86.142735
AL|01053|0500000US01053|00161552|Escambia County|2448595162|20024888|945.408|7.732|31.122287|-87.16841
AL|01055|0500000US01055|00161553|Etowah County|1386014339|34925394|535.143|13.485|34.047641|-86.034263
AL|01057|0500000US01057|00161554|Fayette County|1625693253|4330881|627.684|1.672|33.716157|-87.764292
AL|01059|0500000US01059|00161555|Franklin County|1641945980|32539347|633.959|12.564|34.441989|-87.842814
AL|01061|0500000US01061|00161556|Geneva County|1487908412|11567410|574.485|4.466|31.092382|-85.821022
AL|01063|0500000US01063|00161557|Greene County|1675782055|33416143|647.023|12.902|32.844497|-87.9642
AL|01065|0500000US01065|00161558|Hale County|1667929293|32401180|643.991|12.51|32.752796|-87.623061
AL|01067|0500000US01067|00161559|Henry County|1455383133|16530319|561.927|6.382|31.516978|-85.239971
AL|01069|0500000US01069|00161560|Houston County|1501746884|4790782|579.828|1.85|31.158183|-85.296411
AL|01071|0500000US01071|00161561|Jackson County|2792044613|126334711|1078.014|48.778|34.764114|-85.980056
AL|01073|0500000US01073|00161562|Jefferson County|2878944657|32589354|1111.567|12.583|33.553444|-86.896536
AL|01075|0500000US01075|00161563|Lamar County|1566381027|1600679|604.783|0.618|33.787085|-88.087431
AL|01077|0500000US01077|00161564|Lauderdale County|1730239535|133515490|668.049|51.551|34.904168|-87.651108
AL|01079|0500000US01079|00161565|Lawrence County|1788864897|68681744|690.685|26.518|34.529776|-87.321865
AL|01081|0500000US01081|00161566|Lee County|1573566913|21476665|607.558|8.292|32.604064|-85.353048
AL|01083|0500000US01083|00161567|Limestone County|1459194296|113413202|563.398|43.789|34.810239|-86.981399
AL|01085|0500000US01085|00161568|Lowndes County|1854651686|23271386|716.085|8.985|32.147888|-86.650586
AL|01087|0500000US01087|00161569|Macon County|1576435599|11765503|608.665|4.543|32.387027|-85.692887
AL|01089|0500000US01089|00161570|Madison County|2076184339|28738297|801.619|11.096|34.764238|-86.55108
AL|01091|0500000US01091|00161572|Marengo County|2530155123|14951685|976.898|5.773|32.247591|-87.791091
AL|01093|0500000US01093|00161573|Marion County|1922657203|3183480|742.342|1.229|34.138219|-87.881551
AL|01095|0500000US01095|00161574|Marshall County|1465553966|148475491|565.854|57.327|34.309564|-86.321668
AL|01097|0500000US01097|00161575|Mobile County|3184085284|1073989994|1229.382|414.67|30.684572|-88.196568
AL|01099|0500000US01099|00161576|Monroe County|2656469674|22609681|1025.669|8.73|31.580353|-87.383342
AL|01101|0500000US01101|00161577|Montgomery County|2034060018|37702559|785.355|14.557|32.202881|-86.204461
AL|01103|0500000US01103|00161578|Morgan County|1501355216|50176735|579.677|19.373|34.454484|-86.846402
AL|01105|0500000US01105|00161579|Perry County|1863936201|10902207|719.67|4.209|32.639005|-87.293827
AL|01107|0500000US01107|00161580|Pickens County|2282781604|22621093|881.387|8.734|33.2968|-88.096864
AL|01109|0500000US01109|00161581|Pike County|1740645367|2339145|672.067|0.903|31.798653|-85.941608
AL|01111|0500000US01111|00161582|Randolph County|1503618351|9283013|580.55|3.584|33.296461|-85.464064
AL|01113|0500000US01113|00161583|Russell County|1660653959|15562947|641.182|6.009|32.289811|-85.18698
AL|01115|0500000US01115|00164997|St. Clair County|1635862394|56329029|631.61|21.749|33.719491|-86.311327
AL|01117|0500000US01117|00161584|Shelby County|2034317787|62250055|785.455|24.035|33.266893|-86.661007
AL|01119|0500000US01119|00161585|Sumter County|2340898909|24634886|903.826|9.512|32.597481|-88.200057
AL|01121|0500000US01121|00161586|Talladega County|1908348729|60872243|736.818|23.503|33.369314|-86.17593
AL|01123|0500000US01123|00161587|Tallapoosa County|1855828177|128760802|716.539|49.715|32.863308|-85.799618
AL|01125|0500000US01125|00161588|Tuscaloosa County|3421019929|78663574|1320.863|30.372|33.29022|-87.522783
AL|01127|0500000US01127|00161589|Walker County|2048837427|36603372|791.061|14.133|33.791558|-87.301094
AL|01129|0500000US01129|00161590|Washington County|2797848585|21524393|1080.255|8.311|31.408503|-88.212404
AL|01131|0500000US01131|00161591|Wilcox County|2299540559|50592191|887.858|19.534|31.990082|-87.304935
AL|01133|0500000US01133|00161592|Winston County|1587662524|48868810|613.|18.868|34.154566|-87.365346
AK|02013|0500000US02013|01419964|Aleutians East Borough|18092037389|20799701286|6985.375|8030.81|55.245044|-161.997477
AK|02016|0500000US02016|01419965|Aleutians West Census Area|11363234702|25198286125|4387.37|9729.113|51.948964|+179.621188
AK|02020|0500000US02020|01416061|Anchorage Municipality|4420596509|615656658|1706.802|237.706|61.17425|-149.284329
AK|02050|0500000US02050|01419966|Bethel Census Area|105295646665|12692833025|40654.878|4900.73|60.929141|-160.152625
AK|02060|0500000US02060|01419967|Bristol Bay Borough|1246773236|952149115|481.382|367.627|58.730546|-156.994473
AK|02063|0500000US02063|02804400|Chugach Census Area|24797447815|14539007638|9574.349|5613.542|60.488474|-146.20309
AK|02066|0500000US02066|02804401|Copper River Census Area|63836358975|1217343850|24647.357|470.019|62.034479|-143.922167
AK|02068|0500000US02068|01419988|Denali Borough|32736790955|69480244|12639.746|26.826|63.682039|-150.027016
AK|02070|0500000US02070|01419968|Dillingham Census Area|47534537685|5891862209|18353.188|2274.861|59.543326|-158.267123
AK|02090|0500000US02090|01419969|Fairbanks North Star Borough|18997546107|258865394|7334.994|99.948|64.670454|-146.496061
AK|02100|0500000US02100|01419970|Haines Borough|6047449333|1032344904|2334.933|398.591|59.098404|-135.575791
AK|02105|0500000US02105|02371430|Hoonah-Angoon Census Area|16989620637|7836454681|6559.729|3025.672|58.403336|-135.884909
AK|02110|0500000US02110|01419971|Juneau City and Borough|7000540330|1437614880|2702.924|555.066|58.37291|-134.178445
AK|02122|0500000US02122|01419972|Kenai Peninsula Borough|41485521254|22541995126|16017.65|8703.513|60.366668|-152.322283
AK|02130|0500000US02130|01419973|Ketchikan Gateway Borough|12579808103|4714991291|4857.091|1820.468|55.449938|-131.106685
AK|02150|0500000US02150|01419974|Kodiak Island Borough|17325688361|14147958943|6689.486|5462.558|57.7044|-153.918372
AK|02158|0500000US02158|01419985|Kusilvak Census Area|44422100885|6493474805|17151.47|2507.145|62.283555|-163.190154
AK|02164|0500000US02164|01419975|Lake and Peninsula Borough|61891863800|25676773493|23896.583|9913.858|58.108507|-156.413413
AK|02170|0500000US02170|01419976|Matanuska-Susitna Borough|63991131512|1451801576|24707.115|560.544|62.265626|-149.503993
AK|02180|0500000US02180|01419977|Nome Census Area|59491561075|13779831399|22969.821|5320.423|64.783686|-164.188912
AK|02185|0500000US02185|01419978|North Slope Borough|229972241966|15630941601|88792.783|6035.141|69.449343|-153.47283
AK|02188|0500000US02188|01419979|Northwest Arctic Borough|92389266902|12815474515|35671.697|4948.083|67.005066|-160.021086
AK|02195|0500000US02195|02516404|Petersburg Borough|7513271267|2399804664|2900.89|926.57|57.112458|-133.008598
AK|02198|0500000US02198|01419980|Prince of Wales-Hyder Census Area|13644253277|14625137414|5268.076|5646.797|55.682773|-133.162389
AK|02220|0500000US02220|01419981|Sitka City and Borough|7433786701|4931993422|2870.201|1904.253|57.193204|-135.367396
AK|02230|0500000US02230|02339479|Skagway Municipality|1147178436|27779583|442.928|10.726|59.560379|-135.338279
AK|02240|0500000US02240|01419983|Southeast Fairbanks Census Area|64333306378|731324887|24839.23|282.366|63.864997|-143.218628
AK|02275|0500000US02275|02516402|Wrangell City and Borough|6620282509|2369914430|2556.105|915.029|56.180779|-132.026788
AK|02282|0500000US02282|01419986|Yakutat City and Borough|19757491677|3978728625|7628.411|1536.196|60.017508|-140.416847
AK|02290|0500000US02290|01419987|Yukon-Koyukuk Census Area|377536045709|5466592380|145767.488|2110.663|65.375656|-151.578176
AZ|04001|0500000US04001|00025441|Apache County|29003488072|54140156|11198.31|20.904|35.385084|-109.490172
AZ|04003|0500000US04003|00025442|Cochise County|16083494828|17625865|6209.872|6.805|31.840129|-109.775163
AZ|04005|0500000US04005|00025443|Coconino County|48216164929|116604557|18616.366|45.021|35.829692|-111.773728
AZ|04007|0500000US04007|00040471|Gila County|12322068653|96466819|4757.578|37.246|33.789618|-110.81187
AZ|04009|0500000US04009|00025444|Graham County|11970605966|47476264|4621.877|18.331|32.931828|-109.87831
AZ|04011|0500000US04011|00042807|Greenlee County|4772927116|11947401|1842.838|4.613|33.238872|-109.242323
AZ|04012|0500000US04012|00043540|La Paz County|11646086548|36514346|4496.579|14.098|33.72761|-114.038806
AZ|04013|0500000US04013|00037026|Maricopa County|23833123166|62055787|9202.021|23.96|33.345176|-112.49893
AZ|04015|0500000US04015|00025445|Mohave County|34530032722|333388241|13332.121|128.722|35.717705|-113.749689
AZ|04017|0500000US04017|00042808|Navajo County|25769074624|24120915|9949.496|9.313|35.390785|-110.321025
AZ|04019|0500000US04019|00025446|Pima County|23798602443|5112015|9188.692|1.974|32.128038|-111.783657
AZ|04021|0500000US04021|00025447|Pinal County|13899645885|20747212|5366.684|8.011|32.918521|-111.366339
AZ|04023|0500000US04023|00040472|Santa Cruz County|3201899629|3068237|1236.26|1.185|31.525733|-110.845228
AZ|04025|0500000US04025|00042809|Yavapai County|21038297504|11358280|8122.932|4.385|34.631071|-112.577225
AZ|04027|0500000US04027|00023901|Yuma County|14280726743|13242852|5513.82|5.113|32.773942|-113.910905
AR|05001|0500000US05001|00063755|Arkansas County|2569631427|120698186|992.14|46.602|34.28957|-91.376547
AR|05003|0500000US05003|00063756|Ashley County|2397012343|38656004|925.492|14.925|33.190835|-91.772267
AR|05005|0500000US05005|00069895|Baxter County|1434670072|84921211|553.929|32.788|36.28027|-92.32995
AR|05007|0500000US05007|00069896|Benton County|2195637338|94852627|847.74|36.623|36.337819|-94.256298
AR|05009|0500000US05009|00069897|Boone County|1527375321|31797985|589.723|12.277|36.304299|-93.079236
AR|05011|0500000US05011|00063757|Bradley County|1681335017|9505606|649.167|3.67|33.466549|-92.169156
AR|05013|0500000US05013|00063758|Calhoun County|1628067843|9887802|628.601|3.818|33.56046|-92.513879
AR|05015|0500000US05015|00066975|Carroll County|1631504874|22715757|629.928|8.771|36.33737|-93.540972
AR|05017|0500000US05017|00069160|Chicot County|1649764401|140413175|636.978|54.214|33.267139|-91.297158
AR|05019|0500000US05019|00066845|Clark County|2242855175|43965580|865.971|16.975|34.053316|-93.176208
AR|05021|0500000US05021|00063759|Clay County|1655581940|5497697|639.224|2.123|36.367302|-90.418704
AR|05023|0500000US05023|00066983|Cleburne County|1434747668|98885396|553.959|38.18|35.593628|-92.008898
AR|05025|0500000US05025|00063760|Cleveland County|1548580963|2561701|597.91|0.989|33.893201|-92.188714
AR|05027|0500000US05027|00063761|Columbia County|1984098877|1985830|766.065|0.767|33.223038|-93.232843
AR|05029|0500000US05029|00066846|Conway County|1429552829|37663258|551.953|14.542|35.26569|-92.689249
AR|05031|0500000US05031|00066847|Craighead County|1831554771|14306976|707.167|5.524|35.827729|-90.631421
AR|05033|0500000US05033|00069161|Crawford County|1541738664|26917847|595.269|10.393|35.582959|-94.236193
AR|05035|0500000US05035|00069162|Crittenden County|1584585354|82932241|611.812|32.02|35.197559|-90.30512
AR|05037|0500000US05037|00066848|Cross County|1596255184|15389371|616.318|5.942|35.285692|-90.763984
AR|05039|0500000US05039|00066849|Dallas County|1728358304|1731378|667.323|0.668|33.967823|-92.653999
AR|05041|0500000US05041|00066850|Desha County|1919768425|185180908|741.227|71.499|33.828752|-91.244103
AR|05043|0500000US05043|00066851|Drew County|2146237579|18789748|828.667|7.255|33.587242|-91.722778
AR|05045|0500000US05045|00066852|Faulkner County|1676362422|43607253|647.247|16.837|35.146548|-92.336928
AR|05047|0500000US05047|00066853|Franklin County|1577218103|28853849|608.967|11.141|35.508558|-93.887665
AR|05049|0500000US05049|00066854|Fulton County|1600597358|6357861|617.994|2.455|36.381322|-91.819285
AR|05051|0500000US05051|00066855|Garland County|1755013661|147452174|677.615|56.932|34.578852|-93.146932
AR|05053|0500000US05053|00066856|Grant County|1636581704|2896901|631.888|1.118|34.285568|-92.422979
AR|05055|0500000US05055|00066857|Greene County|1495322286|5255220|577.347|2.029|36.120607|-90.566346
AR|05057|0500000US05057|00066858|Hempstead County|1883439299|35737908|727.2|13.798|33.735953|-93.664355
AR|05059|0500000US05059|00066859|Hot Spring County|1592697267|18725590|614.944|7.23|34.315177|-92.944147
AR|05061|0500000US05061|00066872|Howard County|1521182023|21361761|587.332|8.248|34.083064|-93.990931
AR|05063|0500000US05063|00069163|Independence County|1978003732|20251226|763.712|7.819|35.737499|-91.559942
AR|05065|0500000US05065|00066860|Izard County|1502713771|9576574|580.201|3.698|36.094879|-91.913625
AR|05067|0500000US05067|00066861|Jackson County|1641044497|20284491|633.611|7.832|35.596467|-91.223205
AR|05069|0500000US05069|00066862|Jefferson County|2259364692|113071690|872.346|43.657|34.277239|-91.929673
AR|05071|0500000US05071|00066863|Johnson County|1711955747|59529091|660.99|22.984|35.573359|-93.466322
AR|05073|0500000US05073|00066864|Lafayette County|1371327390|43028603|529.472|16.613|33.240629|-93.611514
AR|05075|0500000US05075|00066865|Lawrence County|1521690360|12395693|587.528|4.786|36.041098|-91.101153
AR|05077|0500000US05077|00066866|Lee County|1553493433|57858191|599.807|22.339|34.779505|-90.779717
AR|05079|0500000US05079|00066873|Lincoln County|1449008948|26693606|559.466|10.306|33.956385|-91.742355
AR|05081|0500000US05081|00066874|Little River County|1375943076|83115228|531.255|32.091|33.701941|-94.236287
AR|05083|0500000US05083|00082850|Logan County|1836599803|53969486|709.115|20.838|35.218654|-93.72091
AR|05085|0500000US05085|00069164|Lonoke County|1998752691|82011970|771.723|31.665|34.755114|-91.894132
AR|05087|0500000US05087|00069165|Madison County|2160665369|7455733|834.238|2.879|36.012545|-93.724053
AR|05089|0500000US05089|00069898|Marion County|1545182805|112951239|596.598|43.611|36.266664|-92.678577
AR|05091|0500000US05091|00069166|Miller County|1616257231|36848741|624.04|14.227|33.305505|-93.901502
AR|05093|0500000US05093|00069899|Mississippi County|2336409874|72224609|902.093|27.886|35.766944|-90.052207
AR|05095|0500000US05095|00069167|Monroe County|1573316560|35707672|607.461|13.787|34.679512|-91.20331
AR|05097|0500000US05097|00069168|Montgomery County|2021363886|52979164|780.453|20.455|34.545656|-93.664153
AR|05099|0500000US05099|00069169|Nevada County|1600067807|7489489|617.79|2.892|33.666699|-93.305072
AR|05101|0500000US05101|00069900|Newton County|2126576326|5935910|821.076|2.292|35.910742|-93.215898
AR|05103|0500000US05103|00069170|Ouachita County|1897739676|18183261|732.721|7.021|33.591168|-92.878413
AR|05105|0500000US05105|00069171|Perry County|1427953389|24428560|551.336|9.432|34.946363|-92.926877
AR|05107|0500000US05107|00069172|Phillips County|1788024157|95966883|690.36|37.053|34.423687|-90.855593
AR|05109|0500000US05109|00069173|Pike County|1554864590|35281504|600.337|13.622|34.158191|-93.658659
AR|05111|0500000US05111|00069174|Poinsett County|1963975402|13892744|758.295|5.364|35.56887|-90.681104
AR|05113|0500000US05113|00069175|Polk County|2219200784|12520930|856.838|4.834|34.49096|-94.230894
AR|05115|0500000US05115|00069901|Pope County|2100355859|50772507|810.952|19.603|35.456557|-93.026818
AR|05117|0500000US05117|00069176|Prairie County|1677059905|72638195|647.516|28.046|34.831116|-91.55362
AR|05119|0500000US05119|00069177|Pulaski County|1964169563|126979468|758.37|49.027|34.770311|-92.312996
AR|05121|0500000US05121|00069178|Randolph County|1688445993|10370823|651.913|4.004|36.341298|-91.028441
AR|05123|0500000US05123|00083331|St. Francis County|1644082973|20017606|634.784|7.729|35.022838|-90.751506
AR|05125|0500000US05125|00067102|Saline County|1873898599|17955554|723.516|6.933|34.648525|-92.674463
AR|05127|0500000US05127|00069179|Scott County|2312470682|14373451|892.85|5.55|34.858869|-94.063641
AR|05129|0500000US05129|00069180|Searcy County|1724618502|6461827|665.879|2.495|35.896387|-92.695888
AR|05131|0500000US05131|00069181|Sebastian County|1375759908|34508909|531.184|13.324|35.196981|-94.274989
AR|05133|0500000US05133|00069182|Sevier County|1459636823|45919661|563.569|17.73|33.994877|-94.243279
AR|05135|0500000US05135|00069183|Sharp County|1566002713|5220542|604.637|2.016|36.173399|-91.471069
AR|05137|0500000US05137|00069902|Stone County|1570673289|8145444|606.44|3.145|35.857001|-92.140482
AR|05139|0500000US05139|00069903|Union County|2691170084|42102269|1039.067|16.256|33.168219|-92.598145
AR|05141|0500000US05141|00069904|Van Buren County|1837779986|37206288|709.571|14.365|35.582953|-92.515976
AR|05143|0500000US05143|00069905|Washington County|2438382545|27861950|941.465|10.758|35.978001|-94.217269
AR|05145|0500000US05145|00069906|White County|2677959077|20840622|1033.966|8.047|35.255118|-91.753034
AR|05147|0500000US05147|00069907|Woodruff County|1517662707|21064563|585.973|8.133|35.192777|-91.244535
AR|05149|0500000US05149|00069908|Yell County|2409688595|46994485|930.386|18.145|34.997713|-93.408303
CA|06001|0500000US06001|01675839|Alameda County|1910010500|216909648|737.459|83.749|37.647139|-121.912488
CA|06003|0500000US06003|01675840|Alpine County|1912292608|12557304|738.34|4.848|38.621783|-119.798352
CA|06005|0500000US06005|01675841|Amador County|1539967079|29437117|594.585|11.366|38.443549|-120.653858
CA|06007|0500000US06007|01675842|Butte County|4238545144|105204062|1636.511|40.62|39.665336|-121.603209
CA|06009|0500000US06009|01675885|Calaveras County|2641829627|43797225|1020.016|16.91|38.191068|-120.554107
CA|06011|0500000US06011|01675902|Colusa County|2980140645|14769737|1150.639|5.703|39.177739|-122.237563
CA|06013|0500000US06013|01675903|Contra Costa County|1856765315|225325593|716.901|86.999|37.919479|-121.951543
CA|06015|0500000US06015|01682074|Del Norte County|2606049837|578810830|1006.202|223.48|41.749903|-123.980998
CA|06017|0500000US06017|00277273|El Dorado County|4423289514|203362530|1707.842|78.519|38.785612|-120.534225
CA|06019|0500000US06019|00277274|Fresno County|15432656111|136636505|5958.582|52.756|36.761006|-119.655019
CA|06021|0500000US06021|00277275|Glenn County|3403088114|33796765|1313.94|13.049|39.602546|-122.4017
CA|06023|0500000US06023|01681908|Humboldt County|9241141620|1254149638|3568.025|484.23|40.706655|-123.926176
CA|06025|0500000US06025|00277277|Imperial County|10814374223|790135128|4175.453|305.073|33.040814|-115.3554
CA|06027|0500000US06027|01804637|Inyo County|26410783051|77280938|10197.261|29.838|36.56216|-117.404209
CA|06029|0500000US06029|02054176|Kern County|21068706344|78331375|8134.673|30.244|35.346629|-118.729506
CA|06031|0500000US06031|00277280|Kings County|3602601926|3164290|1390.972|1.222|36.072478|-119.81553
CA|06033|0500000US06033|00277281|Lake County|3250699790|189048038|1255.102|72.992|39.108009|-122.745217
CA|06035|0500000US06035|01693324|Lassen County|11762090639|462950977|4541.369|178.746|40.715287|-120.621223
CA|06037|0500000US06037|00277283|Los Angeles County|10516101987|1784889482|4060.29|689.15|34.196398|-118.261862
CA|06039|0500000US06039|00277284|Madera County|5534050365|42266781|2136.709|16.319|37.209821|-119.749802
CA|06041|0500000US06041|00277285|Marin County|1347160151|797807338|520.141|308.035|38.051367|-122.746396
CA|06043|0500000US06043|00277286|Mariposa County|3752476985|36220865|1448.84|13.985|37.574343|-119.911721
CA|06045|0500000US06045|00277287|Mendocino County|9082587768|961785099|3506.807|371.347|39.432388|-123.442881
CA|06047|0500000US06047|00277288|Merced County|5019448521|105236254|1938.02|40.632|37.194806|-120.722802
CA|06049|0500000US06049|00277289|Modoc County|10225876984|660504011|3948.233|255.022|41.592918|-120.71837
CA|06051|0500000US06051|00277290|Mono County|7896625260|214695142|3048.904|82.894|37.915836|-118.875167
CA|06053|0500000US06053|00277291|Monterey County|8499610242|1267806310|3281.718|489.503|36.240104|-121.315578
CA|06055|0500000US06055|00277292|Napa County|1947608460|104442635|751.976|40.326|38.5071|-122.325904
CA|06057|0500000US06057|01682927|Nevada County|2480587306|41531993|957.76|16.036|39.297508|-120.771343
CA|06059|0500000US06059|00277294|Orange County|2054504217|405282838|793.249|156.481|33.675687|-117.777207
CA|06061|0500000US06061|00277295|Placer County|3645152546|245620304|1407.401|94.835|39.062032|-120.722718
CA|06063|0500000US06063|00277296|Plumas County|6612400768|156387638|2553.062|60.382|39.992295|-120.824371
CA|06065|0500000US06065|00277297|Riverside County|18671278673|242554037|7209.021|93.651|33.729828|-116.002239
CA|06067|0500000US06067|00277298|Sacramento County|2500322926|75063510|965.38|28.982|38.450136|-121.344329
CA|06069|0500000US06069|00277299|San Benito County|3596591079|4719300|1388.652|1.822|36.611651|-121.085811
CA|06071|0500000US06071|00277300|San Bernardino County|51976967449|96404497|20068.42|37.222|34.856661|-116.181571
CA|06073|0500000US06073|00277301|San Diego County|10906140199|815875507|4210.884|315.011|33.023604|-116.776117
CA|06075|0500000US06075|00277302|San Francisco County|120913550|479701988|46.685|185.214|37.727239|-123.032229
