GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
00037|400C200US00037|Abbeville, LA Urban Area|28652013|508382|11.063|0.196|29.96865|-92.095225
00064|400C200US00064|Abbeville, SC Urban Area|12795140|6144|4.94|0.002|34.176729|-82.382945
00145|400C200US00145|Aberdeen, SD Urban Area|35936663|185255|13.875|0.072|45.463204|-98.468811
00172|400C200US00172|Aberdeen, WA Urban Area|28416188|1802207|10.972|0.696|46.974594|-123.831816
00253|400C200US00253|Abilene, KS Urban Area|9426823|1877|3.64|0.001|38.92106|-97.220754
00280|400C200US00280|Abilene, TX Urban Area|160508248|1015710|61.973|0.392|32.42579|-99.74988
00388|400C200US00388|Ada, OH Urban Area|5425263|0|2.095|0.|40.767953|-83.825064
00415|400C200US00415|Ada, OK Urban Area|36907464|32242|14.25|0.012|34.775053|-96.673796
00442|400C200US00442|Adairsville, GA Urban Area|13708995|0|5.293|0.|34.368886|-84.93652
00469|400C200US00469|Adel, GA Urban Area|15825386|165532|6.11|0.064|31.145787|-83.427248
00496|400C200US00496|Adel, IA Urban Area|7103710|16231|2.743|0.006|41.61053|-94.023973
00550|400C200US00550|Adjuntas, PR Urban Area|12595026|563|4.863|0.|18.16311|-66.720634
00577|400C200US00577|Adrian, MI Urban Area|34641305|384850|13.375|0.149|41.899205|-84.04018
00604|400C200US00604|Agat--Apra Harbor, GU Urban Area|10357137|0|3.999|0.|13.399011|+144.673895
00631|400C200US00631|Aguadilla--Isabela--San Sebastián, PR Urban Area|485085493|346325|187.293|0.134|18.391426|-67.091325
00658|400C200US00658|Ahoskie, NC Urban Area|8613935|0|3.326|0.|36.286472|-76.983542
00660|400C200US00660|Aibonito, PR Urban Area|34464604|59596|13.307|0.023|18.13458|-66.275739
00766|400C200US00766|Akron, OH Urban Area|778603028|15053906|300.62|5.812|41.073342|-81.495355
00820|400C200US00820|Alamogordo, NM Urban Area|35560840|4382|13.73|0.002|32.892453|-105.952133
00847|400C200US00847|Alamosa, CO Urban Area|19904458|38995|7.685|0.015|37.464471|-105.875242
00901|400C200US00901|Albany, GA Urban Area|172307263|1905095|66.528|0.736|31.586505|-84.172328
00955|400C200US00955|Albany, OR Urban Area|59681026|191140|23.043|0.074|44.635118|-123.093403
00970|400C200US00970|Albany--Schenectady, NY Urban Area|702800681|13957326|271.353|5.389|42.742965|-73.799324
00982|400C200US00982|Albemarle, NC Urban Area|43154108|47629|16.662|0.018|35.379959|-80.188772
01009|400C200US01009|Albert Lea, MN Urban Area|27969579|1393895|10.799|0.538|43.653783|-93.365114
01036|400C200US01036|Albertville, AL Urban Area|90260676|591200|34.85|0.228|34.269468|-86.217373
01090|400C200US01090|Albion, MI Urban Area|12150859|136862|4.691|0.053|42.249581|-84.755351
01117|400C200US01117|Albion, NY Urban Area|7626920|0|2.945|0.|43.24579|-78.193578
01171|400C200US01171|Albuquerque, NM Urban Area|681343637|6964860|263.068|2.689|35.131816|-106.623826
01252|400C200US01252|Alexander City, AL Urban Area|25354841|35945|9.79|0.014|32.943492|-85.962142
01273|400C200US01273|Alexandria, IN Urban Area|9853045|11855|3.804|0.005|40.257609|-85.679057
01279|400C200US01279|Alexandria, LA Urban Area|167545308|1851472|64.69|0.715|31.3237|-92.447707
01306|400C200US01306|Alexandria, MN Urban Area|58452023|18927051|22.568|7.308|45.891937|-95.378886
01387|400C200US01387|Algona, IA Urban Area|8697411|16085|3.358|0.006|43.073988|-94.228673
01414|400C200US01414|Alice, TX Urban Area|25980591|0|10.031|0.|27.750622|-98.07342
01441|400C200US01441|Allegan, MI Urban Area|17817488|2275950|6.879|0.879|42.536282|-85.850898
01450|400C200US01450|Allendale, MI Urban Area|27311452|158913|10.545|0.061|42.964159|-85.929201
01495|400C200US01495|Allentown--Bethlehem, PA--NJ Urban Area|677421853|9280676|261.554|3.583|40.639158|-75.414498
01522|400C200US01522|Alliance, NE Urban Area|12733828|31691|4.917|0.012|42.09978|-102.873281
01549|400C200US01549|Alliance, OH Urban Area|44687294|230974|17.254|0.089|40.913518|-81.097902
01630|400C200US01630|Alma--St. Louis, MI Urban Area|23414215|551975|9.04|0.213|43.390674|-84.641499
01684|400C200US01684|Alpena, MI Urban Area|32911869|1992202|12.707|0.769|45.04959|-83.453573
01701|400C200US01701|Alpine, CA Urban Area|25499890|1475|9.846|0.001|32.825726|-116.781139
01711|400C200US01711|Alpine, TX Urban Area|11103461|688|4.287|0.|30.360219|-103.667414
01738|400C200US01738|Altavista, VA Urban Area|15382745|163736|5.939|0.063|37.113134|-79.291707
01765|400C200US01765|Alton, IL Urban Area|154518441|2456767|59.66|0.949|38.898528|-90.121266
01792|400C200US01792|Altoona, PA Urban Area|95837874|160936|37.003|0.062|40.477649|-78.398538
