OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|OID_COUNTY_20|GEOID_COUNTY_20|NAMELSAD_COUNTY_20|AREALAND_COUNTY_20|AREAWATER_COUNTY_20|MTFCC_COUNTY_20|CLASSFP_COUNTY_20|FUNCSTAT_COUNTY_20|AREALAND_PART|AREAWATER_PART
|||||||27590540058423|01001|Autauga County|1539634184|25674812|G4020|H1|A|1483727020|25458608
|||||||27590114112812|01003|Baldwin County|4117656199|1132956041|G4020|H1|A|3762600021|1122674467
|||||||27590540692315|01005|Barbour County|2292160149|50523213|G4020|H1|A|2276027730|50495118
|||||||2759099719300|01007|Bibb County|1612188717|9572303|G4020|H1|A|1612188717|9572303
|||||||27590100187397|01009|Blount County|1670259090|14860281|G4020|H1|A|1658933117|14858829
|||||||27590310671100|01011|Bullock County|1613083467|6030667|G4020|H1|A|1613083467|6030667
|||||||27590101381597|01013|Butler County|2012002546|2701199|G4020|H1|A|1997481409|2701199
|||||||27590103020886|01015|Calhoun County|1569246127|16536293|G4020|H1|A|1379518939|15514281
|||||||27590351380105|01017|Chambers County|1545085601|16971700|G4020|H1|A|1504381934|16971700
|||||||27590104047126|01019|Cherokee County|1433620850|120310807|G4020|H1|A|1433620850|120310807
|||||||27590336389978|01021|Chilton County|1794438835|20592116|G4020|H1|A|1770553274|20450365
|||||||27590104550754|01023|Choctaw County|2365900081|19114321|G4020|H1|A|2365900081|19114321
|||||||2759075862059|01025|Clarke County|3207494086|36657889|G4020|H1|A|3207494086|36657889
|||||||27590337994523|01027|Clay County|1564255426|5281616|G4020|H1|A|1564255426|5281616
|||||||27590536790681|01029|Cleburne County|1450666453|2352217|G4020|H1|A|1450666453|2352217
|||||||27590352984259|01031|Coffee County|1758565928|3907189|G4020|H1|A|1704407098|3755694
|||||||27590106288600|01033|Colbert County|1535742270|79160396|G4020|H1|A|1470039270|79024801
|||||||27590106755469|01035|Conecuh County|2202213384|6426488|G4020|H1|A|2202213384|6426488
