UA,UANAME,STATE,COUNTY,GEOID,CNAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,CPOP,CHU,CAREA,CAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,CPOPPCT,CHUPCT,CAREAPCT,CAREALANDPCT
00037,"Abbeville, LA Urban Cluster",22,045,22045,"Iberia Parish",556,244,1304730,1304730,19824,8460,29523368,29222871,73240,29698,2669055888,1486940445,2.8,2.88,4.42,4.46,.76,.82,.05,.09
00037,"Abbeville, LA Urban Cluster",22,113,22113,"Vermilion Parish",19268,8216,28218638,27918141,19824,8460,29523368,29222871,57999,25235,3993941933,3038572441,97.2,97.12,95.58,95.54,33.22,32.56,.71,.92
00064,"Abbeville, SC Urban Cluster",45,001,45001,"Abbeville County",5243,2578,11334983,11315197,5243,2578,11334983,11315197,25417,12079,1323463717,1270347571,100,100,100,100,20.63,21.34,.86,.89
00091,"Abbotsford, WI Urban Cluster",55,019,55019,"Clark County",2863,1188,3274492,3261271,3966,1616,5376662,5363441,34690,15076,3156643111,3133407354,72.19,73.51,60.9,60.81,8.25,7.88,.1,.1
00091,"Abbotsford, WI Urban Cluster",55,073,55073,"Marathon County",1103,428,2102170,2102170,3966,1616,5376662,5363441,134063,57734,4082627087,4001488029,27.81,26.49,39.1,39.19,.82,.74,.05,.05
00118,"Aberdeen, MS Urban Cluster",28,095,28095,"Monroe County",4666,2050,7469348,7416616,4666,2050,7469348,7416616,36989,16455,1999718827,1981584651,100,100,100,100,12.61,12.46,.37,.37
00145,"Aberdeen, SD Urban Cluster",46,013,46013,"Brown County",25977,12114,33250044,33002447,25977,12114,33250044,33002447,36531,16706,4483142800,4436601519,100,100,100,100,71.11,72.51,.74,.74
00172,"Aberdeen, WA Urban Cluster",53,027,53027,"Grays Harbor County",29856,13139,41927640,39997951,29856,13139,41927640,39997951,72797,35166,5761183504,4926225833,100,100,100,100,41.01,37.36,.73,.81
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",24,005,24005,"Baltimore County",2550,949,13513146,13487865,213751,83721,349451754,339626464,805029,335622,1765739322,1549594703,1.19,1.13,3.87,3.97,.32,.28,.77,.87
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",24,015,24015,"Cecil County",9849,4064,25821092,25432161,213751,83721,349451754,339626464,101108,41103,1082193770,896842957,4.61,4.85,7.39,7.49,9.74,9.89,2.39,2.84
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",24,025,24025,"Harford County",201352,78708,310117516,300706438,213751,83721,349451754,339626464,244826,95554,1363999420,1132055422,94.2,94.01,88.74,88.54,82.24,82.37,22.74,26.56
00226,"Abernathy, TX Urban Cluster",48,189,48189,"Hale County",2084,847,2101864,2101864,2785,1124,3063681,3051109,36273,13541,2602362403,2602115719,74.83,75.36,68.61,68.89,5.75,6.26,.08,.08
00226,"Abernathy, TX Urban Cluster",48,303,48303,"Lubbock County",701,277,961817,949245,2785,1124,3063681,3051109,278831,115064,2332802752,2319591231,25.17,24.64,31.39,31.11,.25,.24,.04,.04
00253,"Abilene, KS Urban Cluster",20,041,20041,"Dickinson County",7054,3238,8775140,8773263,7054,3238,8775140,8773263,19754,8972,2206541066,2193906542,100,100,100,100,35.71,36.09,.4,.4
00280,"Abilene, TX Urbanized Area",48,441,48441,"Taylor County",110421,46732,142744247,141756054,110421,46732,142744247,141756054,131506,55750,2380988735,2371267567,100,100,100,100,83.97,83.82,6,5.98
00334,"Abingdon, IL Urban Cluster",17,095,17095,"Knox County",3389,1483,3731303,3731303,3389,1483,3731303,3731303,52919,24077,1864303284,1855453788,100,100,100,100,6.4,6.16,.2,.2
00388,"Ada, OH Urban Cluster",39,065,39065,"Hardin County",5945,1906,4769036,4769036,5945,1906,4769036,4769036,32058,13100,1218972653,1218342731,100,100,100,100,18.54,14.55,.39,.39
